2907-2018-06-10_Stoos-Schwinget-ST

1a;Kramer Lario;**;;;;;;;;;58.0
6b;Aeschbacher Matthias;**;;;;;;;;;56.25
+;;;Schurtenberger Sven;***;;;;;;;9.75
o;2;9.75;Ulrich Andreas;***;5;56.5;1;10.0;-1;0.25;8.5
+;7;18.25;Steinauer Adrian;**;15;54.0;6;18.5;-1;0.25;9.75
+;6;28.0;Gwerder Christian;**;9;55.5;4;28.5;-2;0.5;9.75
+;5;37.75;Suppiger Werner;**;10;55.25;3;38.25;-2;0.5;9.75
-;4;47.5;Müller Michael;**;5;56.5;3;47.75;-1;0.25;8.75

6c;Schuler Christian;***;;;;;;;;;56.25
-;;;Sempach Thomas;***;;;;;;;8.75
+;4;8.75;Gobeli Patrick;*;9;55.5;2;9.75;-2;1.0;10.0
+;5;18.75;Gerber Christian;**;8;55.75;2;19.75;-3;1.0;10.0
-;3;28.75;Anderegg Simon;***;3;57.0;4;28.5;1;-0.25;8.75
o;6;37.5;Müller Michael;**;5;56.5;5;37.75;-1;0.25;8.75
+;9;46.25;Michel Jonas;*;9;55.5;6;47.0;-3;0.75;10.0

6d;Müllestein Mike;***;;;;;;;;;56.25
+;;;Orlik Curdin;**;;;;;;;9.75
-;2;9.75;Gloggner Philipp;***;16;53.75;1;10.0;-1;0.25;9.0
o;5;18.75;Kramer Lario;**;1;58.0;3;19.5;-2;0.75;8.75
+;8;27.5;Ambühl Joel;*;13;54.5;8;27.5;0;0.0;10.0
+;6;37.5;Gapany Benjamin;**;3;57.0;2;38.5;-4;1.0;10.0
o;4;47.5;Sempach Thomas;***;2;57.25;4;47.5;0;0.0;8.75

6e;Nötzli Reto;***;;;;;;;;;56.25
+;;;Roth Philipp;***;;;;;;;10.0
+;1;10.0;Dind Samuel;**;10;55.25;2;9.75;1;-0.25;10.0
o;1;20.0;Anderegg Simon;***;3;57.0;5;18.75;4;-1.25;8.5
+;4;28.5;Kramer Lario;**;1;58.0;1;29.25;-3;0.75;10.0
-;2;38.5;Arnold Stefan;**;4;56.75;1;38.75;-1;0.25;9.0
-;4;47.5;Mathys Simon;**;8;55.75;6;47.0;2;-0.5;8.75

7a;Hurschler Thomas;**;;;;;;;;;56.0
-;;;Matthey Mickaël;**;;;;;;;8.75
-;4;8.75;Weyermann Florian;*;22;35.25;4;8.75;0;0.0;8.75
+;9;17.5;Rolli Martin;**;21;35.5;6;18.5;-3;1.0;10.0
+;8;27.5;Thierstein Marco;*;17;53.0;9;27.25;1;-0.25;10.0
-;6;37.5;Vogel Remo;**;12;54.75;11;36.25;5;-1.25;8.75
+;9;46.25;Waser Dominik;**;12;54.75;9;46.25;0;0.0;9.75

8a;Mathys Simon;**;;;;;;;;;55.75
-;;;Höfliger Andreas;**;;;;;;;8.75
+;4;8.75;Gloggner Reto;**;17;53.0;5;8.5;1;-0.25;10.0
+;5;18.75;Gloggner Philipp;***;16;53.75;4;19.0;-1;0.25;10.0
+;3;28.75;Doppmann Urs;*;11;55.0;3;28.75;0;0.0;9.75
o;2;38.5;Ulrich Andreas;***;5;56.5;5;37.75;3;-0.75;8.5
-;6;47.0;Nötzli Reto;***;6;56.25;4;47.5;-2;0.5;8.75

8b;Gerber Christian;**;;;;;;;;;55.75
+;;;Schuler Alex;***;;;;;;;9.75
+;2;9.75;Streiff Dominik;*;10;55.25;2;9.75;0;0.0;10.0
o;2;19.75;Schuler Christian;***;6;56.25;5;18.75;3;-1.0;8.5
-;5;28.25;Scheuber Lutz;**;12;54.75;3;28.75;-2;0.5;8.75
+;8;37.0;Langenstein Philip;**;17;53.0;12;36.0;4;-1.0;9.75
-;7;46.75;Gwerder Michael (2000);*;10;55.25;9;46.25;2;-0.5;9.0

8c;Staudenmann Fabian (2000);**;;;;;;;;;55.75
+;;;Reichmuth Marco;**;;;;;;;10.0
+;1;10.0;Steinauer Adrian;**;15;54.0;2;9.75;1;-0.25;10.0
-;1;20.0;Fankhauser Erich;***;4;56.75;5;18.75;4;-1.25;9.0
-;2;29.0;Ulrich Andreas;***;5;56.5;3;28.75;1;-0.25;8.75
-;5;37.75;Lussi Marco;*;6;56.25;6;37.5;1;-0.25;9.0
-;7;46.75;Arnold Raphael;*;10;55.25;9;46.25;2;-0.5;9.0

9a;Gobeli Patrick;*;;;;;;;;;55.5
+;;;Gloggner Reto;**;;;;;;;9.75
o;2;9.75;Schuler Christian;***;6;56.25;4;8.75;2;-1.0;8.5
+;7;18.25;Gwerder Michael (2000);*;10;55.25;7;18.25;0;0.0;10.0
o;5;28.25;Arnold Stefan;**;4;56.75;3;28.75;-2;0.5;8.5
-;9;36.75;Hasler Florian;**;15;54.0;11;36.25;2;-0.5;9.0
+;11;45.75;Heinzer Ronny;*;14;54.25;11;45.75;0;0.0;9.75

9b;Gwerder Christian;**;;;;;;;;;55.5
+;;;Scherer Niklaus;*;;;;;;;10.0
o;1;10.0;Käser Remo;***;19;36.75;3;9.0;2;-1.0;8.5
+;6;18.5;Siegenthaler Tobias;*;18;52.75;6;18.5;0;0.0;10.0
o;4;28.5;Aeschbacher Matthias;**;6;56.25;6;28.0;2;-0.5;8.5
+;8;37.0;Wittwer Jan;*;14;54.25;9;36.75;1;-0.25;10.0
o;6;47.0;Gapany Benjamin;**;3;57.0;6;47.0;0;0.0;8.5

9c;Michel Jonas;*;;;;;;;;;55.5
o;;;Gwerder Michael (2000);*;;;;;;;8.5
-;5;8.5;Blaser Theo;*;14;54.25;5;8.5;0;0.0;8.75
+;10;17.25;Kurmann Toni;*;26;34.25;10;17.25;0;0.0;10.0
+;9;27.25;Arnold Andreas;*;21;35.5;10;27.0;1;-0.25;10.0
+;7;37.25;Heinzer Ronny;*;14;54.25;7;37.25;0;0.0;9.75
o;6;47.0;Schuler Christian;***;6;56.25;9;46.25;3;-0.75;8.5

9d;Betschart Remo;**;;;;;;;;;55.5
-;;;Rolli Martin;**;;;;;;;8.75
+;4;8.75;Scherer Niklaus;*;26;34.25;5;8.5;1;-0.25;9.75
o;6;18.5;Scheuber Lutz;**;12;54.75;5;18.75;-1;0.25;8.5
-;10;27.0;Gloggner Reto;**;17;53.0;10;27.0;0;0.0;8.75
+;13;35.75;Siegenthaler Tobias;*;18;52.75;13;35.75;0;0.0;9.75
+;12;45.5;Steinauer Adrian;**;15;54.0;12;45.5;0;0.0;10.0

10a;Odermatt Christian;**;;;;;;;;;55.25
o;;;Kramer Lario;**;;;;;;;8.5
o;5;8.5;Roschi Ruedi;**;10;55.25;5;8.5;0;0.0;8.5
-;11;17.0;Vogel Remo;**;12;54.75;9;17.5;-2;0.5;8.75
+;15;25.75;Müller Roger;*;22;35.25;11;26.75;-4;1.0;10.0
+;13;35.75;von Weissenfluh Kilian;**;12;54.75;11;36.25;-2;0.5;9.75
+;12;45.5;Leuenberger Michael;*;14;54.25;12;45.5;0;0.0;9.75

10b;Gwerder Michael (2000);*;;;;;;;;;55.25
+;;;Michel Jonas;*;;;;;;;9.75
o;2;9.75;Arnold Stefan;**;4;56.75;2;9.75;0;0.0;8.5
o;7;18.25;Gobeli Patrick;*;9;55.5;7;18.25;0;0.0;8.5
+;11;26.75;Staub Maël;*;21;35.5;10;27.0;-1;0.25;9.75
+;10;36.5;Leuenberger Michael;*;14;54.25;9;36.75;-1;0.25;9.75
-;9;46.25;Gerber Christian;**;8;55.75;7;46.75;-2;0.5;9.0

10c;Suppiger Werner;**;;;;;;;;;55.25
-;;;Schenk Patrick;***;;;;;;;8.75
+;4;8.75;Leuenberger Michael;*;14;54.25;1;10.0;-3;1.25;9.75
+;6;18.5;Rohrer Ueli;*;15;54.0;7;18.25;1;-0.25;9.75
+;5;28.25;von Weissenfluh Kilian;**;12;54.75;7;27.75;2;-0.5;10.0
o;3;38.25;Aeschbacher Matthias;**;6;56.25;5;37.75;2;-0.5;8.5
o;7;46.75;Anderegg Simon;***;3;57.0;5;47.25;-2;0.5;8.5

10d;Arnold Raphael;*;;;;;;;;;55.25
+;;;Steffen Valentin;*;;;;;;;10.0
-;1;10.0;Orlik Curdin;**;4;56.75;5;8.5;4;-1.5;8.75
+;5;18.75;Müller Roger;*;22;35.25;7;18.25;2;-0.5;9.75
-;4;28.5;Gloggner Philipp;***;16;53.75;8;27.5;4;-1.0;9.0
-;6;37.5;Doppmann Urs;*;11;55.0;7;37.25;1;-0.25;8.75
-;9;46.25;Staudenmann Fabian (2000);**;8;55.75;7;46.75;-2;0.5;9.0

10e;Streiff Dominik;*;;;;;;;;;55.25
+;;;Müller Roger;*;;;;;;;9.75
o;2;9.75;Gerber Christian;**;8;55.75;2;9.75;0;0.0;8.5
+;7;18.25;Ramseier Fritz;**;11;55.0;5;18.75;-2;0.5;9.75
-;6;28.0;Schenk Patrick;***;12;54.75;9;27.25;3;-0.75;8.75
o;9;36.75;Roschi Ruedi;**;10;55.25;8;37.0;-1;0.25;8.5
+;13;45.25;Langenstein Philip;**;17;53.0;16;44.5;3;-0.75;10.0

10f;Roschi Ruedi;**;;;;;;;;;55.25
o;;;Gloggner Philipp;***;;;;;;;8.5
+;5;8.5;Odermatt Christian;**;10;55.25;5;8.5;0;0.0;10.0
o;6;18.5;Höfliger Andreas;**;15;54.0;6;18.5;0;0.0;8.5
+;10;27.0;Hasler Florian;**;15;54.0;7;27.75;-3;0.75;10.0
+;8;37.0;Streiff Dominik;*;10;55.25;9;36.75;1;-0.25;9.75
o;7;46.75;Fankhauser Erich;***;4;56.75;7;46.75;0;0.0;8.5

10g;Dind Samuel;**;;;;;;;;;55.25
+;;;Schuler Philipp;**;;;;;;;9.75
o;2;9.75;Nötzli Reto;***;6;56.25;1;10.0;-1;0.25;8.5
+;7;18.25;Heinzer Stefan;*;22;35.25;7;18.25;0;0.0;10.0
o;5;28.25;Schurtenberger Sven;***;5;56.5;5;28.25;0;0.0;8.5
+;9;36.75;Fässler Dominic;**;15;54.0;8;37.0;-1;0.25;10.0
o;7;46.75;Lussi Marco;*;6;56.25;8;46.5;1;-0.25;8.5

11a;Reichmuth Marco;**;;;;;;;;;55.0
o;;;Staudenmann Fabian (2000);**;;;;;;;8.75
+;4;8.75;Cardinaux Victor;**;12;54.75;3;9.0;-1;0.25;10.0
+;5;18.75;Fässler Dominic;**;15;54.0;6;18.5;1;-0.25;10.0
o;3;28.75;Sempach Thomas;***;2;57.25;7;27.75;4;-1.0;8.75
o;6;37.5;Kramer Lario;**;1;58.0;4;38.0;-2;0.5;8.5
-;10;46.0;Steffen Valentin;*;12;54.75;10;46.0;0;0.0;9.0

11b;Ramseier Fritz;**;;;;;;;;;55.0
-;;;Scheuber Lutz;**;;;;;;;8.75
+;4;8.75;Stöckli Damian;*;25;34.5;4;8.75;0;0.0;10.0
o;5;18.75;Streiff Dominik;*;10;55.25;7;18.25;2;-0.5;8.5
-;9;27.25;Schuler Alex;***;21;35.5;11;26.75;2;-0.5;8.75
+;12;36.0;Blaser Theo;*;14;54.25;13;35.75;1;-0.25;10.0
-;10;46.0;Doppmann Urs;*;11;55.0;10;46.0;0;0.0;9.0

11c;Doppmann Urs;*;;;;;;;;;55.0
+;;;Blaser Theo;*;;;;;;;10.0
+;1;10.0;Schenk Patrick;***;12;54.75;4;8.75;3;-1.25;10.0
o;1;20.0;Bieri Marcel;**;2;57.25;5;18.75;4;-1.25;8.75
o;3;28.75;Mathys Simon;**;8;55.75;3;28.75;0;0.0;8.5
-;7;37.25;Arnold Raphael;*;10;55.25;6;37.5;-1;0.25;8.75
-;10;46.0;Ramseier Fritz;**;11;55.0;10;46.0;0;0.0;9.0

12a;Steffen Valentin;*;;;;;;;;;54.75
o;;;Arnold Raphael;*;;;;;;;8.5
+;5;8.5;Arnold Andreas;*;21;35.5;5;8.5;0;0.0;10.0
o;6;18.5;Müller Michael;**;5;56.5;8;17.75;2;-0.75;8.5
-;10;27.0;Rohrer Ueli;*;15;54.0;11;26.75;1;-0.25;9.0
+;12;36.0;Thierstein Marco;*;17;53.0;13;35.75;1;-0.25;10.0
-;10;46.0;Reichmuth Marco;**;11;55.0;10;46.0;0;0.0;8.75

12b;Scheuber Lutz;**;;;;;;;;;54.75
-;;;Ramseier Fritz;**;;;;;;;8.75
+;4;8.75;Bättig Martin;*;21;35.5;1;10.0;-3;1.25;10.0
+;5;18.75;Betschart Remo;**;9;55.5;6;18.5;1;-0.25;10.0
-;3;28.75;Gerber Christian;**;8;55.75;5;28.25;2;-0.5;8.75
-;6;37.5;Gloggner Philipp;***;16;53.75;11;36.25;5;-1.25;8.75
o;9;46.25;Orlik Curdin;**;4;56.75;6;47.0;-3;0.75;8.5

12c;Waser Dominik;**;;;;;;;;;54.75
+;;;Moser Michael;**;;;;;;;9.75
+;2;9.75;Rohrer Ueli;*;15;54.0;2;9.75;0;0.0;9.75
o;3;19.5;Gapany Benjamin;**;3;57.0;6;18.5;3;-1.0;8.5
+;6;28.0;Schwander Severin;*;13;54.5;9;27.25;3;-0.75;9.75
o;5;37.75;Sempach Thomas;***;2;57.25;6;37.5;1;-0.25;8.5
o;9;46.25;Hurschler Thomas;**;7;56.0;9;46.25;0;0.0;8.5

12d;Cardinaux Victor;**;;;;;;;;;54.75
-;;;Rohrer Ivan;**;;;;;;;9.0
o;3;9.0;Reichmuth Marco;**;11;55.0;4;8.75;1;-0.25;8.5
o;9;17.5;Ambühl Joel;*;13;54.5;9;17.5;0;0.0;8.75
+;13;26.25;Gwerder Andreas;*;27;34.0;16;25.5;3;-0.75;10.0
o;11;36.25;Vogel Remo;**;12;54.75;11;36.25;0;0.0;8.75
+;14;45.0;Thierstein Marco;*;17;53.0;17;44.25;3;-0.75;9.75

12e;Vogel Remo;**;;;;;;;;;54.75
-;;;Weyermann Florian;*;;;;;;;8.75
-;4;8.75;Borcard Johann;**;13;54.5;3;9.0;-1;0.25;8.75
-;9;17.5;Odermatt Christian;**;10;55.25;11;17.0;2;-0.5;8.75
+;13;26.25;Cardinaux Victor;**;12;54.75;13;26.25;0;0.0;10.0
-;11;36.25;Hurschler Thomas;**;7;56.0;6;37.5;-5;1.25;8.75
+;14;45.0;Roch Vincent;**;13;54.5;11;45.75;-3;0.75;9.75

12f;Schenk Patrick;***;;;;;;;;;54.75
-;;;Suppiger Werner;**;;;;;;;8.75
o;4;8.75;Doppmann Urs;*;11;55.0;1;10.0;-3;1.25;8.5
+;10;17.25;Kennel Beat;*;21;35.5;6;18.5;-4;1.25;10.0
-;9;27.25;Streiff Dominik;*;10;55.25;6;28.0;-3;0.75;9.0
+;11;36.25;Höfliger Andreas;**;15;54.0;9;36.75;-2;0.5;10.0
o;9;46.25;Schurtenberger Sven;***;5;56.5;8;46.5;-1;0.25;8.5

12g;von Weissenfluh Kilian;**;;;;;;;;;54.75
-;;;Hasler Florian;**;;;;;;;8.75
