2907-2018-06-10_Stoos-Schwinget-ST

1a;Kramer Lario;**;;;;;;;;;58.0
+;11;26.75;Heinzer Stefan;*;22;35.25;11;26.75;0;0.0;10.0
o;9;36.75;Orlik Curdin;**;4;56.75;8;37.0;-1;0.25;8.5
-;13;45.25;Höfliger Andreas;**;15;54.0;13;45.25;0;0.0;8.75

15d;Höfliger Andreas;**;;;;;;;;;54.0
-;;;Mathys Simon;**;;;;;;;8.75
+;4;8.75;Staub Maël;*;21;35.5;2;9.75;-2;1.0;9.75
+;6;18.5;Roschi Ruedi;**;10;55.25;6;18.5;0;0.0;9.75
o;5;28.25;Gapany Benjamin;**;3;57.0;4;28.5;-1;0.25;8.5
o;9;36.75;Schenk Patrick;***;12;54.75;11;36.25;2;-0.5;8.5
-;13;45.25;Egli Damian;**;15;54.0;13;45.25;0;0.0;8.75

15e;Rohrer Ueli;*;;;;;;;;;54.0
+;;;Felder Martin;*;;;;;;;9.75
o;2;9.75;Waser Dominik;**;12;54.75;2;9.75;0;0.0;8.5
o;7;18.25;Suppiger Werner;**;10;55.25;6;18.5;-1;0.25;8.5
-;11;26.75;Steffen Valentin;*;12;54.75;10;27.0;-1;0.25;9.0
o;13;35.75;Ambühl Joel;*;13;54.5;12;36.0;-1;0.25;8.5
+;17;44.25;Siegenthaler Tobias;*;18;52.75;17;44.25;0;0.0;9.75

15f;Hasler Florian;**;;;;;;;;;54.0
-;;;von Weissenfluh Kilian;**;;;;;;;8.75
+;4;8.75;Roch Vincent;**;13;54.5;3;9.0;-1;0.25;10.0
-;5;18.75;Matthey Mickaël;**;12;54.75;6;18.5;1;-0.25;9.0
o;7;27.75;Roschi Ruedi;**;10;55.25;10;27.0;3;-0.75;8.5
-;11;36.25;Gobeli Patrick;*;9;55.5;9;36.75;-2;0.5;9.0
-;13;45.25;Wittwer Jan;*;14;54.25;12;45.5;-1;0.25;8.75

16a;Gloggner Philipp;***;;;;;;;;;53.75
+;;;Roschi Ruedi;**;;;;;;;10.0
-;1;10.0;Müllestein Mike;***;6;56.25;2;9.75;1;-0.25;9.0
o;4;19.0;Mathys Simon;**;8;55.75;5;18.75;1;-0.25;8.5
-;8;27.5;Arnold Raphael;*;10;55.25;4;28.5;-4;1.0;8.75
-;11;36.25;Scheuber Lutz;**;12;54.75;6;37.5;-5;1.25;8.75
-;14;45.0;Schwander Severin;*;13;54.5;11;45.75;-3;0.75;8.75

17a;Thierstein Marco;*;;;;;;;;;53.0
-;;;Rohrer Beat;*;;;;;;;8.75
o;4;8.75;Kennel Beat;*;21;35.5;5;8.5;1;-0.25;8.5
+;10;17.25;Betschart Patrick;*;23;35.0;9;17.5;-1;0.25;10.0
o;9;27.25;Hurschler Thomas;**;7;56.0;8;27.5;-1;0.25;8.5
o;13;35.75;Steffen Valentin;*;12;54.75;12;36.0;-1;0.25;8.5
o;17;44.25;Cardinaux Victor;**;12;54.75;14;45.0;-3;0.75;8.75

17b;Rohrer Beat;*;;;;;;;;;53.0
-;;;Thierstein Marco;*;;;;;;;8.75
o;4;8.75;Gapany Benjamin;**;3;57.0;5;8.5;1;-0.25;8.5
-;10;17.25;Scherer Niklaus;*;26;34.25;11;17.0;1;-0.25;8.75
+;14;26.0;Kurmann Toni;*;26;34.25;15;25.75;1;-0.25;9.75
-;13;35.75;Matthey Mickaël;**;12;54.75;12;36.0;-1;0.25;8.75
o;16;44.5;Blaser Theo;*;14;54.25;17;44.25;1;-0.25;8.5

17c;Gloggner Reto;**;;;;;;;;;53.0
o;;;Gobeli Patrick;*;;;;;;;8.5
o;5;8.5;Mathys Simon;**;8;55.75;4;8.75;-1;0.25;8.5
+;11;17.0;Borcard Johann;**;13;54.5;8;17.75;-3;0.75;10.0
-;10;27.0;Betschart Remo;**;9;55.5;10;27.0;0;0.0;8.75
o;13;35.75;Schwander Severin;*;13;54.5;13;35.75;0;0.0;8.75
o;16;44.5;Leuenberger Michael;*;14;54.25;12;45.5;-4;1.0;8.5

17d;Langenstein Philip;**;;;;;;;;;53.0
+;;;Brodard Augustin;**;;;;;;;9.75
o;2;9.75;Sempach Thomas;***;2;57.25;4;8.75;2;-1.0;8.5
-;7;18.25;Wittwer Jan;*;14;54.25;5;18.75;-2;0.5;9.0
-;9;27.25;Matthey Mickaël;**;12;54.75;9;27.25;0;0.0;8.75
o;12;36.0;Gerber Christian;**;8;55.75;8;37.0;-4;1.0;8.5
o;16;44.5;Streiff Dominik;*;10;55.25;13;45.25;-3;0.75;8.5

18a;Vonlaufen Lukas;*;;;;;;;;;52.75
o;;;Heinzer Ronny;*;;;;;;;8.5
o;5;8.5;Brodard Augustin;**;21;35.5;5;8.5;0;0.0;8.5
-;11;17.0;Felder Martin;*;25;34.5;10;17.25;-1;0.25;8.75
+;15;25.75;Scherer Niklaus;*;26;34.25;15;25.75;0;0.0;10.0
o;13;35.75;Borcard Johann;**;13;54.5;12;36.0;-1;0.25;8.5
o;17;44.25;Matthey Mickaël;**;12;54.75;15;44.75;-2;0.5;8.5

18b;Siegenthaler Tobias;*;;;;;;;;;52.75
+;;;Kurmann Toni;*;;;;;;;10.0
o;1;10.0;Fankhauser Erich;***;4;56.75;4;8.75;3;-1.25;8.5
o;6;18.5;Gwerder Christian;**;9;55.5;6;18.5;0;0.0;8.75
o;9;27.25;Müller Michael;**;5;56.5;7;27.75;-2;0.5;8.5
o;13;35.75;Betschart Remo;**;9;55.5;13;35.75;0;0.0;8.5
o;17;44.25;Rohrer Ueli;*;15;54.0;17;44.25;0;0.0;8.5

19a;Käser Remo;***;;;;;;;;;36.75
-;;;Fankhauser Erich;***;;;;;;;9.0
+;3;9.0;Gwerder Christian;**;9;55.5;1;10.0;-2;1.0;9.75
-;5;18.75;Arnold Stefan;**;4;56.75;2;19.75;-3;1.0;9.0
-;7;27.75;Lussi Marco;*;6;56.25;4;28.5;-3;0.75;9.0

20a;Roth Philipp;***;;;;;;;;;35.75
o;;;Nötzli Reto;***;;;;;;;8.5
-;5;8.5;Heinzer Ronny;*;14;54.25;2;9.75;-3;1.25;8.75
o;10;17.25;Lussi Marco;*;6;56.25;5;18.75;-5;1.5;8.5
+;15;25.75;Blaser Theo;*;14;54.25;9;27.25;-6;1.5;10.0

21a;Schuler Alex;***;;;;;;;;;35.5
o;;;Gerber Christian;**;;;;;;;8.5
o;5;8.5;Kramer Lario;**;1;58.0;2;9.75;-3;1.25;8.5
+;11;17.0;Brodard Augustin;**;21;35.5;7;18.25;-4;1.25;9.75
-;11;26.75;Ramseier Fritz;**;11;55.0;9;27.25;-2;0.5;8.75

21b;Kennel Beat;*;;;;;;;;;35.5
o;;;Leuenberger Michael;*;;;;;;;8.5
+;5;8.5;Thierstein Marco;*;17;53.0;4;8.75;-1;0.25;10.0
o;6;18.5;Schenk Patrick;***;12;54.75;10;17.25;4;-1.25;8.5
o;10;27.0;Orlik Curdin;**;4;56.75;10;27.0;0;0.0;8.5

21c;Brodard Augustin;**;;;;;;;;;35.5
o;;;Langenstein Philip;**;;;;;;;8.5
+;5;8.5;Vonlaufen Lukas;*;18;52.75;5;8.5;0;0.0;9.75
o;7;18.25;Schuler Alex;***;21;35.5;11;17.0;4;-1.25;8.5
-;11;26.75;Rohrer Ivan;**;23;35.0;12;26.5;1;-0.25;8.75

21d;Rolli Martin;**;;;;;;;;;35.5
-;;;Betschart Remo;**;;;;;;;8.75
+;4;8.75;Kurmann Toni;*;26;34.25;5;8.5;1;-0.25;9.75
o;6;18.5;Hurschler Thomas;**;7;56.0;9;17.5;3;-1.0;8.5
o;10;27.0;Fässler Dominic;**;15;54.0;10;27.0;0;0.0;8.5

21e;Staub Maël;*;;;;;;;;;35.5
+;;;Ambühl Joel;*;;;;;;;9.75
o;2;9.75;Höfliger Andreas;**;15;54.0;4;8.75;2;-1.0;8.5
o;7;18.25;Heinzer Ronny;*;14;54.25;6;18.5;-1;0.25;8.75
o;10;27.0;Gwerder Michael (2000);*;10;55.25;11;26.75;1;-0.25;8.5

21f;Arnold Andreas;*;;;;;;;;;35.5
o;;;Fässler Dominic;**;;;;;;;8.5
o;5;8.5;Steffen Valentin;*;12;54.75;5;8.5;0;0.0;8.5
+;11;17.0;Minder Florian;**;23;35.0;10;17.25;-1;0.25;10.0
o;10;27.0;Michel Jonas;*;9;55.5;9;27.25;-1;0.25;8.5

21g;Bättig Martin;*;;;;;;;;;35.5
+;;;Gwerder Andreas;*;;;;;;;10.0
o;1;10.0;Scheuber Lutz;**;12;54.75;4;8.75;3;-1.25;8.5
o;6;18.5;von Weissenfluh Kilian;**;12;54.75;8;17.75;2;-0.75;8.5
o;10;27.0;Roch Vincent;**;13;54.5;9;27.25;-1;0.25;8.5

22a;Weyermann Florian;*;;;;;;;;;35.25
-;;;Vogel Remo;**;;;;;;;8.75
-;4;8.75;Hurschler Thomas;**;7;56.0;4;8.75;0;0.0;8.75
-;9;17.5;Rohrer Ivan;**;23;35.0;8;17.75;-1;0.25;8.75
-;13;26.25;Stöckli Damian;*;25;34.5;15;25.75;2;-0.5;9.0

22b;Müller Roger;*;;;;;;;;;35.25
o;;;Streiff Dominik;*;;;;;;;8.5
+;5;8.5;Gwerder Andreas;*;27;34.0;5;8.5;0;0.0;9.75
o;7;18.25;Arnold Raphael;*;10;55.25;5;18.75;-2;0.5;8.5
o;11;26.75;Odermatt Christian;**;10;55.25;15;25.75;4;-1.0;8.5

22c;Zgraggen Fabian;*;;;;;;;;;35.25
o;;;Heinzer Stefan;*;;;;;;;8.5
o;5;8.5;Wittwer Jan;*;14;54.25;4;8.75;-1;0.25;8.5
o;11;17.0;Schwander Severin;*;13;54.5;10;17.25;-1;0.25;8.5
+;16;25.5;Gottofrey Marc;**;24;34.75;13;26.25;-3;0.75;9.75

22d;Heinzer Stefan;*;;;;;;;;;35.25
+;;;Zgraggen Fabian;*;;;;;;;9.75
o;2;9.75;Schurtenberger Sven;***;5;56.5;5;8.5;3;-1.25;8.5
o;7;18.25;Dind Samuel;**;10;55.25;7;18.25;0;0.0;8.5
o;11;26.75;Egli Damian;**;15;54.0;11;26.75;0;0.0;8.5

22e;Wyrsch Marco;**;;;;;;;;;35.25
-;;;Roch Vincent;**;;;;;;;9.0
-;3;9.0;Schwander Severin;*;13;54.5;5;8.5;2;-0.5;8.75
-;8;17.75;Gottofrey Marc;**;24;34.75;9;17.5;1;-0.25;8.75
-;12;26.5;Gwerder Carlo;**;25;34.5;15;25.75;3;-0.75;8.75

23a;Minder Florian;**;;;;;;;;;35.0
o;;;Egli Damian;**;;;;;;;8.5
o;5;8.5;Lussi Marco;*;6;56.25;4;8.75;-1;0.25;8.75
o;10;17.25;Arnold Andreas;*;21;35.5;11;17.0;1;-0.25;8.75
-;14;26.0;Betschart Patrick;*;23;35.0;14;26.0;0;0.0;9.0

23b;Rohrer Ivan;**;;;;;;;;;35.0
-;;;Cardinaux Victor;**;;;;;;;9.0
-;3;9.0;Moser Michael;**;29;17.25;5;8.5;2;-0.5;8.75
-;8;17.75;Weyermann Florian;*;22;35.25;9;17.5;1;-0.25;8.75
-;12;26.5;Brodard Augustin;**;21;35.5;11;26.75;-1;0.25;8.5

23c;Betschart Patrick;*;;;;;;;;;35.0
-;;;Stöckli Damian;*;;;;;;;8.75
-;4;8.75;Felder Martin;*;25;34.5;5;8.5;1;-0.25;8.75
o;9;17.5;Thierstein Marco;*;17;53.0;10;17.25;1;-0.25;8.5
-;14;26.0;Minder Florian;**;23;35.0;14;26.0;0;0.0;9.0

24a;Gottofrey Marc;**;;;;;;;;;34.75
o;;;Arnold Stefan;**;;;;;;;8.5
-;5;8.5;Ambühl Joel;*;13;54.5;5;8.5;0;0.0;9.0
-;9;17.5;Wyrsch Marco;**;22;35.25;8;17.75;-1;0.25;8.75
o;13;26.25;Zgraggen Fabian;*;22;35.25;16;25.5;3;-0.75;8.5

25a;Gwerder Carlo;**;;;;;;;;;34.5
-;;;Borcard Johann;**;;;;;;;8.75
o;4;8.75;Matthey Mickaël;**;12;54.75;4;8.75;0;0.0;8.5
o;10;17.25;Orlik Curdin;**;4;56.75;10;17.25;0;0.0;8.5
-;15;25.75;Wyrsch Marco;**;22;35.25;12;26.5;-3;0.75;8.75

25b;Felder Martin;*;;;;;;;;;34.5
o;;;Rohrer Ueli;*;;;;;;;8.5
-;5;8.5;Betschart Patrick;*;23;35.0;4;8.75;-1;0.25;8.75
-;10;17.25;Vonlaufen Lukas;*;18;52.75;11;17.0;1;-0.25;8.75
o;14;26.0;Borcard Johann;**;13;54.5;13;26.25;-1;0.25;8.5

25c;Stöckli Damian;*;;;;;;;;;34.5
-;;;Betschart Patrick;*;;;;;;;8.75
o;4;8.75;Ramseier Fritz;**;11;55.0;4;8.75;0;0.0;8.5
o;10;17.25;Blaser Theo;*;14;54.25;10;17.25;0;0.0;8.5
-;15;25.75;Weyermann Florian;*;22;35.25;13;26.25;-2;0.5;8.75

26a;Scherer Niklaus;*;;;;;;;;;34.25
o;;;Gwerder Christian;**;;;;;;;8.5
o;5;8.5;Betschart Remo;**;9;55.5;4;8.75;-1;0.25;8.5
-;11;17.0;Rohrer Beat;*;17;53.0;10;17.25;-1;0.25;8.75
o;15;25.75;Vonlaufen Lukas;*;18;52.75;15;25.75;0;0.0;8.5

26b;Kurmann Toni;*;;;;;;;;;34.25
o;;;Siegenthaler Tobias;*;;;;;;;8.5
o;5;8.5;Rolli Martin;**;21;35.5;4;8.75;-1;0.25;8.75
o;10;17.25;Michel Jonas;*;9;55.5;10;17.25;0;0.0;8.5
o;15;25.75;Rohrer Beat;*;17;53.0;14;26.0;-1;0.25;8.5

27a;Gwerder Andreas;*;;;;;;;;;34.0
o;;;Bättig Martin;*;;;;;;;8.5
o;5;8.5;Müller Roger;*;22;35.25;5;8.5;0;0.0;8.5
o;11;17.0;Roch Vincent;**;13;54.5;9;17.5;-2;0.5;8.5
o;16;25.5;Cardinaux Victor;**;12;54.75;13;26.25;-3;0.75;8.5

28a;Roth Dominik;**;;;;;;;;;27.25
-;;;Müller Michael;**;;;;;;;8.75
+;4;8.75;Schuler Philipp;**;29;17.25;5;8.5;1;-0.25;10.0
o;5;18.75;Schurtenberger Sven;***;5;56.5;7;18.25;2;-0.5;8.5

29a;Moser Michael;**;;;;;;;;;17.25
o;;;Waser Dominik;**;;;;;;;8.5
-;5;8.5;Rohrer Ivan;**;23;35.0;3;9.0;-2;0.5;8.75

29b;Schuler Philipp;**;;;;;;;;;17.25
o;;;Dind Samuel;**;;;;;;;8.5
o;5;8.5;Roth Dominik;**;28;27.25;4;8.75;-1;0.25;8.75

