3147-2015-05-25_Glarner-Buendner_Kantonalschwingfest-ST

1a;Schneider Domenic;**;;;;;;;;;58.25
10e;Castelberg Marius;;;;;;;;;;55.75
-;;;Straub Paul;;;;;;;;8.75
o;4;8.75;Scherrer Willi;;17;54.0;4;8.75;0;0.0;8.5
-;9;17.25;Pfister Florian;;16;54.25;9;17.25;0;0.0;8.75
+;12;26.0;Schläpfer Ramon (1999);;29;34.0;14;25.5;2;-0.5;9.75
+;14;35.75;Laager Andreas (1999);;21;53.0;13;36.0;-1;0.25;10.0
+;10;45.75;Schäppi Urs;;16;54.25;10;45.75;0;0.0;10.0

10f;Fässler Cornel;*;;;;;;;;;55.75
o;;;Schweizer Christof;*;;;;;;;8.5
+;5;8.5;Zbinden Marc;*;14;54.75;4;8.75;-1;0.25;10.0
+;5;18.5;Scherrer Willi;;17;54.0;5;18.5;0;0.0;9.75
-;4;28.25;Orlik Curdin;**;8;56.25;4;28.25;0;0.0;9.0
+;8;37.25;Huber Pascal;*;13;55.0;10;36.75;2;-0.5;9.75
-;5;47.0;Büsser Andy;***;8;56.25;3;47.5;-2;0.5;8.75

10g;Hofstetter Manuel;*;;;;;;;;;55.75
o;;;Holenstein Christian;*;;;;;;;8.5
-;5;8.5;Pianta Christian (1997);;12;55.25;2;9.75;-3;1.25;8.75
-;9;17.25;Biäsch Christian;;17;54.0;6;18.25;-3;1.0;8.75
+;12;26.0;Güntensperger Marcel;*;27;34.5;12;26.0;0;0.0;10.0
+;13;36.0;Pfister Florian;;16;54.25;13;36.0;0;0.0;10.0
+;9;46.0;Notz Armin;*;16;54.25;11;45.5;2;-0.5;9.75

10h;Schmid Dominik;*;;;;;;;;;55.75
+;;;Kamer Hanspeter;*;;;;;;;9.75
o;2;9.75;Höfliger Andreas;*;5;57.0;4;8.75;2;-1.0;8.5
+;6;18.25;Lanter Christian (1998);;15;54.5;4;18.75;-2;0.5;10.0
o;4;28.25;Peng Mike;***;9;56.0;8;27.25;4;-1.0;8.5
+;10;36.75;Caflisch Stefan;;17;54.0;9;37.0;-1;0.25;10.0
-;6;46.75;Landolt Reto;*;9;56.0;5;47.0;-1;0.25;9.0

10i;Oettli Marco (1997);;;;;;;;;;55.75
-;;;Kammermann Dominik;;;;;;;;9.0
+;3;9.0;Wittenwiler Roman (1998);;27;34.5;4;8.75;1;-0.25;9.75
+;4;18.75;Nägeli Roman;*;16;54.25;5;18.5;1;-0.25;10.0
o;2;28.75;Leuppi Samir;**;12;55.25;5;28.0;3;-0.75;8.5
+;8;37.25;Kamm Fritz (1999);;17;54.0;9;37.0;1;-0.25;10.0
o;4;47.25;Höfliger Andreas;*;5;57.0;4;47.25;0;0.0;8.5

10j;Krähenbühl Tobias;**;;;;;;;;;55.75
o;;;Leuppi Samir;**;;;;;;;8.5
-;5;8.5;Streiff Dominik;;9;56.0;2;9.75;-3;1.25;8.75
+;9;17.25;Castelberg Andri;;18;53.75;6;18.25;-3;1.0;10.0
+;8;27.25;Kamer Hanspeter;*;15;54.5;7;27.5;-1;0.25;10.0
o;8;37.25;Büsser Andy;***;8;56.25;6;37.75;-2;0.5;8.5
+;10;45.75;Koch Thomas (1997);;16;54.25;10;45.75;0;0.0;10.0

11a;Plump Martin;*;;;;;;;;;55.5
-;;;Landolt Reto;*;;;;;;;8.75
+;4;8.75;Koch Reto;;18;53.75;2;9.75;-2;1.0;9.75
+;5;18.5;Raymann David;;12;55.25;5;18.5;0;0.0;10.0
o;3;28.5;Horner Peter;**;6;56.75;3;28.5;0;0.0;8.5
+;9;37.0;Riedi Thomas;;17;54.0;9;37.0;0;0.0;10.0
o;5;47.0;Gmür Pirmin;*;6;56.75;6;46.75;1;-0.25;8.5

11b;Pfiffner Ivo;;;;;;;;;;55.5
-;;;Thiemann Fabrice;;;;;;;;8.75
+;4;8.75;Wolfender Roman;;25;35.25;5;8.5;1;-0.25;10.0
o;4;18.75;Steiner Michael;**;7;56.5;6;18.25;2;-0.5;8.5
o;8;27.25;Landolt Reto;*;9;56.0;7;27.5;-1;0.25;8.5
+;14;35.75;Jörger Marc;;22;52.75;14;35.75;0;0.0;9.75
+;11;45.5;Riedi Thomas;;17;54.0;11;45.5;0;0.0;10.0

11c;Rüegg Fabian;;;;;;;;;;55.5
o;;;Koch Thomas (1997);;;;;;;;8.5
+;5;8.5;Koller Andreas (1998);;28;34.25;5;8.5;0;0.0;10.0
o;5;18.5;Zbinden Marc;*;14;54.75;9;17.25;4;-1.25;8.5
+;9;27.0;Mösli Reto;;13;55.0;10;26.75;1;-0.25;9.75
o;10;36.75;Signer Emil;**;7;56.5;10;36.75;0;0.0;8.75
+;11;45.5;Akeret Benno;*;13;55.0;12;45.25;1;-0.25;10.0

11d;Rüegg Roman;*;;;;;;;;;55.5
-;;;Notz Armin;*;;;;;;;8.75
+;4;8.75;Mathis Patrick;;11;55.5;2;9.75;-2;1.0;10.0
o;4;18.75;Orlik Armon;**;3;57.5;4;18.75;0;0.0;8.5
+;8;27.25;Rieser Fabian;;21;53.0;8;27.25;0;0.0;10.0
o;8;37.25;Höfliger Andreas;*;5;57.0;8;37.25;0;0.0;8.5
+;10;45.75;Straub Paul;;17;54.0;11;45.5;1;-0.25;9.75

11e;Bäbler Sandro;**;;;;;;;;;55.5
+;;;Battaglia Ursin;**;;;;;;;9.75
o;2;9.75;Schneider Domenic;**;1;58.25;4;8.75;2;-1.0;8.5
+;6;18.25;Straub Paul;;17;54.0;4;18.75;-2;0.5;10.0
o;4;28.25;Notz Beni;***;11;55.5;3;28.5;-1;0.25;8.5
+;10;36.75;Koller Fabian;;13;55.0;10;36.75;0;0.0;10.0
-;6;46.75;Hochholdinger Roman;**;12;55.25;7;46.5;1;-0.25;8.75

11f;Notz Beni;***;;;;;;;;;55.5
+;;;Rychen Roger;**;;;;;;;10.0
o;1;10.0;Leuppi Samir;**;12;55.25;2;9.75;1;-0.25;8.5
+;5;18.5;Sprecher Sandro;*;11;55.5;5;18.5;0;0.0;10.0
+;3;28.5;Bäbler Sandro;**;11;55.5;4;28.25;1;-0.25;9.75
-;4;38.25;Orlik Armon;**;3;57.5;2;38.75;-2;0.5;8.75
o;5;47.0;Korrodi Paul;*;6;56.75;6;46.75;1;-0.25;8.5

11g;Bernold Christian;*;;;;;;;;;55.5
-;;;Odermatt Christoph;*;;;;;;;9.0
o;3;9.0;Nägeli Marco;*;9;56.0;3;9.0;0;0.0;8.75
+;7;17.75;Caflisch Stefan;;17;54.0;5;18.5;-2;0.75;10.0
-;6;27.75;Schäppi Urs;;16;54.25;4;28.25;-2;0.5;9.0
-;10;36.75;Manser Bruno;*;14;54.75;9;37.0;-1;0.25;9.0
+;10;45.75;Straub Robin;*;17;54.0;11;45.5;1;-0.25;9.75

11h;Sprecher Sandro;*;;;;;;;;;55.5
-;;;Güntensperger Marcel;*;;;;;;;8.75
+;4;8.75;Fröhli Lukas (1999);;20;53.25;1;10.0;-3;1.25;9.75
o;5;18.5;Notz Beni;***;11;55.5;5;18.5;0;0.0;8.5
+;9;27.0;Wolfender Roman;;25;35.25;10;26.75;1;-0.25;10.0
o;9;37.0;Bernold Edi;**;12;55.25;10;36.75;1;-0.25;8.5
+;11;45.5;Raschle Adrian;;17;54.0;11;45.5;0;0.0;10.0

11i;Inauen Andreas;*;;;;;;;;;55.5
+;;;Akeret Benno;*;;;;;;;10.0
o;1;10.0;Büsser Andy;***;8;56.25;4;8.75;3;-1.25;8.5
+;5;18.5;Moseler Manuel (1999);;25;35.25;6;18.25;1;-0.25;10.0
o;3;28.5;Schneider Domenic;**;1;58.25;3;28.5;0;0.0;8.5
o;9;37.0;Landolt Reto;*;9;56.0;8;37.25;-1;0.25;8.5
+;11;45.5;Caflisch Stefan;;17;54.0;11;45.5;0;0.0;10.0

11j;Litscher Manuel;;;;;;;;;;55.5
o;;;Koch Reto;;;;;;;;8.75
-;4;8.75;Thiemann Fabrice;;26;34.75;4;8.75;0;0.0;8.75
o;8;17.5;Kessler Joel (1997);;13;55.0;8;17.5;0;0.0;8.5
+;12;26.0;Fässler Michael (1999);;28;34.25;14;25.5;2;-0.5;9.75
+;14;35.75;Oetiker Ronny;;16;54.25;13;36.0;-1;0.25;10.0
+;10;45.75;Biäsch Christian;;17;54.0;11;45.5;1;-0.25;9.75

11k;Mathis Patrick;;;;;;;;;;55.5
+;;;Fässler Michael (1999);;;;;;;;9.75
o;2;9.75;Rüegg Roman;*;11;55.5;4;8.75;2;-1.0;8.75
+;5;18.5;Bernold Michael (1999);;16;54.25;5;18.5;0;0.0;10.0
o;3;28.5;Gwerder Andreas;**;12;55.25;6;27.75;3;-0.75;8.5
o;9;37.0;Corvi Dominik;;10;55.75;8;37.25;-1;0.25;8.5
+;11;45.5;Kamm Fritz (1999);;17;54.0;11;45.5;0;0.0;10.0

12a;Oertig Simon;;;;;;;;;;55.25
+;;;Schläpfer Ramon (1999);;;;;;;;10.0
o;1;10.0;Signer Emil;**;7;56.5;4;8.75;3;-1.25;8.5
-;5;18.5;Preisig Pascal;;21;53.0;6;18.25;1;-0.25;8.75
o;8;27.25;Straub Robin;*;17;54.0;9;27.0;1;-0.25;8.5
+;14;35.75;Castelberg Andri;;18;53.75;11;36.5;-3;0.75;9.75
+;11;45.5;Fuster Sepp (1997);;17;54.0;11;45.5;0;0.0;9.75

12b;Schnyder Christian;;;;;;;;;;55.25
+;;;Moseler Manuel (1999);;;;;;;;10.0
+;1;10.0;Bürki Patrik (1999);;18;53.75;2;9.75;1;-0.25;10.0
o;1;20.0;Schneider Domenic;**;1;58.25;5;18.5;4;-1.5;8.5
+;3;28.5;Ruof Christof;;17;54.0;3;28.5;0;0.0;9.75
o;4;38.25;Fässler Andreas;**;5;57.0;8;37.25;4;-1.0;8.5
o;6;46.75;Signer Emil;**;7;56.5;7;46.5;1;-0.25;8.5

12c;Gwerder Andreas;**;;;;;;;;;55.25
-;;;Knechtle Martin;**;;;;;;;8.75
+;4;8.75;Coray Beda;*;10;55.75;2;9.75;-2;1.0;10.0
-;4;18.75;Horner Peter;**;6;56.75;3;19.5;-1;0.75;9.0
+;6;27.75;Mathis Patrick;;11;55.5;3;28.5;-3;0.75;10.0
-;6;37.75;Jöhl Christian;;4;57.25;4;38.25;-2;0.5;9.0
o;6;46.75;Forrer Arnold;***;6;56.75;5;47.0;-1;0.25;8.5

12d;Bernold Edi;**;;;;;;;;;55.25
o;;;Ackermann Remo;*;;;;;;;8.5
+;5;8.5;Inauen Aurel;;13;55.0;2;9.75;-3;1.25;9.75
-;6;18.25;Fontana Michael;;9;56.0;5;18.5;-1;0.25;8.75
+;9;27.0;Pianta Christian (1997);;12;55.25;8;27.25;-1;0.25;9.75
+;10;36.75;Sprecher Sandro;*;11;55.5;9;37.0;-1;0.25;10.0
o;6;46.75;Rychen Roger;**;6;56.75;5;47.0;-1;0.25;8.5

12e;Hochholdinger Roman;**;;;;;;;;;55.25
-;;;Jud Pirmin;*;;;;;;;8.75
-;4;8.75;Corvi Dominik;;10;55.75;1;10.0;-3;1.25;8.75
+;8;17.5;Basler Siro;;22;52.75;6;18.25;-2;0.75;10.0
-;7;27.5;Knechtle Martin;**;13;55.0;7;27.5;0;0.0;9.0
+;11;36.5;Raymann David;;12;55.25;10;36.75;-1;0.25;10.0
-;7;46.5;Bäbler Sandro;**;11;55.5;6;46.75;-1;0.25;8.75

12f;Battaglia Ursin;**;;;;;;;;;55.25
o;;;Bäbler Sandro;**;;;;;;;8.5
+;5;8.5;Lanter Christian (1998);;15;54.5;1;10.0;-4;1.5;9.75
+;6;18.25;Koch Thomas (1997);;16;54.25;4;18.75;-2;0.5;10.0
o;4;28.25;Rychen Roger;**;6;56.75;3;28.5;-1;0.25;8.5
+;10;36.75;Rütsche Werner;;18;53.75;10;36.75;0;0.0;10.0
o;6;46.75;Roth Martin;*;7;56.5;6;46.75;0;0.0;8.5

12g;Raymann David;;;;;;;;;;55.25
o;;;Inauen Aurel;;;;;;;;8.5
+;5;8.5;Rhyner Beni (1999);;27;34.5;4;8.75;-1;0.25;10.0
