2951-2017-08-20_18_Schwaegalp-Schwinget-ST

1a;Bösch Daniel;***;;;;;;;;;58.75
+;;;Anderegg Simon;***;;;;;;;10.0
+;1;10.0;Gnägi Florian;***;6;56.5;2;9.75;1;-0.25;10.0
+;1;20.0;Leuppi Samir;**;7;56.25;3;19.5;2;-0.5;10.0
-;1;30.0;Aeschbacher Matthias;**;3;57.5;3;28.75;2;-1.25;8.75
+;1;38.75;Gottofrey Marc;**;5;56.75;3;38.25;2;-0.5;10.0
+;1;48.75;Sempach Thomas;***;4;57.0;2;48.25;1;-0.5;10.0

2a;Orlik Armon;***;;;;;;;;;58.25
+;;;Reusser Philipp;***;;;;;;;9.75
+;2;9.75;Schneider Domenic;***;7;56.25;2;9.75;0;0.0;9.75
+;3;19.5;Gottofrey Marc;**;5;56.75;2;19.75;-1;0.25;10.0
o;2;29.5;Sempach Thomas;***;4;57.0;4;28.5;2;-1.0;8.75
+;3;38.25;Kramer Lario;**;9;55.75;2;38.5;-1;0.25;10.0
+;2;48.25;Anderegg Simon;***;7;56.25;3;47.75;1;-0.5;10.0

3a;Aeschbacher Matthias;**;;;;;;;;;57.5
-;;;Giger Samuel;***;;;;;;;8.75
+;3;8.75;Ammann Rico;*;22;35.25;2;9.75;-1;1.0;10.0
+;4;18.75;Nägeli Marco;**;10;55.5;2;19.75;-2;1.0;10.0
-;3;28.75;Bösch Daniel;***;1;58.75;1;30.0;-2;1.25;9.0
+;5;37.75;Schlegel Reto;*;11;55.25;3;38.25;-2;0.5;10.0
+;3;47.75;Kindlimann Fabian;***;9;55.75;4;47.25;1;-0.5;9.75

4a;Bless Michael;***;;;;;;;;;57.0
o;;;Sempach Thomas;***;;;;;;;8.5
+;4;8.5;Weyermann Florian;*;9;55.75;1;10.0;-3;1.5;10.0
+;5;18.5;Schenkel Remo;*;9;55.75;5;18.5;0;0.0;10.0
o;4;28.5;Anderegg Simon;***;7;56.25;5;28.25;1;-0.25;8.5
+;8;37.0;Dousse Michel;**;15;54.25;7;37.25;-1;0.25;10.0
+;5;47.0;Roschi Ruedi;**;10;55.5;5;47.0;0;0.0;10.0

4b;Sempach Thomas;***;;;;;;;;;57.0
+;;;Bless Michael;***;;;;;;;9.75
-;2;9.75;Kindlimann Fabian;***;9;55.75;1;10.0;-1;0.25;8.75
+;5;18.5;Steiner Michael;**;15;54.25;4;18.75;-1;0.25;10.0
+;4;28.5;Orlik Armon;***;2;58.25;2;29.5;-2;1.0;9.75
+;3;38.25;Rychen Roger;***;10;55.5;3;38.25;0;0.0;10.0
o;2;48.25;Bösch Daniel;***;1;58.75;1;48.75;-1;0.5;8.75

4c;Giger Samuel;***;;;;;;;;;57.0
-;;;Aeschbacher Matthias;**;;;;;;;8.75
+;3;8.75;Schlegel Sandro;**;8;56.0;1;10.0;-2;1.25;10.0
+;4;18.75;Schenk Patrick;***;4;57.0;5;18.5;1;-0.25;9.75
-;4;28.5;Reusser Philipp;***;12;55.0;5;28.25;1;-0.25;9.0
+;6;37.5;Roth Dominik;**;13;54.75;6;37.5;0;0.0;9.75
+;4;47.25;von Weissenfluh Kilian;**;9;55.75;4;47.25;0;0.0;9.75

4d;Schenk Patrick;***;;;;;;;;;57.0
o;;;Hersche Martin;***;;;;;;;8.5
+;4;8.5;Schmid Dominik;**;6;56.5;2;9.75;-2;1.25;10.0
o;5;18.5;Giger Samuel;***;4;57.0;4;18.75;-1;0.25;8.75
