3748-2017-05-21_107_Zuercher_Kantonalschwingfest-ST

1a;Leuppi Samir;**;;;;;;;;;59.5
o;6;18.5;Wittenwiler Roman;;11;55.5;6;18.5;0;0.0;8.5
+;12;27.0;Schwyn Adrian;;24;35.5;12;27.0;0;0.0;9.75
+;10;36.75;Koch Thomas;*;13;55.0;11;36.5;1;-0.25;10.0
+;9;46.75;Odermatt Christoph;*;13;55.0;10;46.5;1;-0.25;10.0

6d;Horner Peter;***;;;;;;;;;56.75
-;;;Schnurrenberger Roman;**;;;;;;;8.75
+;4;8.75;Ammann Rico;*;10;55.75;1;10.0;-3;1.25;9.75
o;6;18.5;Bernold Christian;**;5;57.0;5;18.75;-1;0.25;8.5
+;12;27.0;Güntensperger Marcel;*;16;54.25;7;28.25;-5;1.25;10.0
+;9;37.0;Baumann Rico;*;13;55.0;6;37.75;-3;0.75;9.75
+;9;46.75;Coray Beda;*;7;56.5;4;48.0;-5;1.25;10.0

6e;Oertig Dominik;**;;;;;;;;;56.75
+;;;Schneider Domenic;***;;;;;;;9.75
+;2;9.75;Schmid Patrick;*;9;56.0;1;10.0;-1;0.25;9.75
-;3;19.5;Rychen Roger;***;4;57.25;2;19.75;-1;0.25;9.0
+;6;28.5;Vogel Thomas;;9;56.0;2;29.75;-4;1.25;9.75
+;4;38.25;Candrian Gian-Luca;;9;56.0;3;38.5;-1;0.25;9.75
-;4;48.0;Burkhalter Stefan;***;10;55.75;8;47.0;4;-1.0;8.75

6f;Nägeli Marco;*;;;;;;;;;56.75
+;;;Fejzaj Naim;**;;;;;;;9.75
+;2;9.75;Nüssli Philipp;*;24;35.5;1;10.0;-1;0.25;10.0
+;2;19.75;Koch Reto;;9;56.0;4;19.0;2;-0.75;9.75
-;3;29.5;Krähenbühl Tobias;***;7;56.5;6;28.5;3;-1.0;9.0
+;3;38.5;Giger Urs;*;12;55.25;4;38.25;1;-0.25;9.75
o;3;48.25;Schneider Domenic;***;2;57.75;5;47.75;2;-0.5;8.5

6g;Schmid Dominik;**;;;;;;;;;56.75
+;;;Kammermann Thomas;*;;;;;;;10.0
o;1;10.0;Rychen Roger;***;4;57.25;1;10.0;0;0.0;8.5
+;6;18.5;Bischof Martin;;11;55.5;6;18.5;0;0.0;9.75
+;7;28.25;Bernold Michael (1999);;17;54.0;8;28.0;1;-0.25;9.75
+;5;38.0;Dumelin David;*;14;54.75;7;37.5;2;-0.5;10.0
o;4;48.0;Bernold Christian;**;5;57.0;7;47.25;3;-0.75;8.75

7a;Vestner Bruno;*;;;;;;;;;56.5
+;;;Korrodi Paul;*;;;;;;;10.0
