3748-2017-05-21_107_Zuercher_Kantonalschwingfest-ST

1a;Leuppi Samir;**;;;;;;;;;59.5
+;6;18.5;Schäppi Urs;;6;56.75;6;18.5;0;0.0;9.75
-;7;28.25;Gwerder Andreas;**;7;56.5;9;27.75;2;-0.5;8.75
-;9;37.0;Vögeli Sven;*;14;54.75;8;37.25;-1;0.25;8.75
+;13;45.75;Frauchiger Remo;;16;54.25;13;45.75;0;0.0;9.75

12a;Frick Andreas;*;;;;;;;;;55.25
o;;;Oertig Adrian;**;;;;;;;8.5
o;5;8.5;Pfister Florian;*;24;35.5;5;8.5;0;0.0;8.5
+;11;17.0;Brugger Jonas (1999);;19;53.5;7;18.25;-4;1.25;10.0
+;12;27.0;Pfleghart Remo;;15;54.5;10;27.5;-2;0.5;9.75
+;10;36.75;Bottlang Michael;;18;53.75;10;36.75;0;0.0;10.0
o;9;46.75;Gwerder Andreas;**;7;56.5;10;46.5;1;-0.25;8.5

12b;Rieser Fabian;;;;;;;;;;55.25
o;;;Junker Nik;;;;;;;;8.5
+;5;8.5;Sieber Marc (2000);;25;35.25;5;8.5;0;0.0;9.75
o;7;18.25;Bäbler Dominik;*;7;56.5;10;17.25;3;-1.0;8.5
+;13;26.75;Bollier Fabian;;25;35.25;13;26.75;0;0.0;10.0
+;10;36.75;Läng Dominick;;18;53.75;10;36.75;0;0.0;10.0
o;9;46.75;Bickel Roman;*;5;57.0;8;47.0;-1;0.25;8.5

12c;Funk Nicola (1999);;;;;;;;;;55.25
o;;;Nüssli Philipp;*;;;;;;;8.5
+;5;8.5;Schwager Ivo;;27;34.0;5;8.5;0;0.0;10.0
+;6;18.5;Hugener Adrian (2000);;24;35.5;6;18.5;0;0.0;9.75
o;7;28.25;Dörig Erich;*;10;55.75;11;27.25;4;-1.0;8.75
o;9;37.0;Dändliker Hansheinrich;;11;55.5;8;37.25;-1;0.25;8.5
+;14;45.5;Bernold Michael (1999);;17;54.0;14;45.5;0;0.0;9.75

12d;Schuler Martin;;;;;;;;;;55.25
+;;;Hurschler Michael;;;;;;;;9.75
-;2;9.75;Dändliker Shane;;9;56.0;2;9.75;0;0.0;9.0
o;5;18.75;Vestner Bruno;*;7;56.5;6;18.5;1;-0.25;8.5
+;11;27.25;Buchmann Michael;;14;54.75;11;27.25;0;0.0;9.75
o;9;37.0;Spangaro Luciano (2001);;6;56.75;10;36.75;1;-0.25;8.5
+;14;45.5;Bucher Roland;;16;54.25;13;45.75;-1;0.25;9.75

12e;Bosshard Dario (1999);;;;;;;;;;55.25
+;;;Brülisauer Dominik (2001);;;;;;;;9.75
+;2;9.75;Schönenberger Christian;;24;35.5;1;10.0;-1;0.25;10.0
o;2;19.75;Koch Thomas;*;13;55.0;7;18.25;5;-1.5;8.5
o;7;28.25;Schläpfer Matthias;*;7;56.5;11;27.25;4;-1.0;8.5
+;10;36.75;Langenegger Beat;;16;54.25;10;36.75;0;0.0;10.0
o;9;46.75;Bickel Stefan;*;7;56.5;10;46.5;1;-0.25;8.5

12f;Schmidlin Tobias (2001);;;;;;;;;;55.25
o;;;Fässler Michael (1999);;;;;;;;8.5
+;5;8.5;Städler Roman;;24;35.5;5;8.5;0;0.0;10.0
o;6;18.5;Elmer Adrian;*;17;54.0;10;17.25;4;-1.25;8.5
+;12;27.0;Hugener Adrian (2000);;24;35.5;12;27.0;0;0.0;10.0
o;9;37.0;Bickel Stefan;*;7;56.5;10;36.75;1;-0.25;8.5
+;14;45.5;Schegg Daniel (2000);;18;53.75;15;45.25;1;-0.25;9.75

12g;Lanter Christian;;;;;;;;;;55.25
+;;;Büchler Livio (2001);;;;;;;;10.0
+;1;10.0;Fuster Sepp;;12;55.25;2;9.75;1;-0.25;10.0
-;1;20.0;Schudel Simon;*;4;57.25;6;18.5;5;-1.5;9.0
o;4;29.0;Ammann Rico;*;10;55.75;6;28.5;2;-0.5;8.75
o;6;37.75;Schläpfer Matthias;*;7;56.5;9;37.0;3;-0.75;8.5
-;11;46.25;Wettstein Daniel;;10;55.75;9;46.75;-2;0.5;9.0

12h;Krähenbühl Lukas;*;;;;;;;;;55.25
-;;;Dörig Erich;*;;;;;;;8.75
o;4;8.75;Kuster Thomas;*;15;54.5;4;8.75;0;0.0;8.5
+;10;17.25;Läng Dominick;;18;53.75;7;18.25;-3;1.0;9.75
+;12;27.0;Berger Roman;;24;35.5;12;27.0;0;0.0;9.75
-;10;36.75;Wey Nicola;*;11;55.5;9;37.0;-1;0.25;8.75
+;14;45.5;Hurschler Michael;;16;54.25;13;45.75;-1;0.25;9.75

12i;Hauser Simon;;;;;;;;;;55.25
+;;;Langenegger Beat;;;;;;;;9.75
o;2;9.75;Schudel Simon;*;4;57.25;5;8.5;3;-1.25;8.5
-;7;18.25;Brülisauer Dominik (2001);;24;35.5;7;18.25;0;0.0;9.0
o;11;27.25;Koch Reto;;9;56.0;10;27.5;-1;0.25;8.5
+;14;35.75;Dobler Lorenz (2000);;19;53.5;11;36.5;-3;0.75;9.75
+;14;45.5;Junker Nik;;16;54.25;13;45.75;-1;0.25;9.75
o;12;55.25;Dändliker Shane;;9;56.0;9;56.0;-3;0.75;0.0

12j;Fuster Sepp;;;;;;;;;;55.25
+;;;Rüegg Patrick (1999);;;;;;;;9.75
o;2;9.75;Lanter Christian;;12;55.25;1;10.0;-1;0.25;8.5
+;7;18.25;Bollier Fabian;;25;35.25;7;18.25;0;0.0;10.0
o;7;28.25;Ackermann Remo;*;2;57.75;8;28.0;1;-0.25;8.5
o;10;36.75;Bäbler Dominik;*;7;56.5;10;36.75;0;0.0;8.5
+;15;45.25;Bottlang Michael;;18;53.75;15;45.25;0;0.0;10.0

12k;Giger Urs;*;;;;;;;;;55.25
+;;;Keller Andreas;*;;;;;;;10.0
o;1;10.0;Leuppi Samir;**;1;59.5;2;9.75;1;-0.25;8.5
+;6;18.5;Büsser André;;15;54.5;4;19.0;-2;0.5;10.0
+;6;28.5;Dändliker Shane;;9;56.0;5;28.75;-1;0.25;9.75
o;4;38.25;Nägeli Marco;*;6;56.75;3;38.5;-1;0.25;8.5
o;9;46.75;Kindlimann Fabian;***;10;55.75;13;45.75;4;-1.0;8.5

13a;Lehmann Philipp (1999);;;;;;;;;;55.0
+;;;Dobler Lorenz (2000);;;;;;;;10.0
-;1;10.0;Inauen Aurel;;18;53.75;2;9.75;1;-0.25;8.75
o;5;18.75;Morger Adrian;*;11;55.5;6;18.5;1;-0.25;8.75
o;10;27.5;Hersche Daniel;;14;54.75;10;27.5;0;0.0;8.5
+;13;36.0;Furrer Matthias;;14;54.75;11;36.5;-2;0.5;10.0
-;12;46.0;Inauen Andreas;*;13;55.0;12;46.0;0;0.0;9.0

13b;Baumann Rico;*;;;;;;;;;55.0
-;;;Dumelin David;*;;;;;;;9.0
-;3;9.0;Oertle Daniel;*;15;54.5;3;9.0;0;0.0;8.75
+;8;17.75;Bottlang Michael;;18;53.75;6;18.5;-2;0.75;10.0
+;9;27.75;Ackermann Roman;;19;53.5;8;28.0;-1;0.25;10.0
o;6;37.75;Horner Peter;***;6;56.75;9;37.0;3;-0.75;8.5
-;11;46.25;Bühler Ernst;**;9;56.0;8;47.0;-3;0.75;8.75

13c;Odermatt Christoph;*;;;;;;;;;55.0
o;;;Coray Beda;*;;;;;;;8.5
+;5;8.5;Ackermann Roman;;19;53.5;2;9.75;-3;1.25;9.75
+;7;18.25;Hersche Daniel;;14;54.75;4;19.0;-3;0.75;9.75
+;8;28.0;Koch Thomas;*;13;55.0;8;28.0;0;0.0;9.75
-;6;37.75;Rüegg Fabian;*;11;55.5;4;38.25;-2;0.5;8.75
o;10;46.5;Schäppi Urs;;6;56.75;9;46.75;-1;0.25;8.5

13d;Inauen Andreas;*;;;;;;;;;55.0
+;;;Städler Roman;;;;;;;;10.0
o;1;10.0;Ackermann Remo;*;2;57.75;2;9.75;1;-0.25;8.5
+;6;18.5;Kiser Michael;;24;35.5;6;18.5;0;0.0;10.0
o;6;28.5;Kindlimann Fabian;***;10;55.75;11;27.25;5;-1.25;8.5
-;9;37.0;Näf Pius;*;9;56.0;9;37.0;0;0.0;9.0
-;12;46.0;Lehmann Philipp (1999);;13;55.0;12;46.0;0;0.0;9.0

13e;Nock Benjamin (2001);;;;;;;;;;55.0
-;;;Dubler Mike (1999);;;;;;;;9.0
-;3;9.0;Kiser Michael;;24;35.5;2;9.75;-1;0.75;8.75
+;8;17.75;Eichhorn Alexander;;25;35.25;7;18.25;-1;0.5;10.0
o;9;27.75;Notz Armin;*;10;55.75;11;27.25;2;-0.5;8.5
o;12;36.25;Buchmann Michael;;14;54.75;13;36.0;1;-0.25;8.75
+;16;45.0;Lusti Remo (2001);;19;53.5;16;45.0;0;0.0;10.0

13f;Vollmeier Sandro;;;;;;;;;;55.0
+;;;Keller Werner;;;;;;;;9.75
o;2;9.75;Bühler Ernst;**;9;56.0;4;8.75;2;-1.0;8.5
+;7;18.25;Schmid Reto;;25;35.25;7;18.25;0;0.0;9.75
+;8;28.0;Kuster Thomas;*;15;54.5;9;27.75;1;-0.25;10.0
o;5;38.0;Ackermann Remo;*;2;57.75;6;37.75;1;-0.25;8.5
o;10;46.5;Vestner Bruno;*;7;56.5;9;46.75;-1;0.25;8.5

13g;Koch Thomas;*;;;;;;;;;55.0
o;;;Bickel Roman;*;;;;;;;8.5
+;5;8.5;Junker Nik;;16;54.25;1;10.0;-4;1.5;9.75
+;7;18.25;Bosshard Dario (1999);;12;55.25;2;19.75;-5;1.5;9.75
o;8;28.0;Odermatt Christoph;*;13;55.0;8;28.0;0;0.0;8.5
o;11;36.5;Schäppi Urs;;6;56.75;10;36.75;-1;0.25;8.5
+;16;45.0;Hungerbühler Marcel;;17;54.0;14;45.5;-2;0.5;10.0

14a;Buchmann Michael;;;;;;;;;;54.75
+;;;Bossert Alain (2001);;;;;;;;10.0
o;1;10.0;Vogel Thomas;;9;56.0;2;9.75;1;-0.25;8.5
o;6;18.5;Neff Florian;;17;54.0;6;18.5;0;0.0;8.75
o;11;27.25;Schuler Martin;;12;55.25;11;27.25;0;0.0;8.75
+;13;36.0;Nock Benjamin (2001);;13;55.0;12;36.25;-1;0.25;10.0
o;12;46.0;Notz Armin;*;10;55.75;13;45.75;1;-0.25;8.75

14b;Dumelin David;*;;;;;;;;;54.75
-;;;Baumann Rico;*;;;;;;;9.0
+;3;9.0;Schmid Reto;;25;35.25;2;9.75;-1;0.75;10.0
o;4;19.0;Leuppi Samir;**;1;59.5;3;19.5;-1;0.5;8.5
+;10;27.5;Räbsamen Marcel (2000);;23;36.25;9;27.75;-1;0.25;10.0
o;7;37.5;Schmid Dominik;**;6;56.75;5;38.0;-2;0.5;8.75
o;11;46.25;Schmid Patrick;*;9;56.0;12;46.0;1;-0.25;8.5

14c;Fejzaj Naim;**;;;;;;;;;54.75
o;;;Nägeli Marco;*;;;;;;;8.5
+;5;8.5;Bernold Michael (1999);;17;54.0;2;9.75;-3;1.25;10.0
-;6;18.5;Burkhalter Stefan;***;10;55.75;6;18.5;0;0.0;8.75
+;11;27.25;Furrer Matthias;;14;54.75;8;28.0;-3;0.75;10.0
-;8;37.25;Steiner Michael;**;9;56.0;8;37.25;0;0.0;9.0
o;11;46.25;Oertig Adrian;**;5;57.0;8;47.0;-3;0.75;8.5

14d;Hersche Daniel;;;;;;;;;;54.75
-;;;Räbsamen Marcel (2000);;;;;;;;9.0
+;3;9.0;Keller Andreas;*;14;54.75;5;8.5;2;-0.5;10.0
o;4;19.0;Odermatt Christoph;*;13;55.0;7;18.25;3;-0.75;8.5
+;10;27.5;Lehmann Philipp (1999);;13;55.0;10;27.5;0;0.0;9.75
-;8;37.25;Dändliker Shane;;9;56.0;8;37.25;0;0.0;8.75
-;12;46.0;Korrodi Paul;*;15;54.5;13;45.75;1;-0.25;8.75

14e;Furrer Matthias;;;;;;;;;;54.75
+;;;Eugster Silvio;;;;;;;;9.75
+;2;9.75;Kiener Raphael (2000);;16;54.25;1;10.0;-1;0.25;9.75
o;3;19.5;Arztmann Beda;;6;56.75;2;19.75;-1;0.25;8.5
o;8;28.0;Fejzaj Naim;**;14;54.75;11;27.25;3;-0.75;8.5
o;11;36.5;Lehmann Philipp (1999);;13;55.0;13;36.0;2;-0.5;8.5
+;16;45.0;Ackermann Roman;;19;53.5;16;45.0;0;0.0;9.75

14f;Vögeli Sven;*;;;;;;;;;54.75
+;;;Wey Nicola;*;;;;;;;10.0
+;1;10.0;Steiner Michael;**;9;56.0;3;9.0;2;-1.0;10.0
o;1;20.0;Schnurrenberger Roman;**;3;57.5;5;18.75;4;-1.25;8.75
o;5;28.75;Rychen Roger;***;4;57.25;5;28.75;0;0.0;8.5
-;8;37.25;Wittenwiler Roman;;11;55.5;9;37.0;1;-0.25;8.75
o;12;46.0;Breitenmoser Manuel;;9;56.0;11;46.25;-1;0.25;8.75

14g;Keller Andreas;*;;;;;;;;;54.75
o;;;Giger Urs;*;;;;;;;8.5
o;5;8.5;Hersche Daniel;;14;54.75;3;9.0;-2;0.5;8.5
+;11;17.0;Dubler Mike (1999);;17;54.0;8;17.75;-3;0.75;9.75
+;13;26.75;Schiesser Patrik;;24;35.5;12;27.0;-1;0.25;9.75
+;11;36.5;Elmer Adrian;*;17;54.0;10;36.75;-1;0.25;9.75
o;11;46.25;Schläpfer Matthias;*;7;56.5;9;46.75;-2;0.5;8.5

15a;Kuster Thomas;*;;;;;;;;;54.5
-;;;Riget Ivan;*;;;;;;;8.75
+;4;8.75;Krähenbühl Lukas;*;12;55.25;4;8.75;0;0.0;10.0
-;5;18.75;Gwerder Andreas;**;7;56.5;5;18.75;0;0.0;9.0
o;9;27.75;Vollmeier Sandro;;13;55.0;8;28.0;-1;0.25;8.5
+;12;36.25;Bischof Martin;;11;55.5;9;37.0;-3;0.75;9.75
o;12;46.0;Kammermann Thomas;*;9;56.0;12;46.0;0;0.0;8.5

15b;Büsser André;;;;;;;;;;54.5
-;;;Oettli Silvio (2000);;;;;;;;9.0
+;3;9.0;Pfleghart Remo;;15;54.5;3;9.0;0;0.0;10.0
o;4;19.0;Giger Urs;*;12;55.25;6;18.5;2;-0.5;8.5
+;10;27.5;Oertle Daniel;*;15;54.5;10;27.5;0;0.0;10.0
o;7;37.5;Gwerder Andreas;**;7;56.5;11;36.5;4;-1.0;8.5
o;12;46.0;Koch Reto;;9;56.0;12;46.0;0;0.0;8.5

15c;Oertle Daniel;*;;;;;;;;;54.5
-;;;Elmer Daniel;*;;;;;;;9.0
-;3;9.0;Baumann Rico;*;13;55.0;3;9.0;0;0.0;8.75
+;8;17.75;Fäh Tobias;;17;54.0;6;18.5;-2;0.75;9.75
o;10;27.5;Büsser André;;15;54.5;10;27.5;0;0.0;8.5
+;13;36.0;Schegg Daniel (2000);;18;53.75;10;36.75;-3;0.75;10.0
o;12;46.0;Steiner Michael;**;9;56.0;11;46.25;-1;0.25;8.5

15d;Oettli Silvio (2000);;;;;;;;;;54.5
-;;;Büsser André;;;;;;;;9.0
o;3;9.0;Breitenmoser Manuel;;9;56.0;3;9.0;0;0.0;8.5
+;9;17.5;Leuppi Karim;*;16;54.25;10;17.25;1;-0.25;10.0
o;10;27.5;Elmer Daniel;*;7;56.5;9;27.75;-1;0.25;8.5
+;13;36.0;Lusti Remo (2001);;19;53.5;11;36.5;-2;0.5;10.0
o;12;46.0;Dörig Erich;*;10;55.75;13;45.75;1;-0.25;8.5

15e;Korrodi Paul;*;;;;;;;;;54.5
o;;;Vestner Bruno;*;;;;;;;8.5
-;5;8.5;Dubler Mike (1999);;17;54.0;3;9.0;-2;0.5;8.75
+;10;17.25;Thoma Luca (2000);;24;35.5;10;17.25;0;0.0;10.0
+;11;27.25;Pianta Christian;;11;55.5;11;27.25;0;0.0;9.75
-;9;37.0;Notz Armin;*;10;55.75;9;37.0;0;0.0;8.75
-;13;45.75;Hersche Daniel;;14;54.75;12;46.0;-1;0.25;8.75

15f;Pfleghart Remo;;;;;;;;;;54.5
-;;;Breitenmoser Manuel;;;;;;;;9.0
o;3;9.0;Büsser André;;15;54.5;3;9.0;0;0.0;8.5
+;9;17.5;Streule Marco;;26;34.25;10;17.25;1;-0.25;10.0
o;10;27.5;Frick Andreas;*;12;55.25;12;27.0;2;-0.5;8.5
-;13;36.0;Inauen Aurel;;18;53.75;13;36.0;0;0.0;8.75
+;17;44.75;Brugger Jonas (1999);;19;53.5;16;45.0;-1;0.25;9.75

15g;Riget Ivan;*;;;;;;;;;54.5
-;;;Kuster Thomas;*;;;;;;;8.75
o;4;8.75;Schneider Domenic;***;2;57.75;5;8.5;1;-0.25;8.5
+;10;17.25;Horner Sämi;;24;35.5;11;17.0;1;-0.25;9.75
-;12;27.0;Inauen Aurel;;18;53.75;11;27.25;-1;0.25;8.75
+;14;35.75;Fäh Tobias;;17;54.0;9;37.0;-5;1.25;10.0
-;13;45.75;Güntensperger Marcel;*;16;54.25;14;45.5;1;-0.25;8.75

16a;Bucher Roland;;;;;;;;;;54.25
+;;;Kramer Lukas (2001);;;;;;;;10.0
+;1;10.0;Hänni Marc (2001);;16;54.25;2;9.75;1;-0.25;10.0
o;1;20.0;Güntensperger Marcel;*;16;54.25;7;18.25;6;-1.75;8.5
o;6;28.5;Vestner Bruno;*;7;56.5;6;28.5;0;0.0;8.5
-;9;37.0;Junker Nik;;16;54.25;9;37.0;0;0.0;8.75
o;13;45.75;Schuler Martin;;12;55.25;14;45.5;1;-0.25;8.5

16b;Langenegger Beat;;;;;;;;;;54.25
o;;;Hauser Simon;;;;;;;;8.5
+;5;8.5;Boll Noel (2000);;27;34.0;5;8.5;0;0.0;9.75
o;7;18.25;Ott Dominik;*;17;54.0;10;17.25;3;-1.0;8.5
+;13;26.75;Grimm Michael;;25;35.25;13;26.75;0;0.0;10.0
o;10;36.75;Bosshard Dario (1999);;12;55.25;10;36.75;0;0.0;8.5
-;15;45.25;Rüegg Patrick (1999);;16;54.25;15;45.25;0;0.0;9.0

16c;Burkhard Roger;;;;;;;;;;54.25
o;;;Bollhalder Manuel (2001);;;;;;;;8.5
-;5;8.5;Eugster Silvio;;26;34.25;5;8.5;0;0.0;8.75
+;10;17.25;Glättli Benny;;27;34.0;11;17.0;1;-0.25;10.0
o;11;27.25;Steiner Michael;**;9;56.0;11;27.25;0;0.0;8.5
o;14;35.75;Hurschler Michael;;16;54.25;14;35.75;0;0.0;8.5
+;18;44.25;Pallaoro Luca;;21;52.75;18;44.25;0;0.0;10.0

16d;Bäbler Sandro;**;;;;;;;;;54.25
-;;;Notz Armin;*;;;;;;;8.75
+;4;8.75;Schäppi Urs;;6;56.75;1;10.0;-3;1.25;10.0
+;5;18.75;Bickel Roman;*;5;57.0;2;19.75;-3;1.0;9.75
o;6;28.5;Burkhalter Stefan;***;10;55.75;11;27.25;5;-1.25;8.5
-;9;37.0;Dörig Erich;*;10;55.75;9;37.0;0;0.0;8.75
o;13;45.75;Näf Pius;*;9;56.0;12;46.0;-1;0.25;8.5

16e;Junker Nik;;;;;;;;;;54.25
+;;;Rieser Fabian;;;;;;;;10.0
o;1;10.0;Koch Thomas;*;13;55.0;5;8.5;4;-1.5;8.5
+;6;18.5;Hungerbühler Marcel;;17;54.0;6;18.5;0;0.0;10.0
o;6;28.5;Rüegg Fabian;*;11;55.5;7;28.25;1;-0.25;8.5
-;9;37.0;Bucher Roland;;16;54.25;9;37.0;0;0.0;8.75
o;13;45.75;Hauser Simon;;12;55.25;14;45.5;1;-0.25;8.5

16f;Güntensperger Marcel;*;;;;;;;;;54.25
o;;;Ammann Rico;*;;;;;;;8.5
+;5;8.5;Bucher Roland;;16;54.25;1;10.0;-4;1.5;9.75
+;7;18.25;Schwyn Patrick (1999);;24;35.5;6;18.5;-1;0.25;10.0
o;7;28.25;Horner Peter;***;6;56.75;12;27.0;5;-1.25;8.5
-;10;36.75;Neff Florian;;17;54.0;10;36.75;0;0.0;8.75
-;14;45.5;Riget Ivan;*;15;54.5;13;45.75;-1;0.25;8.75

16g;Kiener Raphael (2000);;;;;;;;;;54.25
+;;;Vontobel Florian (2001);;;;;;;;10.0
o;1;10.0;Furrer Matthias;;14;54.75;2;9.75;1;-0.25;8.5
+;6;18.5;Dobler Lorenz (2000);;19;53.5;7;18.25;1;-0.25;9.75
o;7;28.25;Ott Dominik;*;17;54.0;12;27.0;5;-1.25;8.5
-;10;36.75;Hänni Marc (2001);;16;54.25;10;36.75;0;0.0;9.0
o;13;45.75;Pianta Christian;;11;55.5;13;45.75;0;0.0;8.5

16h;Leuppi Karim;*;;;;;;;;;54.25
o;;;Schläpfer Matthias;*;;;;;;;8.5
-;5;8.5;Räbsamen Marcel (2000);;23;36.25;3;9.0;-2;0.5;8.75
o;10;17.25;Oettli Silvio (2000);;15;54.5;9;17.5;-1;0.25;8.5
+;15;25.75;Brülisauer Dominik (2001);;24;35.5;12;27.0;-3;1.25;10.0
o;14;35.75;Kunz Daniel;;8;56.25;8;37.25;-6;1.5;8.5
+;18;44.25;Läng Dominick;;18;53.75;15;45.25;-3;1.0;10.0

16i;Hurschler Michael;;;;;;;;;;54.25
o;;;Schuler Martin;;;;;;;;8.5
-;5;8.5;Frauchiger Remo;;16;54.25;5;8.5;0;0.0;8.75
+;10;17.25;Schwager Ivo;;27;34.0;11;17.0;1;-0.25;9.75
-;12;27.0;Braun Mathias;*;11;55.5;12;27.0;0;0.0;8.75
+;14;35.75;Burkhard Roger;;16;54.25;14;35.75;0;0.0;10.0
o;13;45.75;Krähenbühl Lukas;*;12;55.25;14;45.5;1;-0.25;8.5

16j;Frauchiger Remo;;;;;;;;;;54.25
o;;;Schwyn Adrian;;;;;;;;8.5
-;5;8.5;Hurschler Michael;;16;54.25;5;8.5;0;0.0;8.75
+;10;17.25;Schwager Mike (2000);;24;35.5;10;17.25;0;0.0;10.0
o;11;27.25;Elmer Adrian;*;17;54.0;12;27.0;1;-0.25;8.5
+;14;35.75;Pallaoro Luca;;21;52.75;14;35.75;0;0.0;10.0
o;13;45.75;Wittenwiler Roman;;11;55.5;13;45.75;0;0.0;8.5

16k;Hänni Marc (2001);;;;;;;;;;54.25
+;;;Stadelmann Valentin (2000);;;;;;;;9.75
o;2;9.75;Bucher Roland;;16;54.25;1;10.0;-1;0.25;8.5
o;7;18.25;Ackermann Roman;;19;53.5;7;18.25;0;0.0;8.5
+;13;26.75;Schwager Ivo;;27;34.0;16;25.5;3;-1.25;10.0
-;10;36.75;Kiener Raphael (2000);;16;54.25;10;36.75;0;0.0;9.0
o;13;45.75;Braun Mathias;*;11;55.5;14;45.5;1;-0.25;8.5

16l;Rüegg Patrick (1999);;;;;;;;;;54.25
o;;;Fuster Sepp;;;;;;;;8.5
+;5;8.5;Schegg Daniel (2000);;18;53.75;5;8.5;0;0.0;9.75
-;7;18.25;Pianta Christian;;11;55.5;6;18.5;-1;0.25;8.75
+;12;27.0;Kiser Michael;;24;35.5;12;27.0;0;0.0;9.75
o;10;36.75;Braun Mathias;*;11;55.5;14;35.75;4;-1.0;8.5
-;15;45.25;Langenegger Beat;;16;54.25;15;45.25;0;0.0;9.0

17a;Fäh Tobias;;;;;;;;;;54.0
-;;;Koch Reto;;;;;;;;8.75
+;4;8.75;Horner Sämi;;24;35.5;5;8.5;1;-0.25;9.75
o;6;18.5;Oertle Daniel;*;15;54.5;8;17.75;2;-0.75;8.5
+;12;27.0;Schwyn Patrick (1999);;24;35.5;12;27.0;0;0.0;10.0
o;9;37.0;Riget Ivan;*;15;54.5;14;35.75;5;-1.25;8.5
o;14;45.5;Bischof Martin;;11;55.5;14;45.5;0;0.0;8.5

17b;Hungerbühler Marcel;;;;;;;;;;54.0
+;;;Schiesser Patrik;;;;;;;;10.0
o;1;10.0;Bickel Roman;*;5;57.0;2;9.75;1;-0.25;8.5
o;6;18.5;Junker Nik;;16;54.25;6;18.5;0;0.0;8.5
+;12;27.0;Schönenberger Christian;;24;35.5;12;27.0;0;0.0;10.0
o;9;37.0;Schmid Patrick;*;9;56.0;13;36.0;4;-1.0;8.5
o;14;45.5;Koch Thomas;*;13;55.0;16;45.0;2;-0.5;8.5

17c;Bernold Michael (1999);;;;;;;;;;54.0
+;;;Neff Florian;;;;;;;;9.75
o;2;9.75;Fejzaj Naim;**;14;54.75;5;8.5;3;-1.25;8.5
+;7;18.25;Inauen Aurel;;18;53.75;6;18.5;-1;0.25;9.75
o;8;28.0;Schmid Dominik;**;6;56.75;7;28.25;-1;0.25;8.5
-;11;36.5;Dubler Mike (1999);;17;54.0;12;36.25;1;-0.25;9.0
o;14;45.5;Funk Nicola (1999);;12;55.25;14;45.5;0;0.0;8.5

17d;Elmer Adrian;*;;;;;;;;;54.0
-;;;Morger Adrian;*;;;;;;;8.75
o;4;8.75;Dörig Erich;*;10;55.75;4;8.75;0;0.0;8.5
+;10;17.25;Schmidlin Tobias (2001);;12;55.25;6;18.5;-4;1.25;9.75
+;12;27.0;Frauchiger Remo;;16;54.25;11;27.25;-1;0.25;9.75
o;10;36.75;Keller Andreas;*;14;54.75;11;36.5;1;-0.25;8.5
-;15;45.25;Dubler Mike (1999);;17;54.0;15;45.25;0;0.0;8.75

17e;Dubler Mike (1999);;;;;;;;;;54.0
-;;;Nock Benjamin (2001);;;;;;;;9.0
-;3;9.0;Korrodi Paul;*;15;54.5;5;8.5;2;-0.5;8.75
o;8;17.75;Keller Andreas;*;14;54.75;11;17.0;3;-0.75;8.5
+;14;26.25;Streule Marco;;26;34.25;15;25.75;1;-0.5;10.0
-;12;36.25;Bernold Michael (1999);;17;54.0;11;36.5;-1;0.25;9.0
-;15;45.25;Elmer Adrian;*;17;54.0;15;45.25;0;0.0;8.75

17f;Neff Florian;;;;;;;;;;54.0
o;;;Bernold Michael (1999);;;;;;;;8.5
+;5;8.5;Schiesser Patrik;;24;35.5;5;8.5;0;0.0;10.0
+;6;18.5;Buchmann Michael;;14;54.75;6;18.5;0;0.0;9.75
o;7;28.25;Oertig Adrian;**;5;57.0;10;27.5;3;-0.75;8.5
-;10;36.75;Güntensperger Marcel;*;16;54.25;10;36.75;0;0.0;8.75
o;14;45.5;Raschle Adrian;;11;55.5;14;45.5;0;0.0;8.5

17g;Ott Dominik;*;;;;;;;;;54.0
o;;;Reichmuth Beat;;;;;;;;8.5
-;5;8.5;Bäbler Dominik;*;7;56.5;5;8.5;0;0.0;8.75
+;10;17.25;Langenegger Beat;;16;54.25;7;18.25;-3;1.0;9.75
+;12;27.0;Kiener Raphael (2000);;16;54.25;7;28.25;-5;1.25;10.0
o;9;37.0;Oertig Adrian;**;5;57.0;8;37.25;-1;0.25;8.5
o;14;45.5;Wey Nicola;*;11;55.5;13;45.75;-1;0.25;8.5

18a;Schegg Daniel (2000);;;;;;;;;;53.75
o;;;Spangaro Luciano (2001);;;;;;;;8.5
o;5;8.5;Rüegg Patrick (1999);;16;54.25;5;8.5;0;0.0;8.5
+;11;17.0;Stadelmann Valentin (2000);;25;35.25;11;17.0;0;0.0;9.75
+;13;26.75;Eichhorn Alexander;;25;35.25;13;26.75;0;0.0;10.0
o;10;36.75;Oertle Daniel;*;15;54.5;13;36.0;3;-0.75;8.5
o;15;45.25;Schmidlin Tobias (2001);;12;55.25;14;45.5;-1;0.25;8.5

18b;Bottlang Michael;;;;;;;;;;53.75
+;;;Odermatt Michi;;;;;;;;9.75
-;2;9.75;Burkhard Tobias;;20;53.25;1;10.0;-1;0.25;8.75
o;6;18.5;Baumann Rico;*;13;55.0;8;17.75;2;-0.75;8.5
+;12;27.0;Schmid Reto;;25;35.25;13;26.75;1;-0.25;9.75
o;10;36.75;Frick Andreas;*;12;55.25;10;36.75;0;0.0;8.5
