4056-2019-06-16_Buendner-Glarner_Kantonalschwingfest-ST

1a;Orlik Armon;***;;;;;;;;;59.25
+;4;28.5;Landolt Reto;*;4;57.5;2;29.0;-2;0.5;10.0
o;3;38.5;Leuppi Samir;**;4;57.5;5;38.0;2;-0.5;8.5
+;8;47.0;Rhyner Michael;**;11;55.75;7;47.25;-1;0.25;10.0

6d;Wittenwiler Roman;*;;;;;;;;;57.0
-;;;Lehmann Philipp;*;;;;;;;9.0
+;3;9.0;Badat Thomas;;12;55.5;1;10.0;-2;1.0;9.75
o;4;18.75;Leuppi Samir;**;4;57.5;6;18.25;2;-0.5;8.5
+;9;27.25;Baumgartner Joël;;22;53.0;10;27.0;1;-0.25;10.0
+;8;37.25;Räbsamen Marcel;*;11;55.75;9;37.0;1;-0.25;10.0
+;7;47.25;Naef Sandro;;14;55.0;10;46.5;3;-0.75;9.75

7a;Geisser Lars;**;;;;;;;;;56.75
+;;;Gwerder Andreas;**;;;;;;;9.75
-;2;9.75;Bless Michael;***;11;55.75;5;8.5;3;-1.25;8.75
+;5;18.5;Schuler Martin;;13;55.25;4;18.75;-1;0.25;10.0
+;4;28.5;Dändliker Shane;**;7;56.75;5;28.25;1;-0.25;10.0
o;3;38.5;Rychen Roger;***;2;58.0;4;38.25;1;-0.25;8.5
+;8;47.0;Wehrli Jan (2002);;13;55.25;9;46.75;1;-0.25;9.75

7b;Keller Werner;;;;;;;;;;56.75
-;;;Martin Dominik;;;;;;;;8.75
+;4;8.75;Fäh Tobias;;21;53.25;4;8.75;0;0.0;10.0
o;4;18.75;Zbinden Marc;*;10;56.0;9;17.5;5;-1.25;8.5
+;9;27.25;Schönenberger Björn;;21;53.25;9;27.25;0;0.0;10.0
+;8;37.25;Battaglia Ursin;**;11;55.75;7;37.5;-1;0.25;9.75
+;8;47.0;Castelli Fabio;;11;55.75;7;47.25;-1;0.25;9.75

7c;Dändliker Shane;**;;;;;;;;;56.75
+;;;Rhyner Michael;**;;;;;;;10.0
o;1;10.0;Orlik Armon;***;1;59.25;1;10.0;0;0.0;8.5
+;5;18.5;Ackermann Roman;;17;54.25;5;18.5;0;0.0;9.75
o;5;28.25;Geisser Lars;**;7;56.75;4;28.5;-1;0.25;8.5
+;10;36.75;Bernold Edi;**;15;54.75;6;37.75;-4;1.0;10.0
+;9;46.75;Lötscher Abraham;;12;55.5;8;47.0;-1;0.25;10.0

7d;Zwyssig Raphael;***;;;;;;;;;56.75
-;;;Kindlimann Fabian;***;;;;;;;8.75
+;4;8.75;Breitenmoser Manuel;*;13;55.25;2;9.75;-2;1.0;10.0
+;4;18.75;Wey Nicola;*;10;56.0;5;18.5;1;-0.25;9.75
+;4;28.5;Jörger Marc;*;6;57.0;3;28.75;-1;0.25;10.0
o;3;38.5;Orlik Armon;***;1;59.25;1;39.5;-2;1.0;8.5
+;8;47.0;Arztmann Beda;*;10;56.0;7;47.25;-1;0.25;9.75

8a;Kuster Thomas;*;;;;;;;;;56.5
+;;;Koller Silvan (2002);;;;;;;;10.0
-;1;10.0;Burkhalter Stefan;***;9;56.25;4;8.75;3;-1.25;8.5
+;5;18.5;Badat Thomas;;12;55.5;5;18.5;0;0.0;9.75
+;5;28.25;Arztmann Beda;*;10;56.0;4;28.5;-1;0.25;9.75
+;5;38.0;Ott Damian;**;15;54.75;7;37.5;2;-0.5;10.0
o;4;48.0;Leuppi Samir;**;4;57.5;5;47.75;1;-0.25;8.5

8b;Jörger Corsin;;;;;;;;;;56.5
+;;;Grimm Michael;;;;;;;;10.0
+;1;10.0;Oertle Daniel;*;12;55.5;5;8.5;4;-1.5;10.0
o;1;20.0;Blaser Christian;*;12;55.5;5;18.5;4;-1.5;8.5
+;4;28.5;Schiesser Patrik;;13;55.25;5;28.25;1;-0.25;9.75
o;4;38.25;Bühler Hannes;*;8;56.5;5;38.0;1;-0.25;8.5
+;9;46.75;Galli Cedric (2001);;14;55.0;10;46.5;1;-0.25;9.75

8c;Kuster Marcel;***;;;;;;;;;56.5
-;;;Burkhalter Stefan;***;;;;;;;8.75
+;4;8.75;Jöhl Christian;*;11;55.75;1;10.0;-3;1.25;9.75
+;5;18.5;Räbsamen Marcel;*;11;55.75;4;18.75;-1;0.25;9.75
+;5;28.25;Biäsch Christian;*;10;56.0;2;29.0;-3;0.75;9.75
o;5;38.0;Schlegel Sandro;**;4;57.5;2;38.75;-3;0.75;8.5
+;10;46.5;Dumelin David;**;12;55.5;8;47.0;-2;0.5;10.0

8d;Funk Nicola;*;;;;;;;;;56.5
-;;;Jörger Marc;*;;;;;;;8.75
+;4;8.75;Lötscher Abraham;;12;55.5;1;10.0;-3;1.25;9.75
+;5;18.5;Bless Michael;***;11;55.75;10;17.25;5;-1.25;9.75
+;5;28.25;Castelli Fabio;;11;55.75;3;28.75;-2;0.5;10.0
o;4;38.25;Riget Tobias;**;3;57.75;5;38.0;1;-0.25;8.5
+;9;46.75;Horner Sämi;;13;55.25;9;46.75;0;0.0;9.75

8e;Bühler Hannes;*;;;;;;;;;56.5
+;;;Wey Nicola;*;;;;;;;9.75
-;2;9.75;Rhyner Michael;**;11;55.75;5;8.5;3;-1.25;8.75
+;5;18.5;Baumann Reto;;19;53.75;6;18.25;1;-0.25;9.75
+;5;28.25;Inauen Andreas;*;12;55.5;5;28.25;0;0.0;9.75
+;5;38.0;Jörger Corsin;;8;56.5;4;38.25;-1;0.25;10.0
o;4;48.0;Rychen Roger;***;2;58.0;3;48.25;-1;0.25;8.5

9a;Kindlimann Fabian;***;;;;;;;;;56.25
-;;;Zwyssig Raphael;***;;;;;;;8.75
-;4;8.75;Steiner Michael;**;6;57.0;2;9.75;-2;1.0;9.0
-;8;17.75;Fausch Kjetil;*;17;54.25;6;18.25;-2;0.5;8.75
+;12;26.5;Martin Dominik;;15;54.75;8;27.5;-4;1.0;10.0
+;11;36.5;Dörig Erich;*;11;55.75;8;37.25;-3;0.75;10.0
+;10;46.5;Oettli Marco;*;12;55.5;9;46.75;-1;0.25;9.75

9b;Bernold Christian;**;;;;;;;;;56.25
-;;;Schnurrenberger Roman;**;;;;;;;8.75
-;4;8.75;Schläpfer Markus;**;10;56.0;5;8.5;1;-0.25;8.75
+;9;17.5;Signer Ramon (2002);;23;52.75;5;18.5;-4;1.0;10.0
+;8;27.5;Blaser Christian;*;12;55.5;4;28.5;-4;1.0;9.75
+;8;37.25;Lanter Christian;*;13;55.25;10;36.75;2;-0.5;10.0
-;7;47.25;Wey Nicola;*;10;56.0;8;47.0;1;-0.25;9.0

9c;Burkhalter Stefan;***;;;;;;;;;56.25
-;;;Kuster Marcel;***;;;;;;;8.75
-;4;8.75;Kuster Thomas;*;8;56.5;1;10.0;-3;1.25;8.75
+;9;17.5;Lanter Christian;*;13;55.25;5;18.5;-4;1.0;10.0
-;8;27.5;Battaglia Ursin;**;11;55.75;3;28.75;-5;1.25;8.75
+;12;36.25;Badat Thomas;;12;55.5;9;37.0;-3;0.75;10.0
+;11;46.25;Blaser Christian;*;12;55.5;8;47.0;-3;0.75;10.0

9d;Gartmann Mauro;*;;;;;;;;;56.25
+;;;Schmidlin Tobias (2001);*;;;;;;;10.0
-;1;10.0;Gwerder Andreas;**;16;54.5;5;8.5;4;-1.5;8.75
-;4;18.75;Ziegler Andreas (2002);;16;54.5;5;18.5;1;-0.25;8.75
+;8;27.5;Ackermann Rico (2003);;19;53.75;5;28.25;-3;0.75;10.0
+;7;37.5;Burkhard Patrick;*;12;55.5;9;37.0;2;-0.5;10.0
-;6;47.5;Oertle Daniel;*;12;55.5;9;46.75;3;-0.75;8.75

10a;Schlegel Werner (2002);*;;;;;;;;;56.0
-;;;Oettli Marco;*;;;;;;;8.75
+;4;8.75;Thoma Christoph;;13;55.25;1;10.0;-3;1.25;10.0
+;4;18.75;Kammermann Thomas;*;15;54.75;4;18.75;0;0.0;10.0
o;3;28.75;Schlegel Sandro;**;4;57.5;3;28.75;0;0.0;8.5
o;8;37.25;Wey Nicola;*;10;56.0;9;37.0;1;-0.25;8.75
+;12;46.0;Gwerder Andreas;**;16;54.5;12;46.0;0;0.0;10.0

10b;Poltera Andrin;*;;;;;;;;;56.0
-;;;Lanter Christian;*;;;;;;;8.75
+;4;8.75;Schnyder Christian;;17;54.25;1;10.0;-3;1.25;10.0
o;4;18.75;Biäsch Christian;*;10;56.0;3;19.0;-1;0.25;8.5
-;9;27.25;Riget Florian;*;15;54.75;9;27.25;0;0.0;9.0
+;12;36.25;Schönenberger Björn;;21;53.25;13;36.0;1;-0.25;10.0
+;11;46.25;Bernold Edi;**;15;54.75;11;46.25;0;0.0;9.75

10c;Arztmann Beda;*;;;;;;;;;56.0
+;;;Fausch Kjetil;*;;;;;;;10.0
o;1;10.0;Krähenbühl Tobias;***;6;57.0;4;8.75;3;-1.25;8.5
+;5;18.5;Tremp Ruedi (2003);;19;53.75;5;18.5;0;0.0;10.0
o;4;28.5;Kuster Thomas;*;8;56.5;5;28.25;1;-0.25;8.75
+;8;37.25;Laager Michael (2001);;17;54.25;9;37.0;1;-0.25;10.0
o;7;47.25;Zwyssig Raphael;***;7;56.75;8;47.0;1;-0.25;8.75

10d;Zbinden Marc;*;;;;;;;;;56.0
-;;;Freuler Franz;**;;;;;;;8.75
-;4;8.75;Räbsamen Marcel;*;11;55.75;4;8.75;0;0.0;8.75
+;9;17.5;Keller Werner;;7;56.75;4;18.75;-5;1.25;10.0
+;8;27.5;Kammermann Thomas;*;15;54.75;8;27.5;0;0.0;10.0
o;7;37.5;Rhyner Michael;**;11;55.75;8;37.25;1;-0.25;8.5
+;12;46.0;Kamer Hanspeter;*;16;54.5;12;46.0;0;0.0;10.0

10e;Biäsch Christian;*;;;;;;;;;56.0
-;;;Kammermann Thomas;*;;;;;;;9.0
+;3;9.0;Galli Cedric (2001);;14;55.0;1;10.0;-2;1.0;10.0
+;3;19.0;Poltera Andrin;*;10;56.0;4;18.75;1;-0.25;10.0
o;2;29.0;Kuster Marcel;***;8;56.5;5;28.25;3;-0.75;8.5
+;7;37.5;Thoma Christoph;;13;55.25;9;37.0;2;-0.5;10.0
o;6;47.5;Riget Tobias;**;3;57.75;5;47.75;-1;0.25;8.5

10f;Wey Nicola;*;;;;;;;;;56.0
o;;;Bühler Hannes;*;;;;;;;8.5
+;5;8.5;Tremp Ruedi (2003);;19;53.75;1;10.0;-4;1.5;10.0
o;5;18.5;Zwyssig Raphael;***;7;56.75;4;18.75;-1;0.25;8.5
+;10;27.0;Brülisauer Dominik (2001);;15;54.75;8;27.5;-2;0.5;10.0
+;9;37.0;Schlegel Werner (2002);*;10;56.0;8;37.25;-1;0.25;10.0
-;8;47.0;Bernold Christian;**;9;56.25;7;47.25;-1;0.25;9.0

10g;Schläpfer Markus;**;;;;;;;;;56.0
o;;;Steiner Michael;**;;;;;;;8.5
-;5;8.5;Bernold Christian;**;9;56.25;4;8.75;-1;0.25;8.75
+;10;17.25;Wild Thomas;;22;53.0;5;18.5;-5;1.25;9.75
-;10;27.0;Kolb Pirmin (2001);*;14;55.0;8;27.5;-2;0.5;9.0
+;13;36.0;Ziegler Andreas (2002);;16;54.5;12;36.25;-1;0.25;10.0
+;12;46.0;Riget Florian;*;15;54.75;11;46.25;-1;0.25;10.0

11a;Furrer Damian;;;;;;;;;;55.75
o;;;Forrer Marco (2003);;;;;;;;8.75
o;4;8.75;Wild Thomas;;22;53.0;5;8.5;1;-0.25;8.5
+;10;17.25;Egger Adrian (2003);;28;34.0;11;17.0;1;-0.25;10.0
o;9;27.25;Fausch Kjetil;*;17;54.25;10;27.0;1;-0.25;8.5
+;14;35.75;Bärtsch Andreas (2002);;17;54.25;14;35.75;0;0.0;10.0
+;13;45.75;Koller Silvan (2002);;17;54.25;15;45.25;2;-0.5;10.0

11b;Bless Michael;***;;;;;;;;;55.75
o;;;Rychen Roger;***;;;;;;;8.5
-;5;8.5;Geisser Lars;**;7;56.75;2;9.75;-3;1.25;8.75
o;10;17.25;Funk Nicola;*;8;56.5;5;18.5;-5;1.25;8.5
+;14;25.75;Fäh Tobias;;21;53.25;9;27.25;-5;1.5;10.0
+;14;35.75;Alder Armin;*;17;54.25;14;35.75;0;0.0;10.0
+;13;45.75;Kolb Pirmin (2001);*;14;55.0;10;46.5;-3;0.75;10.0

11c;Castelli Fabio;;;;;;;;;;55.75
+;;;Kirchmeier Christof;;;;;;;;10.0
-;1;10.0;Kolb Pirmin (2001);*;14;55.0;3;9.0;2;-1.0;8.75
+;4;18.75;Tschudi Mario (2001);;18;54.0;6;18.25;2;-0.5;10.0
o;3;28.75;Funk Nicola;*;8;56.5;5;28.25;2;-0.5;8.5
+;8;37.25;Schmidlin Tobias (2001);*;12;55.5;9;37.0;1;-0.25;10.0
o;7;47.25;Keller Werner;;7;56.75;8;47.0;1;-0.25;8.5

11d;Jöhl Christian;*;;;;;;;;;55.75
+;;;Alder Armin;*;;;;;;;10.0
o;1;10.0;Kuster Marcel;***;8;56.5;4;8.75;3;-1.25;8.5
+;5;18.5;Gerber Noel (2002);;25;35.25;6;18.25;1;-0.25;10.0
o;4;28.5;Bernold Edi;**;15;54.75;6;28.0;2;-0.5;8.5
-;9;37.0;Wyrsch Hansi;;15;54.75;10;36.75;1;-0.25;9.0
+;12;46.0;Ott Damian;**;15;54.75;11;46.25;-1;0.25;9.75

11e;Räbsamen Marcel;*;;;;;;;;;55.75
-;;;Zbinden Marc;*;;;;;;;8.75
+;4;8.75;Burkhard Tobias;;17;54.25;1;10.0;-3;1.25;10.0
o;4;18.75;Kuster Marcel;***;8;56.5;5;18.5;1;-0.25;8.5
+;9;27.25;Thoma Christoph;;13;55.25;4;28.5;-5;1.25;9.75
o;9;37.0;Wittenwiler Roman;*;6;57.0;8;37.25;-1;0.25;8.75
+;13;45.75;Mathis Patrick;;19;53.75;16;45.0;3;-0.75;10.0

11f;Pianta Christian;*;;;;;;;;;55.75
-;;;Kolb Pirmin (2001);*;;;;;;;9.0
+;3;9.0;Brülisauer Thomas (2003);;24;52.5;1;10.0;-2;1.0;10.0
-;3;19.0;Nock Benjamin (2001);*;12;55.5;4;18.75;1;-0.25;9.0
-;6;28.0;Schmidlin Tobias (2001);*;12;55.5;5;28.25;-1;0.25;8.75
+;10;36.75;Stähli Jan;;13;55.25;10;36.75;0;0.0;10.0
-;9;46.75;Inauen Andreas;*;12;55.5;10;46.5;1;-0.25;9.0

11g;Rhyner Michael;**;;;;;;;;;55.75
o;;;Dändliker Shane;**;;;;;;;8.5
-;5;8.5;Bühler Hannes;*;8;56.5;2;9.75;-3;1.25;8.75
+;10;17.25;Koller Silvan (2002);;17;54.25;5;18.5;-5;1.25;10.0
+;9;27.25;Wolfer Lukas;*;13;55.25;5;28.25;-4;1.0;10.0
+;8;37.25;Zbinden Marc;*;10;56.0;7;37.5;-1;0.25;10.0
o;7;47.25;Krähenbühl Tobias;***;6;57.0;8;47.0;1;-0.25;8.5

11h;Battaglia Ursin;**;;;;;;;;;55.75
-;;;Bernold Edi;**;;;;;;;9.0
+;3;9.0;Salnajs Leo;;18;54.0;1;10.0;-2;1.0;9.75
+;4;18.75;Lehmann Philipp;*;14;55.0;3;19.0;-1;0.25;10.0
-;3;28.75;Burkhalter Stefan;***;9;56.25;8;27.5;5;-1.25;8.75
o;7;37.5;Keller Werner;;7;56.75;8;37.25;1;-0.25;8.5
+;12;46.0;Neff Florian;*;16;54.5;12;46.0;0;0.0;9.75

11i;Dörig Erich;*;;;;;;;;;55.75
-;;;Kamer Hanspeter;*;;;;;;;8.75
+;4;8.75;Niederberger Marc Ursin (2002);;23;52.75;1;10.0;-3;1.25;10.0
o;4;18.75;Riget Tobias;**;3;57.75;5;18.5;1;-0.25;8.5
+;9;27.25;Held Florian;;22;53.0;13;26.0;4;-1.25;10.0
o;8;37.25;Kindlimann Fabian;***;9;56.25;11;36.5;3;-0.75;8.5
+;13;45.75;Sprecher Martin;;16;54.5;12;46.0;-1;0.25;10.0

12a;Blaser Christian;*;;;;;;;;;55.5
o;;;Inauen Andreas;*;;;;;;;8.5
+;5;8.5;Tschudi Mario (2001);;18;54.0;2;9.75;-3;1.25;10.0
+;5;18.5;Jörger Corsin;;8;56.5;1;20.0;-4;1.5;10.0
o;4;28.5;Bernold Christian;**;9;56.25;8;27.5;4;-1.0;8.5
+;9;37.0;Kirchmeier Christof;;14;55.0;10;36.75;1;-0.25;10.0
o;8;47.0;Burkhalter Stefan;***;9;56.25;11;46.25;3;-0.75;8.5

12b;Dumelin David;**;;;;;;;;;55.5
o;;;Schlegel Sandro;**;;;;;;;8.75
