4056-2019-06-16_Buendner-Glarner_Kantonalschwingfest-ST

1a;Orlik Armon;***;;;;;;;;;59.25
+;9;27.25;Horner Sämi;;13;55.25;5;28.25;-4;1.0;9.75
+;9;37.0;Forrer Marco (2003);;18;54.0;10;36.75;1;-0.25;9.75
o;9;46.75;Steiner Michael;**;6;57.0;7;47.25;-2;0.5;8.5

13b;Wehrli Jan (2002);;;;;;;;;;55.25
+;;;Schiess Daniel (2002);;;;;;;;9.75
-;2;9.75;Martin Dominik;;15;54.75;4;8.75;2;-1.0;8.75
+;5;18.5;Alder Armin;*;17;54.25;9;17.5;4;-1.0;9.75
o;5;28.25;Oertle Daniel;*;12;55.5;10;27.0;5;-1.25;8.5
+;10;36.75;Tremp Ruedi (2003);;19;53.75;10;36.75;0;0.0;10.0
o;9;46.75;Geisser Lars;**;7;56.75;8;47.0;-1;0.25;8.5

13c;Stähli Jan;;;;;;;;;;55.25
o;;;Salnajs Leo;;;;;;;;8.5
+;5;8.5;Amrein Joel (2003);;18;54.0;5;8.5;0;0.0;9.75
-;6;18.25;Götti Samuel;;18;54.0;6;18.25;0;0.0;8.75
+;10;27.0;Bernhard Thomas (2002);;25;35.25;11;26.75;1;-0.25;9.75
o;10;36.75;Pianta Christian;*;11;55.75;10;36.75;0;0.0;8.5
+;15;45.25;Tremp Ruedi (2003);;19;53.75;15;45.25;0;0.0;10.0

13d;Horner Sämi;;;;;;;;;;55.25
+;;;Ackermann Roman;;;;;;;;10.0
o;1;10.0;Nock Benjamin (2001);*;12;55.5;4;8.75;3;-1.25;8.5
+;5;18.5;Niederberger Marc Ursin (2002);;23;52.75;5;18.5;0;0.0;9.75
o;5;28.25;Marty Jaime;*;13;55.25;9;27.25;4;-1.0;8.75
+;9;37.0;Baumann Reto;;19;53.75;10;36.75;1;-0.25;9.75
o;9;46.75;Funk Nicola;*;8;56.5;9;46.75;0;0.0;8.5

13e;Schiesser Patrik;;;;;;;;;;55.25
+;;;Amrein Joel (2003);;;;;;;;10.0
o;1;10.0;Jörger Marc;*;6;57.0;3;9.0;2;-1.0;8.5
+;5;18.5;Hofer Lars (2003);;25;35.25;6;18.25;1;-0.25;9.75
o;5;28.25;Jörger Corsin;;8;56.5;4;28.5;-1;0.25;8.5
o;10;36.75;Wolfer Lukas;*;13;55.25;10;36.75;0;0.0;8.5
+;15;45.25;Christen Jérôme (2002);;17;54.25;14;45.5;-1;0.25;10.0

13f;Schuler Martin;;;;;;;;;;55.25
+;;;Aebli Andrin (2001);;;;;;;;10.0
o;1;10.0;Fausch Kjetil;*;17;54.25;5;8.5;4;-1.5;8.75
o;4;18.75;Geisser Lars;**;7;56.75;5;18.5;1;-0.25;8.5
+;9;27.25;Tritten Robin;;18;54.0;10;27.0;1;-0.25;9.75
+;9;37.0;Kolb This (2003);;18;54.0;9;37.0;0;0.0;9.75
o;9;46.75;Jörger Marc;*;6;57.0;8;47.0;-1;0.25;8.5

13g;Lanter Christian;*;;;;;;;;;55.25
-;;;Poltera Andrin;*;;;;;;;8.75
+;4;8.75;Manser Adrian;;25;35.25;2;9.75;-2;1.0;9.75
o;5;18.5;Burkhalter Stefan;***;9;56.25;9;17.5;4;-1.0;8.5
+;10;27.0;Roth Peter;;17;54.25;8;27.5;-2;0.5;9.75
o;10;36.75;Bernold Christian;**;9;56.25;8;37.25;-2;0.5;8.5
+;15;45.25;Schrepfer Sven (2003);;18;54.0;14;45.5;-1;0.25;10.0

13h;Breitenmoser Manuel;*;;;;;;;;;55.25
+;;;Marty Jaime;*;;;;;;;9.75
o;2;9.75;Zwyssig Raphael;***;7;56.75;4;8.75;2;-1.0;8.5
+;6;18.25;Joos Enrico (2003);;22;53.0;4;18.75;-2;0.5;10.0
-;5;28.25;Gwerder Andreas;**;16;54.5;9;27.25;4;-1.0;8.75
+;9;37.0;Fontana Michael;*;15;54.75;8;37.25;-1;0.25;9.75
o;9;46.75;Schnurrenberger Roman;**;5;57.25;7;47.25;-2;0.5;8.5

13i;Wolfer Lukas;*;;;;;;;;;55.25
o;;;Schlegel Reto;*;;;;;;;8.5
+;5;8.5;Wagner Andreas (2002);;22;53.0;2;9.75;-3;1.25;9.75
+;6;18.25;Bircher Luca;;29;27.25;4;18.75;-2;0.5;10.0
o;5;28.25;Rhyner Michael;**;11;55.75;9;27.25;4;-1.0;8.5
+;10;36.75;Schiesser Patrik;;13;55.25;10;36.75;0;0.0;10.0
o;9;46.75;Hochholdinger Roman;**;5;57.25;7;47.25;-2;0.5;8.5

13j;Thoma Christoph;;;;;;;;;;55.25
+;;;Arpagaus Nino (2003);;;;;;;;10.0
o;1;10.0;Schlegel Werner (2002);*;10;56.0;4;8.75;3;-1.25;8.5
+;5;18.5;Flütsch Marco;;20;53.5;6;18.25;1;-0.25;10.0
o;4;28.5;Räbsamen Marcel;*;11;55.75;9;27.25;5;-1.25;8.5
o;9;37.0;Biäsch Christian;*;10;56.0;7;37.5;-2;0.5;8.5
+;14;45.5;Kolb This (2003);;18;54.0;14;45.5;0;0.0;9.75

14a;Kirchmeier Christof;;;;;;;;;;55.0
o;;;Castelli Fabio;;;;;;;;8.5
+;5;8.5;Brasser Gian-Claudio (2003);;28;34.0;5;8.5;0;0.0;10.0
o;5;18.5;Gwerder Andreas;**;16;54.5;10;17.25;5;-1.25;8.5
+;10;27.0;Hofer Lars (2003);;25;35.25;11;26.75;1;-0.25;9.75
o;10;36.75;Blaser Christian;*;12;55.5;9;37.0;-1;0.25;8.5
+;15;45.25;Ackermann Rico (2003);;19;53.75;15;45.25;0;0.0;9.75

14b;Kolb Pirmin (2001);*;;;;;;;;;55.0
-;;;Pianta Christian;*;;;;;;;9.0
-;3;9.0;Castelli Fabio;;11;55.75;1;10.0;-2;1.0;8.75
+;8;17.75;Aebli Nino;;12;55.5;4;18.75;-4;1.0;9.75
-;8;27.5;Schläpfer Markus;**;10;56.0;10;27.0;2;-0.5;9.0
+;11;36.5;Hänni Marc (2001);;16;54.5;12;36.25;1;-0.25;10.0
o;10;46.5;Bless Michael;***;11;55.75;13;45.75;3;-0.75;8.5

14c;Lehmann Philipp;*;;;;;;;;;55.0
-;;;Wittenwiler Roman;*;;;;;;;9.0
+;3;9.0;Blaser Andre;;14;55.0;2;9.75;-1;0.75;10.0
o;3;19.0;Battaglia Ursin;**;11;55.75;4;18.75;1;-0.25;8.75
+;7;27.75;Kolb This (2003);;18;54.0;4;28.5;-3;0.75;10.0
o;6;37.75;Dumelin David;**;12;55.5;8;37.25;2;-0.5;8.5
-;11;46.25;Schlegel Reto;*;14;55.0;11;46.25;0;0.0;8.75

14d;Galli Cedric (2001);;;;;;;;;;55.0
+;;;Ritter Fabio (2001);;;;;;;;10.0
o;1;10.0;Biäsch Christian;*;10;56.0;3;9.0;2;-1.0;8.5
o;5;18.5;Oettli Marco;*;12;55.5;5;18.5;0;0.0;8.5
+;10;27.0;Götti Samuel;;18;54.0;10;27.0;0;0.0;9.75
+;10;36.75;Mathis Patrick;;19;53.75;11;36.5;1;-0.25;9.75
o;10;46.5;Jörger Corsin;;8;56.5;9;46.75;-1;0.25;8.5

14e;Blaser Andre;;;;;;;;;;55.0
+;;;Schrepfer Sven (2003);;;;;;;;9.75
o;2;9.75;Lehmann Philipp;*;14;55.0;3;9.0;1;-0.75;8.5
+;6;18.25;Manser Adrian;;25;35.25;6;18.25;0;0.0;10.0
o;5;28.25;Fontana Michael;*;15;54.75;8;27.5;3;-0.75;8.5
o;10;36.75;Lötscher Abraham;;12;55.5;9;37.0;-1;0.25;8.5
+;15;45.25;Tschudi Mario (2001);;18;54.0;14;45.5;-1;0.25;9.75

14f;Schlegel Reto;*;;;;;;;;;55.0
+;;;Wolfer Lukas;*;;;;;;;9.75
o;2;9.75;Leuppi Samir;**;4;57.5;5;8.5;3;-1.25;8.5
+;6;18.25;Mathis Patrick;;19;53.75;3;19.0;-3;0.75;9.75
+;6;28.0;Neff Florian;*;16;54.5;8;27.5;2;-0.5;9.75
o;6;37.75;Hochholdinger Roman;**;5;57.25;8;37.25;2;-0.5;8.5
-;11;46.25;Lehmann Philipp;*;14;55.0;11;46.25;0;0.0;8.75

14g;Naef Sandro;;;;;;;;;;55.0
o;;;Lötscher Abraham;;;;;;;;8.5
+;5;8.5;Brand Andreas (2003);;25;35.25;5;8.5;0;0.0;9.75
+;6;18.25;Koller Andreas;;25;35.25;6;18.25;0;0.0;10.0
o;5;28.25;Kamer Hanspeter;*;16;54.5;9;27.25;4;-1.0;8.5
+;10;36.75;Ackermann Rico (2003);;19;53.75;10;36.75;0;0.0;9.75
o;10;46.5;Wittenwiler Roman;*;6;57.0;7;47.25;-3;0.75;8.5

15a;Ott Damian;**;;;;;;;;;54.75
-;;;Hochholdinger Roman;**;;;;;;;8.75
+;4;8.75;Freuler Franz;**;15;54.75;4;8.75;0;0.0;9.75
+;5;18.5;Burkhard Tobias;;17;54.25;5;18.5;0;0.0;10.0
-;4;28.5;Steiner Michael;**;6;57.0;5;28.25;1;-0.25;9.0
o;7;37.5;Kuster Thomas;*;8;56.5;5;38.0;-2;0.5;8.75
o;11;46.25;Jöhl Christian;*;11;55.75;12;46.0;1;-0.25;8.5

15b;Martin Dominik;;;;;;;;;;54.75
-;;;Keller Werner;;;;;;;;8.75
-;4;8.75;Wehrli Jan (2002);;13;55.25;2;9.75;-2;1.0;8.75
+;9;17.5;Schwager Ivo;;27;34.25;10;17.25;1;-0.25;10.0
o;8;27.5;Kindlimann Fabian;***;9;56.25;12;26.5;4;-1.0;8.5
-;13;36.0;Fäh Tobias;;21;53.25;14;35.75;1;-0.25;8.75
+;17;44.75;Baumann Reto;;19;53.75;15;45.25;-2;0.5;10.0

15c;Freuler Franz;**;;;;;;;;;54.75
-;;;Zbinden Marc;*;;;;;;;8.75
o;4;8.75;Ott Damian;**;15;54.75;4;8.75;0;0.0;8.5
+;10;17.25;Tritten Robin;;18;54.0;5;18.5;-5;1.25;10.0
-;9;27.25;Nock Benjamin (2001);*;12;55.5;7;27.75;-2;0.5;9.0
+;12;36.25;Grimm Michael;;18;54.0;10;36.75;-2;0.5;9.75
-;12;46.0;Fausch Kjetil;*;17;54.25;14;45.5;2;-0.5;8.75

15d;Riget Florian;*;;;;;;;;;54.75
-;;;Fontana Michael;*;;;;;;;8.75
+;4;8.75;Hofer Lars (2003);;25;35.25;2;9.75;-2;1.0;10.0
o;4;18.75;Schnurrenberger Roman;**;5;57.25;4;18.75;0;0.0;8.5
-;9;27.25;Poltera Andrin;*;10;56.0;9;27.25;0;0.0;9.0
+;12;36.25;Sieber Marc;;22;53.0;14;35.75;2;-0.5;10.0
o;11;46.25;Schläpfer Markus;**;10;56.0;12;46.0;1;-0.25;8.5

15e;Brülisauer Dominik (2001);;;;;;;;;;54.75
-;;;Roth Peter;;;;;;;;8.75
-;4;8.75;Burch Dean (2001);;19;53.75;4;8.75;0;0.0;9.0
+;8;17.75;Tremp Remo;;25;35.25;6;18.25;-2;0.5;9.75
o;8;27.5;Wey Nicola;*;10;56.0;10;27.0;2;-0.5;8.5
+;13;36.0;Tanner Markus (2002);;16;54.5;13;36.0;0;0.0;9.75
-;13;45.75;Wyrsch Hansi;;15;54.75;13;45.75;0;0.0;9.0

15f;Bernold Edi;**;;;;;;;;;54.75
-;;;Battaglia Ursin;**;;;;;;;9.0
-;3;9.0;Landolt Reto;*;4;57.5;1;10.0;-2;1.0;9.0
+;7;18.0;Laager Michael (2001);;17;54.25;5;18.5;-2;0.5;10.0
+;6;28.0;Jöhl Christian;*;11;55.75;4;28.5;-2;0.5;9.75
o;6;37.75;Dändliker Shane;**;7;56.75;10;36.75;4;-1.0;8.5
o;11;46.25;Poltera Andrin;*;10;56.0;11;46.25;0;0.0;8.5

15g;Wyrsch Hansi;;;;;;;;;;54.75
o;;;Baumgartner Ramon (2002);;;;;;;;8.5
+;5;8.5;Schiess Daniel (2002);;23;52.75;5;8.5;0;0.0;9.75
o;6;18.25;Roth Peter;;17;54.25;9;17.5;3;-0.75;8.5
+;11;26.75;Langenegger Beat;;26;35.0;12;26.5;1;-0.25;10.0
-;10;36.75;Jöhl Christian;*;11;55.75;9;37.0;-1;0.25;9.0
-;13;45.75;Brülisauer Dominik (2001);;15;54.75;13;45.75;0;0.0;9.0

15h;Fontana Michael;*;;;;;;;;;54.75
-;;;Riget Florian;*;;;;;;;8.75
+;4;8.75;Ackermann Rico (2003);;19;53.75;2;9.75;-2;1.0;10.0
-;4;18.75;Neff Florian;*;16;54.5;4;18.75;0;0.0;8.75
+;8;27.5;Blaser Andre;;14;55.0;5;28.25;-3;0.75;9.75
o;8;37.25;Breitenmoser Manuel;*;13;55.25;9;37.0;1;-0.25;8.75
-;12;46.0;Kammermann Thomas;*;15;54.75;12;46.0;0;0.0;8.75

15i;Kammermann Thomas;*;;;;;;;;;54.75
-;;;Biäsch Christian;*;;;;;;;8.75
+;4;8.75;Tremp Remo;;25;35.25;2;9.75;-2;1.0;10.0
o;4;18.75;Schlegel Werner (2002);*;10;56.0;4;18.75;0;0.0;8.75
o;8;27.5;Zbinden Marc;*;10;56.0;8;27.5;0;0.0;8.5
+;13;36.0;Wild Thomas;;22;53.0;13;36.0;0;0.0;10.0
-;12;46.0;Fontana Michael;*;15;54.75;12;46.0;0;0.0;8.75

16a;Ziegler Andreas (2002);;;;;;;;;;54.5
o;;;Schnyder Christian;;;;;;;;8.5
+;5;8.5;Arpagaus Nino (2003);;23;52.75;5;8.5;0;0.0;10.0
-;5;18.5;Gartmann Mauro;*;9;56.25;4;18.75;-1;0.25;8.75
-;9;27.25;Hänni Marc (2001);;16;54.5;9;27.25;0;0.0;9.0
o;12;36.25;Schläpfer Markus;**;10;56.0;13;36.0;1;-0.25;8.5
+;17;44.75;Flütsch Marco;;20;53.5;16;45.0;-1;0.25;9.75

16b;Tanner Markus (2002);;;;;;;;;;54.5
o;;;Tschudi Mario (2001);;;;;;;;8.5
-;5;8.5;Schrepfer Sven (2003);;18;54.0;5;8.5;0;0.0;8.75
-;10;17.25;Krucker Silvan (2001);;27;34.25;11;17.0;1;-0.25;8.75
+;13;26.0;Schwager Ivo;;27;34.25;14;25.75;1;-0.25;10.0
o;13;36.0;Brülisauer Dominik (2001);;15;54.75;13;36.0;0;0.0;8.5
+;18;44.5;Brülisauer Thomas (2003);;24;52.5;20;44.0;2;-0.5;10.0

16c;Gwerder Andreas;**;;;;;;;;;54.5
o;;;Geisser Lars;**;;;;;;;8.5
-;5;8.5;Gartmann Mauro;*;9;56.25;1;10.0;-4;1.5;8.75
+;10;17.25;Kirchmeier Christof;;14;55.0;5;18.5;-5;1.25;10.0
-;9;27.25;Breitenmoser Manuel;*;13;55.25;5;28.25;-4;1.0;8.75
+;13;36.0;Baumgartner Ramon (2002);;19;53.75;11;36.5;-2;0.5;10.0
o;12;46.0;Schlegel Werner (2002);*;10;56.0;12;46.0;0;0.0;8.5

16d;Neff Florian;*;;;;;;;;;54.5
-;;;Nock Benjamin (2001);*;;;;;;;8.75
+;4;8.75;Sprecher Martin;;16;54.5;1;10.0;-3;1.25;10.0
-;4;18.75;Fontana Michael;*;15;54.75;4;18.75;0;0.0;8.75
o;8;27.5;Schlegel Reto;*;14;55.0;6;28.0;-2;0.5;8.5
+;13;36.0;Roth Peter;;17;54.25;13;36.0;0;0.0;10.0
o;12;46.0;Battaglia Ursin;**;11;55.75;12;46.0;0;0.0;8.5

16e;Sprecher Martin;;;;;;;;;;54.5
+;;;Knellwolf Sebastian (2001);;;;;;;;10.0
o;1;10.0;Neff Florian;*;16;54.5;4;8.75;3;-1.25;8.5
-;5;18.5;Schönenberger Björn;;21;53.25;5;18.5;0;0.0;8.75
-;9;27.25;Schnyder Christian;;17;54.25;9;27.25;0;0.0;8.75
+;13;36.0;Signer Ramon (2002);;23;52.75;14;35.75;1;-0.25;10.0
o;12;46.0;Dörig Erich;*;11;55.75;13;45.75;1;-0.25;8.5

16f;Hänni Marc (2001);;;;;;;;;;54.5
-;;;Held Florian;;;;;;;;8.75
+;4;8.75;Baumgartner Joël;;22;53.0;4;8.75;0;0.0;10.0
o;4;18.75;Schlegel Sandro;**;4;57.5;4;18.75;0;0.0;8.5
-;9;27.25;Ziegler Andreas (2002);;16;54.5;9;27.25;0;0.0;9.0
o;12;36.25;Kolb Pirmin (2001);*;14;55.0;11;36.5;-1;0.25;8.5
+;17;44.75;Amrein Joel (2003);;18;54.0;14;45.5;-3;0.75;9.75

16g;Kamer Hanspeter;*;;;;;;;;;54.5
-;;;Dörig Erich;*;;;;;;;8.75
+;4;8.75;Koller Andreas;;25;35.25;2;9.75;-2;1.0;10.0
o;4;18.75;Hochholdinger Roman;**;5;57.25;4;18.75;0;0.0;8.5
+;9;27.25;Naef Sandro;;14;55.0;5;28.25;-4;1.0;10.0
o;8;37.25;Steiner Michael;**;6;57.0;8;37.25;0;0.0;8.75
o;12;46.0;Zbinden Marc;*;10;56.0;12;46.0;0;0.0;8.5

17a;Ackermann Roman;;;;;;;;;;54.25
o;;;Horner Sämi;;;;;;;;8.5
+;5;8.5;Egger Adrian (2003);;28;34.0;5;8.5;0;0.0;10.0
o;5;18.5;Dändliker Shane;**;7;56.75;5;18.5;0;0.0;8.5
+;10;27.0;Bärtsch Andreas (2002);;17;54.25;10;27.0;0;0.0;10.0
o;9;37.0;Landolt Reto;*;4;57.5;6;37.75;-3;0.75;8.5
-;14;45.5;Laager Michael (2001);;17;54.25;14;45.5;0;0.0;8.75

17b;Bärtsch Andreas (2002);;;;;;;;;;54.25
-;;;Burch Dean (2001);;;;;;;;8.75
+;4;8.75;Grimm Michael;;18;54.0;5;8.5;1;-0.25;9.75
o;5;18.5;Schmidlin Tobias (2001);*;12;55.5;6;18.25;1;-0.25;8.5
o;10;27.0;Ackermann Roman;;17;54.25;10;27.0;0;0.0;8.75
o;14;35.75;Furrer Damian;;11;55.75;14;35.75;0;0.0;8.5
+;19;44.25;Wild Thomas;;22;53.0;18;44.5;-1;0.25;10.0

17c;Burkhard Tobias;;;;;;;;;;54.25
+;;;Tritten Robin;;;;;;;;10.0
o;1;10.0;Räbsamen Marcel;*;11;55.75;4;8.75;3;-1.25;8.5
o;5;18.5;Ott Damian;**;15;54.75;5;18.5;0;0.0;8.5
+;10;27.0;Manser Adrian;;25;35.25;11;26.75;1;-0.25;10.0
o;9;37.0;Oettli Marco;*;12;55.5;10;36.75;1;-0.25;8.5
-;14;45.5;Forrer Marco (2003);;18;54.0;15;45.25;1;-0.25;8.75

17d;Alder Armin;*;;;;;;;;;54.25
o;;;Jöhl Christian;*;;;;;;;8.5
-;5;8.5;Mathis Patrick;;19;53.75;1;10.0;-4;1.5;9.0
o;9;17.5;Wehrli Jan (2002);;13;55.25;5;18.5;-4;1.0;8.5
+;13;26.0;Sieber Marc;;22;53.0;9;27.25;-4;1.25;9.75
o;14;35.75;Bless Michael;***;11;55.75;14;35.75;0;0.0;8.5
+;19;44.25;Signer Ramon (2002);;23;52.75;19;44.25;0;0.0;10.0

17e;Laager Michael (2001);;;;;;;;;;54.25
o;;;Wagner Andreas (2002);;;;;;;;8.5
+;5;8.5;Bertogg Severin (2001);;23;52.75;5;8.5;0;0.0;10.0
o;5;18.5;Bernold Edi;**;15;54.75;7;18.0;2;-0.5;8.5
+;10;27.0;Niederberger Marc Ursin (2002);;23;52.75;9;27.25;-1;0.25;10.0
o;9;37.0;Arztmann Beda;*;10;56.0;8;37.25;-1;0.25;8.5
-;14;45.5;Ackermann Roman;;17;54.25;14;45.5;0;0.0;8.75

17f;Koller Silvan (2002);;;;;;;;;;54.25
o;;;Kuster Thomas;*;;;;;;;8.5
+;5;8.5;Krucker Silvan (2001);;27;34.25;5;8.5;0;0.0;10.0
o;5;18.5;Rhyner Michael;**;11;55.75;10;17.25;5;-1.25;8.5
+;10;27.0;Joos Enrico (2003);;22;53.0;9;27.25;-1;0.25;9.75
o;10;36.75;Furrer Damian;;11;55.75;14;35.75;4;-1.0;8.5
-;15;45.25;Mathis Patrick;;19;53.75;16;45.0;1;-0.25;9.0

17g;Schnyder Christian;;;;;;;;;;54.25
+;;;Ziegler Andreas (2002);;;;;;;;10.0
o;1;10.0;Poltera Andrin;*;10;56.0;4;8.75;3;-1.25;8.5
-;5;18.5;Wagner Andreas (2002);;22;53.0;6;18.25;1;-0.25;8.75
-;9;27.25;Sprecher Martin;;16;54.5;9;27.25;0;0.0;8.75
+;13;36.0;Niederberger Marc Ursin (2002);;23;52.75;14;35.75;1;-0.25;9.75
o;13;45.75;Badat Thomas;;12;55.5;14;45.5;1;-0.25;8.5

17h;Roth Peter;;;;;;;;;;54.25
-;;;Brülisauer Dominik (2001);;;;;;;;8.75
-;4;8.75;Langenegger Beat;;26;35.0;4;8.75;0;0.0;8.75
+;9;17.5;Wyrsch Hansi;;15;54.75;6;18.25;-3;0.75;10.0
o;8;27.5;Lanter Christian;*;13;55.25;10;27.0;2;-0.5;8.5
o;13;36.0;Neff Florian;*;16;54.5;13;36.0;0;0.0;8.5
+;18;44.5;Niederberger Marc Ursin (2002);;23;52.75;19;44.25;1;-0.25;9.75

17i;Christen Jérôme (2002);;;;;;;;;;54.25
o;;;Niederberger Marc Ursin (2002);;;;;;;;8.5
o;5;8.5;Aebli Nino;;12;55.5;4;8.75;-1;0.25;8.5
+;11;17.0;Brand Andreas (2003);;25;35.25;11;17.0;0;0.0;10.0
+;10;27.0;Ritter Fabio (2001);;22;53.0;10;27.0;0;0.0;10.0
o;9;37.0;Jörger Marc;*;6;57.0;8;37.25;-1;0.25;8.5
o;14;45.5;Schiesser Patrik;;13;55.25;15;45.25;1;-0.25;8.75

17j;Rhyner Beni;;;;;;;;;;54.25
o;;;Mathis Patrick;;;;;;;;8.75
o;4;8.75;Baumann Reto;;19;53.75;5;8.5;1;-0.25;8.5
+;10;17.25;Bertogg Severin (2001);;23;52.75;11;17.0;1;-0.25;9.75
+;10;27.0;Aebli Andrin (2001);;25;35.25;11;26.75;1;-0.25;9.75
o;10;36.75;Nock Benjamin (2001);*;12;55.5;10;36.75;0;0.0;8.5
-;15;45.25;Grimm Michael;;18;54.0;15;45.25;0;0.0;9.0

17k;Fausch Kjetil;*;;;;;;;;;54.25
o;;;Arztmann Beda;*;;;;;;;8.5
+;5;8.5;Schuler Martin;;13;55.25;1;10.0;-4;1.5;9.75
-;6;18.25;Kindlimann Fabian;***;9;56.25;8;17.75;2;-0.5;8.75
+;10;27.0;Furrer Damian;;11;55.75;9;27.25;-1;0.25;10.0
o;9;37.0;Schnurrenberger Roman;**;5;57.25;8;37.25;-1;0.25;8.5
-;14;45.5;Freuler Franz;**;15;54.75;12;46.0;-2;0.5;8.75

18a;Götti Samuel;;;;;;;;;;54.0
+;;;Bebi Nic (2003);;;;;;;;9.75
o;2;9.75;Oertle Daniel;*;12;55.5;5;8.5;3;-1.25;8.5
-;6;18.25;Stähli Jan;;13;55.25;6;18.25;0;0.0;8.75
o;10;27.0;Galli Cedric (2001);;14;55.0;10;27.0;0;0.0;8.5
+;15;35.5;Bertogg Severin (2001);;23;52.75;15;35.5;0;0.0;10.0
o;14;45.5;Burkhard Patrick;*;12;55.5;14;45.5;0;0.0;8.5

18b;Schrepfer Sven (2003);;;;;;;;;;54.0
o;;;Blaser Andre;;;;;;;;8.5
-;5;8.5;Tanner Markus (2002);;16;54.5;5;8.5;0;0.0;8.75
o;10;17.25;Amrein Joel (2003);;18;54.0;11;17.0;1;-0.25;8.5
+;14;25.75;Brasser Gian-Claudio (2003);;28;34.0;15;25.5;1;-0.25;10.0
+;14;35.75;Arpagaus Nino (2003);;23;52.75;15;35.5;1;-0.25;9.75
o;14;45.5;Lanter Christian;*;13;55.25;15;45.25;1;-0.25;8.5

18c;Kolb This (2003);;;;;;;;;;54.0
+;;;Wild Thomas;;;;;;;;10.0
o;1;10.0;Riget Tobias;**;3;57.75;4;8.75;3;-1.25;8.5
+;5;18.5;Baumgartner Ramon (2002);;19;53.75;6;18.25;1;-0.25;10.0
o;4;28.5;Lehmann Philipp;*;14;55.0;7;27.75;3;-0.75;8.5
o;9;37.0;Schuler Martin;;13;55.25;9;37.0;0;0.0;8.5
o;14;45.5;Thoma Christoph;;13;55.25;14;45.5;0;0.0;8.5

18d;Grimm Michael;;;;;;;;;;54.0
o;;;Jörger Corsin;;;;;;;;8.5
o;5;8.5;Bärtsch Andreas (2002);;17;54.25;4;8.75;-1;0.25;8.5
+;11;17.0;Held Florian;;22;53.0;9;17.5;-2;0.5;10.0
+;10;27.0;Arpagaus Nino (2003);;23;52.75;10;27.0;0;0.0;9.75
o;10;36.75;Freuler Franz;**;15;54.75;12;36.25;2;-0.5;8.5
-;15;45.25;Rhyner Beni;;17;54.25;15;45.25;0;0.0;8.75

18e;Forrer Marco (2003);;;;;;;;;;54.0
+;;;Furrer Damian;;;;;;;;10.0
o;1;10.0;Dumelin David;**;12;55.5;4;8.75;3;-1.25;8.5
+;5;18.5;Salnajs Leo;;18;54.0;5;18.5;0;0.0;9.75
o;5;28.25;Burkhard Patrick;*;12;55.5;10;27.0;5;-1.25;8.5
o;10;36.75;Marty Jaime;*;13;55.25;9;37.0;-1;0.25;8.5
-;15;45.25;Burkhard Tobias;;17;54.25;14;45.5;-1;0.25;8.75

18f;Salnajs Leo;;;;;;;;;;54.0
+;;;Stähli Jan;;;;;;;;10.0
o;1;10.0;Battaglia Ursin;**;11;55.75;3;9.0;2;-1.0;8.5
o;5;18.5;Forrer Marco (2003);;18;54.0;5;18.5;0;0.0;8.5
o;10;27.0;Aebli Nino;;12;55.5;9;27.25;-1;0.25;8.5
+;15;35.5;Wagner Andreas (2002);;22;53.0;14;35.75;-1;0.25;10.0
o;14;45.5;Schmidlin Tobias (2001);*;12;55.5;14;45.5;0;0.0;8.5

18g;Amrein Joel (2003);;;;;;;;;;54.0
o;;;Schiesser Patrik;;;;;;;;8.5
o;5;8.5;Stähli Jan;;13;55.25;5;8.5;0;0.0;8.5
+;11;17.0;Schrepfer Sven (2003);;18;54.0;10;17.25;-1;0.25;9.75
-;11;26.75;Tschudi Mario (2001);;18;54.0;11;26.75;0;0.0;8.75
+;15;35.5;Brülisauer Thomas (2003);;24;52.5;15;35.5;0;0.0;10.0
o;14;45.5;Hänni Marc (2001);;16;54.5;17;44.75;3;-0.75;8.5

18h;Tritten Robin;;;;;;;;;;54.0
o;;;Burkhard Tobias;;;;;;;;8.5
+;5;8.5;Ritter Fabio (2001);;22;53.0;5;8.5;0;0.0;10.0
o;5;18.5;Freuler Franz;**;15;54.75;10;17.25;5;-1.25;8.5
o;10;27.0;Schuler Martin;;13;55.25;9;27.25;-1;0.25;8.5
+;15;35.5;Joos Enrico (2003);;22;53.0;14;35.75;-1;0.25;9.75
-;15;45.25;Baumgartner Ramon (2002);;19;53.75;16;45.0;1;-0.25;8.75

18i;Tschudi Mario (2001);;;;;;;;;;54.0
+;;;Tanner Markus (2002);;;;;;;;9.75
o;2;9.75;Blaser Christian;*;12;55.5;5;8.5;3;-1.25;8.5
o;6;18.25;Castelli Fabio;;11;55.75;4;18.75;-2;0.5;8.5
-;11;26.75;Amrein Joel (2003);;18;54.0;11;26.75;0;0.0;8.75
+;15;35.5;Bebi Nic (2003);;23;52.75;15;35.5;0;0.0;10.0
o;14;45.5;Blaser Andre;;14;55.0;15;45.25;1;-0.25;8.5

19a;Ackermann Rico (2003);;;;;;;;;;53.75
+;;;Bebi Nic (2003);;;;;;;;9.75
o;2;9.75;Fontana Michael;*;15;54.75;4;8.75;2;-1.0;8.5
+;6;18.25;Bernhard Thomas (2002);;25;35.25;6;18.25;0;0.0;10.0
