3448-2016-05-29_97_Luzerner_Kantonales_Schwingfest-ST

1a;Odermatt Andreas;*;;;;;;;;;109.75
o;7;18.5;Widmer Simon;;15;55.0;8;18.25;1;-0.25;8.75
o;10;27.25;Scherer Niklaus;;18;54.25;10;27.25;0;0.0;8.5
+;15;35.75;Ambühl Patrick;;20;53.75;11;36.75;-4;1.0;10.0
+;12;45.75;Ziegler Dominik;;18;54.25;12;45.75;0;0.0;10.0

12h;Kammermann Dominik;;;;;;;;;;55.75
+;;;Stäger Franz (2000);;;;;;;;9.75
-;3;9.75;Senn Pirmin;;17;54.5;2;10.0;-1;0.25;9.0
o;6;18.75;Bieri Christian;*;13;55.5;7;18.5;1;-0.25;8.5
+;10;27.25;Stadelmann Pascal (1998);;19;54.0;10;27.25;0;0.0;9.75
o;10;37.0;Bernhard Lukas;*;11;56.0;14;36.0;4;-1.0;8.75
+;12;45.75;Wigger Simon (1999);;18;54.25;12;45.75;0;0.0;10.0

12i;Egli Pirmin;**;;;;;;;;;55.75
-;;;Vonlaufen Alexander;**;;;;;;;8.75
+;5;8.75;Stadelmann Simon;*;12;55.75;6;8.5;1;-0.25;9.75
+;7;18.5;Emmenegger Lukas;;12;55.75;2;20.0;-5;1.5;10.0
+;5;28.5;Zgraggen Fabian;;8;56.75;2;29.75;-3;1.25;9.75
o;5;38.25;Arnold Stefan;**;9;56.5;5;38.25;0;0.0;8.5
-;8;46.75;Nauer Robin;;13;55.5;9;46.5;1;-0.25;9.0

12j;Achermann Daniel;;;;;;;;;;55.75
-;;;Wicki Kevin;;;;;;;;8.75
+;5;8.75;Egli Jonas (2000);;36;34.0;6;8.5;1;-0.25;10.0
o;6;18.75;Herger Fabian;*;18;54.25;10;17.5;4;-1.25;8.5
+;10;27.25;Huser Christian (2000);;19;54.0;10;27.25;0;0.0;10.0
o;9;37.25;Muff André;*;7;57.0;9;37.25;0;0.0;8.5
+;12;45.75;Wyss Fabian;;19;54.0;13;45.5;1;-0.25;10.0

12k;Hodel Martin;;;;;;;;;;55.75
+;;;Egli Samuel (1999);;;;;;;;10.0
o;2;10.0;Fässler Dominic;*;27;45.0;5;8.75;3;-1.25;8.5
+;7;18.5;Gubbi Pablo (2000);;23;53.0;6;18.75;-1;0.25;10.0
o;5;28.5;Portmann Josef;*;11;56.0;8;27.75;3;-0.75;8.5
o;10;37.0;Koch Roger;*;13;55.5;10;37.0;0;0.0;8.75
+;12;45.75;Huser Christian (2000);;19;54.0;13;45.5;1;-0.25;10.0

12l;Schöpfer Thomas;*;;;;;;;;;55.75
-;;;Graber Michael;*;;;;;;;8.75
o;5;8.75;Vonlaufen Alexander;**;12;55.75;5;8.75;0;0.0;8.5
+;11;17.25;Vogel Marcel;;14;55.25;7;18.5;-4;1.25;9.75
o;11;27.0;Bieri Elias;;13;55.5;6;28.25;-5;1.25;8.75
+;15;35.75;Fallegger Andreas (1998);;20;53.75;11;36.75;-4;1.0;10.0
+;12;45.75;Suter Beat;;18;54.25;12;45.75;0;0.0;10.0

12m;Ramseier Fritz;*;;;;;;;;;55.75
-;;;Müller Michael;**;;;;;;;9.0
+;4;9.0;Schärli Lukas;**;13;55.5;5;8.75;1;-0.25;10.0
+;5;19.0;Fässler Dominic;*;27;45.0;6;18.75;1;-0.25;9.75
o;4;28.75;Brun Jonas;**;7;57.0;5;28.5;1;-0.25;8.5
+;9;37.25;Suppiger Thomas;;11;56.0;8;37.5;-1;0.25;10.0
o;6;47.25;Gloggner Philipp;***;5;57.5;4;47.75;-2;0.5;8.5

12n;Stadelmann Simon;*;;;;;;;;;55.75
o;;;Lang Sven (1998);*;;;;;;;8.5
o;6;8.5;Egli Pirmin;**;12;55.75;5;8.75;-1;0.25;8.5
+;12;17.0;Fallegger Andreas (1998);;20;53.75;7;18.5;-5;1.5;10.0
-;11;27.0;Barmet Sven;;18;54.25;7;28.0;-4;1.0;8.75
+;15;35.75;Ziegler Elias (1999);;19;54.0;15;35.75;0;0.0;10.0
+;12;45.75;Elmiger Matthias;;17;54.5;11;46.0;-1;0.25;10.0

12o;Fellmann Simon;;;;;;;;;;55.75
+;;;Heller Basil (2000);;;;;;;;10.0
-;2;10.0;Rohrer Ueli (1999);;14;55.25;2;10.0;0;0.0;9.0
o;5;19.0;Suppiger Martin;***;7;57.0;7;18.5;2;-0.5;8.5
+;9;27.5;Ziegler Dominik;;18;54.25;10;27.25;1;-0.25;9.75
o;9;37.25;Bernet Christoph;*;6;57.25;8;37.5;-1;0.25;8.5
+;12;45.75;Senn Pirmin;;17;54.5;12;45.75;0;0.0;10.0

13a;Bachmann Adrian;;;;;;;;;;55.5
-;;;Lustenberger Josef;;;;;;;;8.75
+;5;8.75;Bühlmann Robin (1999);;31;35.5;6;8.5;1;-0.25;10.0
o;6;18.75;Dober Adrian;*;9;56.5;9;17.75;3;-1.0;8.5
+;10;27.25;Senn Pirmin;;17;54.5;9;27.5;-1;0.25;10.0
o;9;37.25;Gloggner Reto;**;10;56.25;9;37.25;0;0.0;8.5
+;12;45.75;Marti Christoph (1999);;20;53.75;14;45.25;2;-0.5;9.75

13b;Lemmenmeier Lukas;;;;;;;;;;55.5
-;;;Schaller Noah (2000);;;;;;;;8.75
+;5;8.75;Lampart Valentin (2000);;31;35.5;6;8.5;1;-0.25;10.0
o;6;18.75;Kempf Elias;**;15;55.0;12;17.0;6;-1.75;8.5
+;10;27.25;Portmann Roger (1998);;21;53.5;9;27.5;-1;0.25;10.0
o;9;37.25;Zaugg Thomas;***;8;56.75;9;37.25;0;0.0;8.5
+;12;45.75;Elmiger Andreas;;18;54.25;13;45.5;1;-0.25;9.75

13c;Dissler Philipp;;;;;;;;;;55.5
-;;;Stucki Christian;;;;;;;;8.75
+;5;8.75;Hodel Dominik (2000);;20;53.75;6;8.5;1;-0.25;10.0
o;6;18.75;Wicki Joel;**;3;58.0;7;18.5;1;-0.25;8.5
+;10;27.25;Kurmann Jvo;;20;53.75;12;26.75;2;-0.5;10.0
o;9;37.25;Reusser Philipp;**;7;57.0;9;37.25;0;0.0;8.5
+;12;45.75;Scherer Niklaus;;18;54.25;13;45.5;1;-0.25;9.75

13d;Schärli Lukas;**;;;;;;;;;55.5
-;;;Stadelmann Pius;*;;;;;;;8.75
o;5;8.75;Ramseier Fritz;*;12;55.75;4;9.0;-1;0.25;8.5
+;11;17.25;Sidler Kuno;;22;53.25;7;18.5;-4;1.25;10.0
+;10;27.25;Nauer Robin;;13;55.5;7;28.0;-3;0.75;9.75
+;10;37.0;Zgraggen Peter;;19;54.0;10;37.0;0;0.0;9.75
o;8;46.75;Mathis Marcel;***;8;56.75;7;47.0;-1;0.25;8.75

13e;Achermann Christoph;*;;;;;;;;;55.5
-;;;Bättig Martin;*;;;;;;;8.75
o;5;8.75;Scheuber Lutz;**;4;57.75;5;8.75;0;0.0;8.5
+;11;17.25;Michel Silvan;;20;53.75;7;18.5;-4;1.25;9.75
+;11;27.0;Widmer Dominik;;16;54.75;7;28.0;-4;1.0;10.0
+;10;37.0;Wyss Fabian;;19;54.0;10;37.0;0;0.0;10.0
o;7;47.0;Fankhauser Reto;**;6;57.25;5;47.5;-2;0.5;8.5

13f;Bieri Christian;*;;;;;;;;;55.5
-;;;Brun Jonas;**;;;;;;;8.75
+;5;8.75;Dober Adrian;*;9;56.5;4;9.0;-1;0.25;9.75
+;7;18.5;Kammermann Dominik;;12;55.75;6;18.75;-1;0.25;10.0
o;5;28.5;Schurtenberger Sven;**;2;58.5;4;28.75;-1;0.25;8.5
+;10;37.0;Scherer Niklaus;;18;54.25;10;37.0;0;0.0;9.75
-;8;46.75;Portmann Josef;*;11;56.0;6;47.25;-2;0.5;8.75

13g;Bieri Elias;;;;;;;;;;55.5
+;;;Zürcher Ueli (2000);;;;;;;;10.0
+;2;10.0;Stampﬂi Simon;;17;54.5;3;9.75;1;-0.25;9.75
o;3;19.75;Stöckli Stefan;**;6;57.25;6;18.75;3;-1.0;8.5
+;6;28.25;Schöpfer Thomas;*;12;55.75;11;27.0;5;-1.25;10.0
o;5;38.25;Egli Damian;**;10;56.25;6;38.0;1;-0.25;8.75
o;7;47.0;Zgraggen Fabian;;8;56.75;7;47.0;0;0.0;8.5

13h;Gisler Ruedi;;;;;;;;;;55.5
o;;;Troxler Jonas (2000);;;;;;;;8.5
+;6;8.5;Lampart Maurus (2000);;36;34.0;6;8.5;0;0.0;10.0
o;7;18.5;Fink Bruno;*;14;55.25;12;17.0;5;-1.5;8.5
+;11;27.0;Wigger Fabian (1998);;32;35.25;12;26.75;1;-0.25;10.0
o;10;37.0;Stadelmann Pius;*;13;55.5;10;37.0;0;0.0;8.5
+;13;45.5;Heller Basil (2000);;18;54.25;12;45.75;-1;0.25;10.0

13i;Egli Manuel;*;;;;;;;;;55.5
-;;;Fässler Dominic;*;;;;;;;8.75
+;5;8.75;Widmer Dominik;;16;54.75;3;9.75;-2;1.0;10.0
+;6;18.75;Bussmann Martin;;14;55.25;4;19.5;-2;0.75;9.75
-;5;28.5;Reusser Philipp;**;7;57.0;5;28.5;0;0.0;8.75
+;9;37.25;von Flüe Marco;;17;54.5;9;37.25;0;0.0;9.75
o;7;47.0;Zaugg Thomas;***;8;56.75;7;47.0;0;0.0;8.5

13j;Stucki Christian;;;;;;;;;;55.5
-;;;Dissler Philipp;;;;;;;;8.75
+;5;8.75;Wüest David (2000);;32;35.25;6;8.5;1;-0.25;10.0
o;6;18.75;Gerber Christian;**;9;56.5;8;18.25;2;-0.5;8.5
+;10;27.25;Gubbi Pablo (2000);;23;53.0;10;27.25;0;0.0;10.0
o;9;37.25;Kempf Elias;**;15;55.0;12;36.5;3;-0.75;8.5
+;12;45.75;Andermatt Adrian;;17;54.5;12;45.75;0;0.0;9.75

13k;Lang Sven (1998);*;;;;;;;;;55.5
+;;;Stadelmann Simon;*;;;;;;;10.0
o;2;10.0;Mathis Marcel;***;8;56.75;5;8.75;3;-1.25;8.5
+;7;18.5;Reber Sandro;;16;54.75;6;18.75;-1;0.25;9.75
+;6;28.25;Bühler Patrice;;13;55.5;5;28.5;-1;0.25;9.75
o;6;38.0;Wicki Joel;**;3;58.0;5;38.25;-1;0.25;8.5
-;9;46.5;Bruhin Fredi;;13;55.5;9;46.5;0;0.0;9.0

13l;Bühler Patrice;;;;;;;;;;55.5
+;;;Benz Simon (2000);;;;;;;;10.0
o;2;10.0;Portmann Josef;*;11;56.0;5;8.75;3;-1.25;8.5
+;7;18.5;Egli Christian (2000);;16;54.75;7;18.5;0;0.0;10.0
o;5;28.5;Lang Sven (1998);*;13;55.5;6;28.25;1;-0.25;8.75
o;9;37.25;Felder Seppi;;7;57.0;9;37.25;0;0.0;8.5
+;12;45.75;Zgraggen Peter;;19;54.0;13;45.5;1;-0.25;9.75

13m;Nauer Robin;;;;;;;;;;55.5
o;;;Felder Martin;;;;;;;;8.5
+;6;8.5;Staffelbach Beat (2000);;33;34.75;6;8.5;0;0.0;9.75
+;8;18.25;Zürcher Ueli (2000);;20;53.75;8;18.25;0;0.0;9.75
o;7;28.0;Schärli Lukas;**;13;55.5;10;27.25;3;-0.75;8.5
+;12;36.5;Fink Bruno;*;14;55.25;11;36.75;-1;0.25;10.0
-;9;46.5;Egli Pirmin;**;12;55.75;8;46.75;-1;0.25;9.0

13n;Arnold Fabian;;;;;;;;;;55.5
o;;;Felder Seppi;;;;;;;;8.5
+;6;8.5;Müller Severin (1999);;32;35.25;6;8.5;0;0.0;9.75
+;8;18.25;Grüter Marcel (1999);;32;35.25;8;18.25;0;0.0;10.0
o;6;28.25;Fankhauser Erich;***;6;57.25;9;27.5;3;-0.75;8.5
+;11;36.75;Bättig Peter;;14;55.25;11;36.75;0;0.0;10.0
o;8;46.75;Bernet Christoph;*;6;57.25;6;47.25;-2;0.5;8.75

13o;Bruhin Fredi;;;;;;;;;;55.5
o;;;Bürli Roger;;;;;;;;8.5
+;6;8.5;Rust Sandro (1999);;18;54.25;6;8.5;0;0.0;9.75
+;8;18.25;Fankhauser Ueli;;31;35.5;7;18.5;-1;0.25;10.0
o;6;28.25;Suppiger Werner;**;9;56.5;8;27.75;2;-0.5;8.5
+;11;36.75;Hodler Mathias;;14;55.25;11;36.75;0;0.0;9.75
-;9;46.5;Lang Sven (1998);*;13;55.5;9;46.5;0;0.0;9.0

13p;Schöpfer Ronny (1999);;;;;;;;;;55.5
+;;;Suter Beat;;;;;;;;9.75
o;3;9.75;Suppiger Thomas;;11;56.0;2;10.0;-1;0.25;8.75
+;7;18.5;Baumann Reto;;31;35.5;7;18.5;0;0.0;9.75
o;6;28.25;Vonlaufen Alexander;**;12;55.75;10;27.25;4;-1.0;8.75
o;10;37.0;Heiniger Marco;*;25;45.75;10;37.0;0;0.0;8.75
+;12;45.75;Barmet Sven;;18;54.25;13;45.5;1;-0.25;9.75

13q;Stadelmann Pius;*;;;;;;;;;55.5
-;;;Schärli Lukas;**;;;;;;;8.75
+;5;8.75;Imboden Roger;**;15;55.0;5;8.75;0;0.0;10.0
o;6;18.75;Zgraggen Fabian;;8;56.75;3;19.75;-3;1.0;8.5
+;10;27.25;Weber Marc (1999);;29;44.25;11;27.0;1;-0.25;9.75
+;10;37.0;Gisler Ruedi;;13;55.5;10;37.0;0;0.0;10.0
o;7;47.0;Stöckli Stefan;**;6;57.25;6;47.25;-1;0.25;8.5

13r;Koch Roger;*;;;;;;;;;55.5
-;;;Muff André;*;;;;;;;8.75
o;5;8.75;Schurtenberger Sven;**;2;58.5;5;8.75;0;0.0;8.5
+;11;17.25;Mignola Lorenzo;;23;53.0;7;18.5;-4;1.25;10.0
+;10;27.25;Vogel Sven (2000);;20;53.75;7;28.0;-3;0.75;9.75
+;10;37.0;Hodel Martin;;12;55.75;10;37.0;0;0.0;9.75
o;8;46.75;Scheidegger Philipp;**;6;57.25;6;47.25;-2;0.5;8.75

14a;Müller Toni;*;;;;;;;;;55.25
-;;;Vogel Remo;*;;;;;;;8.75
o;5;8.75;Schuler Alex;**;10;56.25;5;8.75;0;0.0;8.5
+;11;17.25;Ziegler Manuel;;17;54.5;7;18.5;-4;1.25;10.0
+;10;27.25;Durrer Robin;;15;55.0;7;28.0;-3;0.75;9.75
+;10;37.0;Michel Silvan;;20;53.75;11;36.75;1;-0.25;9.75
o;8;46.75;Reusser Philipp;**;7;57.0;6;47.25;-2;0.5;8.5

14b;Heiniger Luca (1998);;;;;;;;;;55.25
+;;;Hodel Dominik (2000);;;;;;;;9.75
+;3;9.75;Weber Marc (1999);;29;44.25;6;8.5;3;-1.25;10.0
+;3;19.75;Kammermann Thomas;*;30;36.25;6;18.75;3;-1.0;9.75
o;3;29.5;Suppiger René;**;6;57.25;5;28.5;2;-1.0;8.5
o;6;38.0;Dober Adrian;*;9;56.5;7;37.75;1;-0.25;8.75
o;8;46.75;Fellmann Roman;;8;56.75;7;47.0;-1;0.25;8.5

14c;Bussmann Martin;;;;;;;;;;55.25
+;;;Egli Jonas (2000);;;;;;;;9.75
+;3;9.75;Egli Christian (2000);;16;54.75;2;10.0;-1;0.25;9.75
o;4;19.5;Egli Manuel;*;13;55.5;6;18.75;2;-0.75;8.5
-;7;28.0;Scherer Adrian;*;17;54.5;11;27.0;4;-1.0;9.0
o;10;37.0;Rohrer Ueli (1999);;14;55.25;12;36.5;2;-0.5;8.5
+;13;45.5;Weber Marc (1999);;29;44.25;18;44.25;5;-1.25;9.75

14d;Rohrer Ueli (1999);;;;;;;;;;55.25
+;;;Fischer Tobias;;;;;;;;10.0
-;2;10.0;Fellmann Simon;;12;55.75;2;10.0;0;0.0;8.75
-;6;18.75;Imboden Roger;**;15;55.0;11;17.25;5;-1.5;9.0
-;8;27.75;Hirsiger Alexander;;15;55.0;8;27.75;0;0.0;8.75
+;12;36.5;Bussmann Martin;;14;55.25;10;37.0;-2;0.5;9.75
-;10;46.25;Gloggner Reto;**;10;56.25;6;47.25;-4;1.0;9.0

14e;Schenk Thomas;*;;;;;;;;;55.25
o;;;Stöckli Stefan;**;;;;;;;8.5
o;6;8.5;Muff Armin;**;8;56.75;6;8.5;0;0.0;8.5
+;12;17.0;Wigger Florian (1998);;23;53.0;7;18.5;-5;1.5;9.75
+;12;26.75;Widmer Simon;;15;55.0;7;28.0;-5;1.25;10.0
+;11;36.75;Wigger Simon (1999);;18;54.25;9;37.25;-2;0.5;10.0
o;8;46.75;Suppiger Martin;***;7;57.0;6;47.25;-2;0.5;8.5

14f;Wicki David (1998);;;;;;;;;;55.25
-;;;Wigger Simon (1999);;;;;;;;9.0
+;4;9.0;Huser Christian (2000);;19;54.0;5;8.75;1;-0.25;10.0
o;5;19.0;Muff Armin;**;8;56.75;7;18.5;2;-0.5;8.5
-;9;27.5;Achermann Severin (2000);;20;53.75;10;27.25;1;-0.25;9.0
-;12;36.5;Reber Sandro;;16;54.75;14;36.0;2;-0.5;8.75
+;14;45.25;Mignola Lorenzo;;23;53.0;17;44.5;3;-0.75;10.0

14g;Fischer Tobias;;;;;;;;;;55.25
o;;;Rohrer Ueli (1999);;;;;;;;8.5
+;6;8.5;Egli Samuel (1999);;36;34.0;6;8.5;0;0.0;9.75
o;8;18.25;Bättig Peter;;14;55.25;8;18.25;0;0.0;8.5
+;12;26.75;Wüest David (2000);;32;35.25;12;26.75;0;0.0;10.0
o;11;36.75;Fankhauser Kurt;**;12;55.75;14;36.0;3;-0.75;8.5
+;14;45.25;Lustenberger David (2000);;23;53.0;17;44.5;3;-0.75;10.0

14h;Schnider Markus;*;;;;;;;;;55.25
-;;;Thalmann Thomas;*;;;;;;;8.75
o;5;8.75;Gerber Christian;**;9;56.5;6;8.5;1;-0.25;8.5
+;11;17.25;Bucher Thomas;;16;54.75;6;18.75;-5;1.5;9.75
-;11;27.0;Scheuber Stefan;;17;54.5;6;28.25;-5;1.25;8.75
+;15;35.75;Pedrazzini Diego (1998);;15;55.0;11;36.75;-4;1.0;9.75
+;13;45.5;Kurmann Jvo;;20;53.75;14;45.25;1;-0.25;9.75

14i;Vogel Marcel;;;;;;;;;;55.25
+;;;Schumacher Daniel (2000);;;;;;;;10.0
o;2;10.0;Felder Martin;;15;55.0;3;9.75;1;-0.25;8.5
o;7;18.5;Schöpfer Thomas;*;12;55.75;11;17.25;4;-1.25;8.5
+;11;27.0;Wobmann Linus (1999);;32;35.25;12;26.75;1;-0.25;10.0
o;10;37.0;Odermatt Andreas;*;1;109.75;1;73.0;-9;36.0;8.5
+;13;45.5;Vogel Sven (2000);;20;53.75;15;45.0;2;-0.5;9.75

14j;Hodler Mathias;;;;;;;;;;55.25
o;;;Stöckli Damian;;;;;;;;8.5
+;6;8.5;Hodel Michael (2000);;31;35.5;6;8.5;0;0.0;10.0
+;7;18.5;Tanner Manuel;;20;53.75;7;18.5;0;0.0;9.75
o;6;28.25;Zaugg Thomas;***;8;56.75;10;27.25;4;-1.0;8.5
o;11;36.75;Bruhin Fredi;;13;55.5;11;36.75;0;0.0;8.5
+;14;45.25;Portmann Roger (1998);;21;53.5;15;45.0;1;-0.25;10.0

14k;Stöckli Damian;;;;;;;;;;55.25
+;;;Hodler Mathias;;;;;;;;9.75
+;3;9.75;Lustenberger David (2000);;23;53.0;3;9.75;0;0.0;10.0
o;3;19.75;Schuler Alex;**;10;56.25;7;18.5;4;-1.25;8.5
o;6;28.25;Felder Martin;;15;55.0;7;28.0;1;-0.25;8.5
+;11;36.75;Widmer Simon;;15;55.0;12;36.5;1;-0.25;10.0
o;8;46.75;Brun Jonas;**;7;57.0;7;47.0;-1;0.25;8.5

14l;Lustenberger Josef;;;;;;;;;;55.25
-;;;Bachmann Adrian;;;;;;;;8.75
+;5;8.75;Wobmann Linus (1999);;32;35.25;6;8.5;1;-0.25;10.0
o;6;18.75;Zurﬂuh Markus;**;28;44.75;10;17.5;4;-1.25;8.5
+;10;27.25;Ziegler Elias (1999);;19;54.0;10;27.25;0;0.0;9.75
+;10;37.0;Egli David;*;11;56.0;9;37.25;-1;0.25;9.75
o;8;46.75;Bürli Roger;;7;57.0;6;47.25;-2;0.5;8.5

14m;Bättig Peter;;;;;;;;;;55.25
+;;;Lampart Valentin (2000);;;;;;;;9.75
o;3;9.75;Ambühl Joel (1998);;10;56.25;3;9.75;0;0.0;8.5
+;8;18.25;Fischer Tobias;;14;55.25;8;18.25;0;0.0;10.0
o;6;28.25;Thalmann Thomas;*;17;54.5;10;27.25;4;-1.0;8.5
o;11;36.75;Arnold Fabian;;13;55.5;11;36.75;0;0.0;8.5
+;14;45.25;Tanner Manuel;;20;53.75;14;45.25;0;0.0;10.0

14n;Fink Bruno;*;;;;;;;;;55.25
o;;;Bernet Christoph;*;;;;;;;8.5
o;6;8.5;Scheidegger Philipp;**;6;57.25;5;8.75;-1;0.25;8.5
+;12;17.0;Gisler Ruedi;;13;55.5;7;18.5;-5;1.5;10.0
+;11;27.0;Gisler Stefan;;11;56.0;9;27.5;-2;0.5;9.75
o;11;36.75;Nauer Robin;;13;55.5;12;36.5;1;-0.25;8.5
+;14;45.25;Herger Fabian;*;18;54.25;12;45.75;-2;0.5;10.0

15a;Bärtschi Basil;;;;;;;;;;55.0
o;;;Kurmann Toni (1998);;;;;;;;8.5
+;6;8.5;Hodel Michael (2000);;31;35.5;6;8.5;0;0.0;9.75
+;8;18.25;Ziegler Dominik;;18;54.25;7;18.5;-1;0.25;10.0
o;6;28.25;Kempf Elias;**;15;55.0;12;26.75;6;-1.5;8.5
o;11;36.75;Betschart Remo;**;10;56.25;11;36.75;0;0.0;8.5
+;14;45.25;Weber Marc (1999);;29;44.25;18;44.25;4;-1.0;9.75

15b;Gerber Peter;;;;;;;;;;55.0
+;;;Vogel Sven (2000);;;;;;;;9.75
-;3;9.75;Elmiger Matthias;;17;54.5;2;10.0;-1;0.25;9.0
o;6;18.75;Fankhauser Erich;***;6;57.25;10;17.5;4;-1.25;8.5
-;10;27.25;Wyrsch Silvio (1998);;16;54.75;10;27.25;0;0.0;8.75
+;14;36.0;Duss Fabian;;24;52.75;15;35.75;1;-0.25;10.0
-;11;46.0;Hasler Florian;**;15;55.0;11;46.0;0;0.0;9.0

15c;Durrer Robin;;;;;;;;;;55.0
o;;;Suppiger Thomas;;;;;;;;8.5
+;6;8.5;Amrein Lukas (1999);;32;35.25;6;8.5;0;0.0;9.75
+;8;18.25;Kurmann Jvo;;20;53.75;8;18.25;0;0.0;9.75
o;7;28.0;Müller Toni;*;14;55.25;10;27.25;3;-0.75;8.5
o;12;36.5;Schmid Simon (2000);;16;54.75;14;36.0;2;-0.5;8.75
+;14;45.25;Troxler Jonas (2000);;21;53.5;15;45.0;1;-0.25;9.75

15d;Imboden Roger;**;;;;;;;;;55.0
-;;;Bernhard Lukas;*;;;;;;;8.75
o;5;8.75;Stadelmann Pius;*;13;55.5;5;8.75;0;0.0;8.5
-;11;17.25;Rohrer Ueli (1999);;14;55.25;6;18.75;-5;1.5;9.0
+;13;26.25;Arnold David;;31;35.5;11;27.0;-2;0.75;10.0
+;13;36.25;Stampﬂi Simon;;17;54.5;10;37.0;-3;0.75;10.0
o;10;46.25;Betschart Remo;**;10;56.25;9;46.5;-1;0.25;8.75

15e;Hasler Florian;**;;;;;;;;;55.0
+;;;Muff Armin;**;;;;;;;10.0
-;2;10.0;Müller Michael;**;8;56.75;4;9.0;2;-1.0;8.75
-;6;18.75;Bürli Roger;;7;57.0;3;19.75;-3;1.0;8.75
+;9;27.5;Ottiger Lukas;;12;55.75;5;28.5;-4;1.0;10.0
o;8;37.5;Fankhauser Erich;***;6;57.25;8;37.5;0;0.0;8.5
-;11;46.0;Gerber Peter;;15;55.0;11;46.0;0;0.0;9.0

15f;Hirsiger Alexander;;;;;;;;;;55.0
+;;;Grüter Marcel (1999);;;;;;;;10.0
-;2;10.0;Portmann Roger (1998);;21;53.5;2;10.0;0;0.0;9.0
-;5;19.0;Odermatt Andreas;*;1;109.75;1;37.0;-4;18.0;8.75
-;8;27.75;Rohrer Ueli (1999);;14;55.25;8;27.75;0;0.0;8.75
-;12;36.5;Zurﬂuh Markus;**;28;44.75;14;36.0;2;-0.5;8.75
+;14;45.25;Hodel Dominik (2000);;20;53.75;14;45.25;0;0.0;9.75

15g;Widmer Simon;;;;;;;;;;55.0
o;;;Wicki Patrick;;;;;;;;8.5
+;6;8.5;Achermann Severin (2000);;20;53.75;5;8.75;-1;0.25;9.75
+;8;18.25;Jund Matthias (1999);;12;55.75;7;18.5;-1;0.25;9.75
o;7;28.0;Schenk Thomas;*;14;55.25;12;26.75;5;-1.25;8.5
o;12;36.5;Stöckli Damian;;14;55.25;11;36.75;-1;0.25;8.5
+;15;45.0;Stäger Franz (2000);;23;53.0;17;44.5;2;-0.5;10.0

15h;Kempf Elias;**;;;;;;;;;55.0
o;;;Fankhauser Reto;**;;;;;;;8.5
o;6;8.5;Brun Jonas;**;7;57.0;5;8.75;-1;0.25;8.5
+;12;17.0;Lemmenmeier Lukas;;13;55.5;6;18.75;-6;1.75;9.75
+;12;26.75;Bärtschi Basil;;15;55.0;6;28.25;-6;1.5;9.75
+;12;36.5;Stucki Christian;;13;55.5;9;37.25;-3;0.75;10.0
o;9;46.5;Fankhauser Erich;***;6;57.25;6;47.25;-3;0.75;8.5

15i;Felder Martin;;;;;;;;;;55.0
+;;;Nauer Robin;;;;;;;;9.75
+;3;9.75;Vogel Marcel;;14;55.25;2;10.0;-1;0.25;9.75
o;4;19.5;Scheuber Lutz;**;4;57.75;6;18.75;2;-0.75;8.5
+;7;28.0;Stöckli Damian;;14;55.25;6;28.25;-1;0.25;9.75
o;7;37.75;Suppiger Werner;**;9;56.5;7;37.75;0;0.0;8.5
o;10;46.25;Muff Armin;**;8;56.75;7;47.0;-3;0.75;8.75

15j;Pedrazzini Diego (1998);;;;;;;;;;55.0
-;;;Achermann Severin (2000);;;;;;;;8.75
+;5;8.75;Schmid Joel (1999);;32;35.25;6;8.5;1;-0.25;9.75
o;7;18.5;Vogel Sven (2000);;20;53.75;8;18.25;1;-0.25;8.5
+;11;27.0;Bühlmann Daniel (2000);;31;35.5;11;27.0;0;0.0;9.75
o;11;36.75;Schnider Markus;*;14;55.25;15;35.75;4;-1.0;8.5
+;14;45.25;Ambühl Patrick;;20;53.75;14;45.25;0;0.0;9.75

16a;Doppmann Ueli (1998);;;;;;;;;;54.75
+;;;Stocker Janosch (1999);;;;;;;;10.0
o;2;10.0;Muff André;*;7;57.0;4;9.0;2;-1.0;8.5
+;7;18.5;Lustenberger David (2000);;23;53.0;8;18.25;1;-0.25;10.0
o;5;28.5;Suppiger Martin;***;7;57.0;6;28.25;1;-0.25;8.5
o;10;37.0;Ottiger Lukas;;12;55.75;10;37.0;0;0.0;8.75
-;12;45.75;Schärli Reto;;16;54.75;12;45.75;0;0.0;9.0

16b;Achermann Simon;;;;;;;;;;54.75
+;;;Staffelbach Beat (2000);;;;;;;;9.75
+;3;9.75;Troxler Jonas (2000);;21;53.5;3;9.75;0;0.0;10.0
o;3;19.75;Muff André;*;7;57.0;6;18.75;3;-1.0;8.5
o;6;28.25;Egli David;*;11;56.0;10;27.25;4;-1.0;8.75
-;10;37.0;Scheuber Stefan;;17;54.5;10;37.0;0;0.0;9.0
-;11;46.0;Wyrsch Silvio (1998);;16;54.75;11;46.0;0;0.0;8.75

16c;Schärli Reto;;;;;;;;;;54.75
+;;;Fankhauser Ueli;;;;;;;;10.0
+;2;10.0;Marti Lukas;;37;26.75;3;9.75;1;-0.25;10.0
o;2;20.0;Egli Damian;**;10;56.25;3;19.75;1;-0.25;8.5
o;5;28.5;Fankhauser Reto;**;6;57.25;5;28.5;0;0.0;8.5
-;10;37.0;Schmidiger Marco;;17;54.5;10;37.0;0;0.0;8.75
