3448-2016-05-29_97_Luzerner_Kantonales_Schwingfest-ST

1a;Odermatt Andreas;*;;;;;;;;;109.75
+;;;Gerber Christian;**;;;;;;;10.0
+;2;10.0;Odermatt Andreas;*;1;109.75;1;19.75;-1;9.75;9.75
o;3;19.75;Schuler Christian;***;3;58.0;3;19.75;0;0.0;8.75
+;5;28.5;Heiniger Luca (1998);;14;55.25;3;29.5;-2;1.0;10.0
+;4;38.5;Stöckli Stefan;**;6;57.25;3;38.75;-1;0.25;10.0
o;2;48.5;Schurtenberger Sven;**;2;58.5;2;48.5;0;0.0;8.75

6d;Scheidegger Philipp;**;;;;;;;;;57.25
-;;;Schuler Alex;**;;;;;;;8.75
+;5;8.75;Fink Bruno;*;14;55.25;6;8.5;1;-0.25;9.75
+;7;18.5;Barmet Sven;;18;54.25;4;19.5;-3;1.0;9.75
+;6;28.25;Wigger Simon (1999);;18;54.25;4;28.75;-2;0.5;10.0
-;5;38.25;Gloggner Philipp;***;5;57.5;3;38.75;-2;0.5;9.0
+;6;47.25;Koch Roger;*;13;55.5;8;46.75;2;-0.5;10.0

6e;Fankhauser Reto;**;;;;;;;;;57.25
+;;;Kempf Elias;**;;;;;;;9.75
o;3;9.75;Reusser Philipp;**;7;57.0;3;9.75;0;0.0;8.75
+;7;18.5;Senn Pirmin;;17;54.5;5;19.0;-2;0.5;10.0
+;5;28.5;Schärli Reto;;16;54.75;5;28.5;0;0.0;10.0
-;4;38.5;Suppiger Martin;***;7;57.0;5;38.25;1;-0.25;9.0
+;5;47.5;Achermann Christoph;*;13;55.5;7;47.0;2;-0.5;9.75

6f;Fankhauser Erich;***;;;;;;;;;57.25
o;;;Schuler Christian;***;;;;;;;8.5
-;6;8.5;Rohrer Ivan;*;11;56.0;3;9.75;-3;1.25;9.0
+;10;17.5;Gerber Peter;;15;55.0;6;18.75;-4;1.25;10.0
+;9;27.5;Arnold Fabian;;13;55.5;6;28.25;-3;0.75;10.0
+;8;37.5;Hasler Florian;**;15;55.0;8;37.5;0;0.0;9.75
