2757-2017-06-18_Fete_alpestre_Lac_Noir-Bergschwinget_Schwarzsee-ST

1a;Sempach Matthias;***;;;;;;;;;58.5
o;;;Müllestein Mike;***;;;;;;;8.5
+;5;8.5;Gwerder Guido;**;14;54.75;2;9.75;-3;1.25;10.0
+;6;18.5;Scheuber Lutz;**;11;55.5;5;18.75;-1;0.25;10.0
+;6;28.5;Wampfler Beat;***;10;55.75;5;28.75;-1;0.25;10.0
+;2;38.5;Gehrig Damian;***;24;45.75;7;37.25;5;-1.25;10.0
+;2;48.5;Wenger Kilian;***;2;58.25;1;49.5;-1;1.0;10.0

2a;Wenger Kilian;***;;;;;;;;;58.25
+;;;Gloggner Philipp;***;;;;;;;9.75
+;2;9.75;Müller Michael;**;14;54.75;1;10.0;-1;0.25;10.0
+;2;19.75;Bieri Marcel;**;5;57.0;2;19.75;0;0.0;10.0
+;1;29.75;Moser Steven;**;7;56.5;2;29.5;1;-0.25;9.75
+;1;39.5;Michel Jonas;*;25;45.5;8;37.0;7;-2.5;10.0
o;1;49.5;Sempach Matthias;***;1;58.5;2;48.5;1;-1.0;8.75

3a;Schurtenberger Sven;***;;;;;;;;;58.0
o;;;Glarner Matthias;***;;;;;;;8.5
+;5;8.5;Schafer Damien;*;34;34.0;5;8.5;0;0.0;10.0
+;6;18.5;Binggeli Dominik;*;21;53.0;6;18.5;0;0.0;10.0
+;6;28.5;Zenger Niklaus;***;14;54.75;6;28.5;0;0.0;9.75
+;3;38.25;Reusser Philipp;***;7;56.5;3;38.25;0;0.0;9.75
+;4;48.0;Moser Steven;**;7;56.5;4;48.0;0;0.0;10.0

4a;Käser Remo;***;;;;;;;;;57.25
-;;;Nötzli Reto;***;;;;;;;9.0
+;3;9.0;Barras André;*;33;34.25;4;8.75;1;-0.25;10.0
+;4;19.0;Arnold Raphael;*;13;55.0;3;19.5;-1;0.5;9.75
-;5;28.75;Schuler Alex;***;9;56.0;6;28.5;1;-0.25;9.0
+;5;37.75;Scheuber Lutz;**;11;55.5;7;37.25;2;-0.5;9.75
+;5;47.5;Kramer Lario;**;10;55.75;7;47.0;2;-0.5;9.75

4b;Müllestein Mike;***;;;;;;;;;57.25
+;;;Sempach Matthias;***;;;;;;;9.75
+;2;9.75;von Weissenfluh Kilian;*;5;57.0;1;10.0;-1;0.25;10.0
-;2;19.75;Glarner Matthias;***;6;56.75;1;20.0;-1;0.25;8.75
-;6;28.5;Röthlisberger Simon;**;5;57.0;2;29.5;-4;1.0;8.75
+;7;37.25;Lerch Jimmy;*;18;53.75;9;36.75;2;-0.5;10.0
+;6;47.25;Wittwer Jan;*;11;55.5;7;47.0;1;-0.25;10.0

4c;Arnold Stefan;**;;;;;;;;;57.25
-;;;Guisolan Marc;**;;;;;;;8.75
+;4;8.75;Lerch Jimmy;*;18;53.75;5;8.5;1;-0.25;10.0
+;5;18.75;Gobeli Patrick;*;10;55.75;5;18.75;0;0.0;10.0
-;5;28.75;Glarner Matthias;***;6;56.75;4;29.0;-1;0.25;8.75
+;6;37.5;Gehrig Philipp;**;8;56.25;4;38.0;-2;0.5;9.75
+;6;47.25;Steffen Gustav;*;11;55.5;7;47.0;1;-0.25;10.0

5a;Röthlisberger Simon;**;;;;;;;;;57.0
+;;;Emonet Frédéric;*;;;;;;;9.75
+;2;9.75;Gassmann Simon;*;19;53.5;2;9.75;0;0.0;10.0
+;2;19.75;Piemontesi Pascal;**;15;54.5;5;18.75;3;-1.0;9.75
-;2;29.5;Müllestein Mike;***;4;57.25;6;28.5;4;-1.0;8.75
-;3;38.25;Gloggner Philipp;***;23;46.75;4;38.0;1;-0.25;8.75
+;7;47.0;Michel Jonas;*;25;45.5;13;45.5;6;-1.5;10.0

5b;Bieri Marcel;**;;;;;;;;;57.0
+;;;Reusser Philipp;***;;;;;;;10.0
+;1;10.0;Fankhauser Kurt;**;13;55.0;1;10.0;0;0.0;9.75
o;2;19.75;Wenger Kilian;***;2;58.25;2;19.75;0;0.0;8.5
+;7;28.25;von Büren Stephan;*;28;36.75;7;28.25;0;0.0;10.0
+;3;38.25;Steffen Gustav;*;11;55.5;2;38.5;-1;0.25;10.0
-;3;48.25;Kämpf Bernhard;***;5;57.0;4;48.0;1;-0.25;8.75

5c;Nötzli Reto;***;;;;;;;;;57.0
-;;;Käser Remo;***;;;;;;;8.75
+;4;8.75;Schenkel Remo;*;15;54.5;2;9.75;-2;1.0;9.75
+;6;18.5;Aellen Florian;*;13;55.0;7;18.25;1;-0.25;10.0
-;6;28.5;Gehrig Philipp;**;8;56.25;3;29.25;-3;0.75;9.0
+;6;37.5;Sommer Roman;*;16;54.25;7;37.25;1;-0.25;9.75
+;6;47.25;Roth Philipp;***;12;55.25;8;46.75;2;-0.5;9.75

5d;Kämpf Bernhard;***;;;;;;;;;57.0
o;;;von Ah Benji;***;;;;;;;8.5
+;5;8.5;Buchs Carlo;*;36;25.5;5;8.5;0;0.0;10.0
+;6;18.5;Odermatt Christian;**;11;55.5;6;18.5;0;0.0;9.75
+;7;28.25;Kramer Lario;**;10;55.75;6;28.5;-1;0.25;9.75
+;4;38.0;Arnold Raphael;*;13;55.0;4;38.0;0;0.0;10.0
-;4;48.0;Bieri Marcel;**;5;57.0;3;48.25;-1;0.25;9.0

5e;von Weissenfluh Kilian;*;;;;;;;;;57.0
+;;;Dousse Michel;**;;;;;;;10.0
o;1;10.0;Müllestein Mike;***;4;57.25;2;9.75;1;-0.25;8.5
+;6;18.5;Mollet Ivan;*;17;54.0;11;17.0;5;-1.5;9.75
+;7;28.25;Dind Samuel;**;16;54.25;10;27.25;3;-1.0;9.75
-;4;38.0;Schuler Alex;***;9;56.0;7;37.25;3;-0.75;9.0
+;7;47.0;Arnold Raphael;*;13;55.0;9;46.5;2;-0.5;10.0

6a;Glarner Matthias;***;;;;;;;;;56.75
+;;;Schurtenberger Sven;***;;;;;;;10.0
+;1;10.0;Borcard Johann;**;13;55.0;2;9.75;1;-0.25;10.0
-;1;20.0;Müllestein Mike;***;4;57.25;2;19.75;1;-0.25;9.0
-;4;29.0;Arnold Stefan;**;4;57.25;5;28.75;1;-0.25;9.0
-;4;38.0;Renfer Lukas;*;10;55.75;7;37.25;3;-0.75;8.75
+;8;46.75;Herger Matthias;**;12;55.25;8;46.75;0;0.0;10.0

6b;von Ah Benji;***;;;;;;;;;56.75
+;;;Kämpf Bernhard;***;;;;;;;10.0
