3580-2017-05-25_Baselstaedtischer_Schwingertag-ST

1a;Alpiger Nick;***;;;;;;;;;59.5
+;;;Notz Beni;***;;;;;;;10.0
+;1;10.0;Kropf Marcel;**;9;56.0;1;10.0;0;0.0;10.0
+;1;20.0;Lisser Daniel;*;16;54.25;8;17.5;7;-2.5;9.75
+;2;29.75;Erb Roger;**;5;57.0;5;28.75;3;-1.0;9.75
+;2;39.5;Blatter Lorenz;**;8;56.25;4;38.75;2;-0.75;10.0
+;1;49.5;Gisler Bruno;***;3;57.5;2;48.75;1;-0.75;10.0

2a;Bieri Christoph;***;;;;;;;;;58.0
+;;;Horner Peter;***;;;;;;;9.75
+;2;9.75;Brand Christian;**;14;54.75;4;8.75;2;-1.0;9.75
+;3;19.5;Thoenen Henryc;**;6;56.75;2;19.75;-1;0.25;9.75
+;3;29.25;Hauri Urs;**;11;55.5;6;28.5;3;-0.75;10.0
-;3;39.25;Leuppi Samir;**;5;57.0;6;38.25;3;-1.0;8.75
+;3;48.0;Döbeli Andreas;*;3;57.5;2;48.75;-1;0.75;10.0

3a;Gisler Bruno;***;;;;;;;;;57.5
+;;;Leuppi Samir;**;;;;;;;10.0
+;1;10.0;Widmer Tobias;**;9;56.0;1;10.0;0;0.0;10.0
+;1;20.0;Klausner Yanick;**;7;56.5;4;19.0;3;-1.0;10.0
+;1;30.0;Vieira Tiago;**;9;56.0;5;28.75;4;-1.25;9.75
-;1;39.75;Thürig Mario;***;4;57.25;4;38.75;3;-1.0;9.0
o;2;48.75;Alpiger Nick;***;1;59.5;1;49.5;-1;0.75;8.75

3b;Döbeli Andreas;*;;;;;;;;;57.5
-;;;Hauri Urs;**;;;;;;;8.75
+;4;8.75;Imobersteg Matthias (2001);;12;55.25;2;9.75;-2;1.0;10.0
+;5;18.75;Notz Beni;***;12;55.25;9;17.25;4;-1.5;10.0
+;5;28.75;Scherrer Johann;**;11;55.5;6;28.5;1;-0.25;10.0
+;4;38.75;Dind Samuel;**;13;55.0;7;38.0;3;-0.75;10.0
o;2;48.75;Bieri Christoph;***;2;58.0;3;48.0;1;-0.75;8.75

4a;Thürig Mario;***;;;;;;;;;57.25
-;;;Gerber Christian;**;;;;;;;8.75
+;4;8.75;Waldner Patrick;**;11;55.5;1;10.0;-3;1.25;10.0
+;5;18.75;Arnold Kornel;*;11;55.5;5;18.75;0;0.0;10.0
+;5;28.75;Borcard Johann;**;6;56.75;6;28.5;1;-0.25;10.0
-;4;38.75;Gisler Bruno;***;3;57.5;1;39.75;-3;1.0;8.75
+;5;47.5;von Arx Christian;*;12;55.25;8;46.75;3;-0.75;9.75

4b;Küng Marco;;;;;;;;;;57.25
+;;;Büttler Adrian (1999);;;;;;;;10.0
-;1;10.0;Moser Matthias;*;14;54.75;5;8.5;4;-1.5;9.0
o;4;19.0;Horner Peter;***;16;54.25;7;18.25;3;-0.75;8.5
+;10;27.5;Nussbaumer Dominik;;18;53.75;12;27.0;2;-0.5;10.0
+;9;37.5;Lisser Daniel;*;16;54.25;15;36.0;6;-1.5;10.0
+;5;47.5;Nussbaumer Gabriel;;12;55.25;9;46.5;4;-1.0;9.75

5a;Erb Roger;**;;;;;;;;;57.0
+;;;Schaffner Samuel;**;;;;;;;9.75
-;2;9.75;Notz Beni;***;12;55.25;5;8.5;3;-1.25;9.0
+;5;18.75;Furrer Mathias;;13;55.0;6;18.5;1;-0.25;10.0
o;5;28.75;Alpiger Nick;***;1;59.5;2;29.75;-3;1.0;8.5
+;10;37.25;Burren Patrick (1999);;15;54.5;10;37.25;0;0.0;10.0
+;6;47.25;Vieira Tiago;**;9;56.0;5;47.5;-1;0.25;9.75

5b;Mangold Michael;;;;;;;;;;57.0
+;;;Imobersteg Tobias;;;;;;;;10.0
+;1;10.0;Lisser Daniel;*;16;54.25;3;9.0;2;-1.0;10.0
o;1;20.0;Leuppi Samir;**;5;57.0;7;18.25;6;-1.75;8.5
+;6;28.5;Schmutz Adrian;*;12;55.25;11;27.25;5;-1.25;10.0
