3002-2018-08-12_Bernisch-Kantonales_Schwingfest-ST

1a;Röthlisberger Simon;**;;;;;;;;;110.75
+;;;Kämpf Lorenz;*;;;;;;;10.0
-;2;10.0;Inniger Thomas;**;14;55.0;2;10.0;0;0.0;9.0
-;5;19.0;Fankhauser Marco;**;14;55.0;10;17.5;5;-1.5;8.75
-;7;27.75;Mösching Andy;*;21;53.25;9;27.25;2;-0.5;8.75
+;12;36.5;Waeber Marco;;17;54.25;10;37.0;-2;0.5;10.0
o;11;46.5;Orlik Curdin;**;6;57.0;8;47.25;-3;0.75;8.5

14g;Fankhauser Reto;*;;;;;;;;;55.0
-;;;Blaser Jan;*;;;;;;;8.75
-;5;8.75;Zosso Remo;**;21;53.25;6;8.5;1;-0.25;8.75
+;10;17.5;Fankhauser Thomas;*;30;35.0;10;17.5;0;0.0;10.0
-;8;27.5;Kämpf Alexander;**;15;54.75;8;27.5;0;0.0;8.75
+;13;36.25;Beer Peter;;14;55.0;12;36.5;-1;0.25;9.75
-;13;46.0;von Weissenﬂuh Kilian;**;11;55.75;10;46.75;-3;0.75;9.0

14h;Fankhauser Marco;**;;;;;;;;;55.0
-;;;Sempach Thomas;***;;;;;;;8.75
-;5;8.75;Sommer Roman;*;11;55.75;2;10.0;-3;1.25;8.75
+;10;17.5;Tschumi Lukas (2001);*;19;53.75;7;18.5;-3;1.0;10.0
-;8;27.5;Locher Alfred;*;14;55.0;7;27.75;-1;0.25;9.0
+;12;36.5;Walther Adrian (2001);*;17;54.25;15;35.75;3;-0.75;9.75
-;12;46.25;Gehrig Damian;***;15;54.75;13;46.0;1;-0.25;8.75

14i;Inniger Thomas;**;;;;;;;;;55.0
+;;;Rolli Martin;**;;;;;;;10.0
-;2;10.0;Locher Alfred;*;14;55.0;2;10.0;0;0.0;9.0
-;5;19.0;Zangger Dominik;*;14;55.0;6;18.75;1;-0.25;9.0
o;6;28.0;Studer Stefan;**;11;55.75;7;27.75;1;-0.25;8.5
+;12;36.5;Salzmann Simon;*;23;52.75;15;35.75;3;-0.75;10.0
o;11;46.5;von Büren Stephan;*;8;56.5;10;46.75;-1;0.25;8.5

14j;Steffen Konrad;*;;;;;;;;;55.0
+;;;Bütikofer Lukas;*;;;;;;;9.75
-;3;9.75;Leuenberger Michael;*;12;55.5;2;10.0;-1;0.25;9.0
-;6;18.75;Kämpf Alexander;**;15;54.75;6;18.75;0;0.0;8.75
+;8;27.5;De Fusco Dario;*;22;53.0;9;27.25;1;-0.25;10.0
-;8;37.5;Studer Stefan;**;11;55.75;7;37.75;-1;0.25;9.0
o;11;46.5;Renfer Lukas;**;5;57.25;8;47.25;-3;0.75;8.5

15a;Kämpf Alexander;**;;;;;;;;;54.75
-;;;Michel Jonas;*;;;;;;;8.75
+;5;8.75;Gerber Christoph;;23;52.75;2;10.0;-3;1.25;10.0
-;6;18.75;Steffen Konrad;*;14;55.0;6;18.75;0;0.0;8.75
-;8;27.5;Fankhauser Reto;*;14;55.0;8;27.5;0;0.0;8.75
+;13;36.25;Ramseier Fritz;**;12;55.5;9;37.25;-4;1.0;9.75
-;13;46.0;Moser Michael;**;13;55.25;11;46.5;-2;0.5;8.75

15b;Blaser Roman;*;;;;;;;;;54.75
-;;;Steudler Kevin (2001);*;;;;;;;8.75
+;5;8.75;Brönnimann Christian;;31;34.75;4;9.0;-1;0.25;9.75
-;7;18.5;Nötzli Reto;***;27;36.0;11;17.25;4;-1.25;8.75
-;9;27.25;Reust Markus;*;17;54.25;9;27.25;0;0.0;8.75
+;14;36.0;Müller Marc;;23;52.75;15;35.75;1;-0.25;10.0
o;13;46.0;Kramer Lario;**;5;57.25;8;47.25;-5;1.25;8.75

15c;Wittwer Jan;*;;;;;;;;;54.75
o;;;Binggeli Dominik;*;;;;;;;8.75
+;5;8.75;Dubler Mike;;32;34.5;5;8.75;0;0.0;9.75
+;7;18.5;Wüthrich Niklaus;**;13;55.25;8;18.25;1;-0.25;10.0
o;4;28.5;Graber Willy;***;7;56.75;5;28.25;1;-0.25;8.75
-;9;37.25;Ramseier Thomas;*;12;55.5;11;36.75;2;-0.5;9.0
o;12;46.25;Gehrig Philipp;**;6;57.0;9;47.0;-3;0.75;8.5

15d;Gehrig Damian;***;;;;;;;;;54.75
o;;;Graber Willy;***;;;;;;;8.75
-;5;8.75;Weyermann Michael;*;10;56.0;2;10.0;-3;1.25;8.75
-;10;17.5;Walther Adrian (2001);*;17;54.25;7;18.5;-3;1.0;8.75
+;13;26.25;Nägeli Daniel;*;18;54.0;10;27.0;-3;0.75;9.75
+;14;36.0;Tschumi Lukas (2001);*;19;53.75;13;36.25;-1;0.25;10.0
-;13;46.0;Fankhauser Marco;**;14;55.0;12;46.25;-1;0.25;8.75

16a;Binggeli Dominik;*;;;;;;;;;54.5
+;;;Wittwer Jan;*;;;;;;;9.75
o;3;9.75;Sempach Thomas;***;4;58.0;5;8.75;2;-1.0;8.5
-;8;18.25;Grossen John;*;17;54.25;10;17.5;2;-0.75;8.75
+;10;27.0;Kappeler Ruedi;;16;54.5;10;27.0;0;0.0;10.0
-;10;37.0;Steffen Valentin;*;16;54.5;10;37.0;0;0.0;9.0
o;13;46.0;Luginbühl Hanspeter;**;9;56.25;12;46.25;-1;0.25;8.5

16b;Hadorn Christian;*;;;;;;;;;54.5
-;;;Joss David;*;;;;;;;9.0
o;4;9.0;Studer Stefan;**;11;55.75;5;8.75;1;-0.25;8.5
o;10;17.5;Vonlanthen Cyril;*;24;52.5;11;17.25;1;-0.25;8.75
+;13;26.25;Siegenthaler Jürg;;29;35.25;11;26.75;-2;0.5;10.0
+;13;36.25;Zangger Dominik;*;14;55.0;13;36.25;0;0.0;9.75
o;13;46.0;Graber Willy;***;7;56.75;9;47.0;-4;1.0;8.5

16c;Gnägi Christian;*;;;;;;;;;54.5
-;;;Tschumi Lukas (2001);*;;;;;;;8.75
-;5;8.75;Röthlisberger Simon;;1;110.75;1;19.0;-4;10.25;8.75
+;10;17.5;Stoll Simon;**;18;54.0;11;17.25;1;-0.25;10.0
+;8;27.5;Walther Adrian (2001);*;17;54.25;9;27.25;1;-0.25;10.0
o;8;37.5;Roschi Ruedi;**;10;56.0;8;37.5;0;0.0;8.5
o;13;46.0;Marti Stefan;**;7;56.75;10;46.75;-3;0.75;8.5

16d;Steffen Valentin;*;;;;;;;;;54.5
+;;;Renfer Lukas;**;;;;;;;10.0
o;2;10.0;Stucki Christian;***;3;58.5;2;10.0;0;0.0;8.5
+;7;18.5;Gerber Christoph;;23;52.75;7;18.5;0;0.0;10.0
o;4;28.5;Marti Stefan;**;7;56.75;4;28.5;0;0.0;8.5
-;10;37.0;Binggeli Dominik;*;16;54.5;10;37.0;0;0.0;9.0
o;13;46.0;Wittwer Josias;*;10;56.0;13;46.0;0;0.0;8.5

16e;Gottofrey Marc;**;;;;;;;;;54.5
o;;;Orlik Curdin;**;;;;;;;8.5
+;6;8.5;Rüegsegger Christian (2001);;30;35.0;4;9.0;-2;0.5;9.75
-;8;18.25;Bütikofer Lukas;*;19;53.75;8;18.25;0;0.0;8.75
+;10;27.0;Bühler Marcel;;23;52.75;9;27.25;-1;0.25;9.75
o;11;36.75;Klossner Adrian;*;11;55.75;11;36.75;0;0.0;8.75
-;15;45.5;Röthlisberger Simon;;1;110.75;1;93.0;-14;47.5;9.0

16f;Biäsch Christian;*;;;;;;;;;54.5
o;;;Wittwer Josias;*;;;;;;;8.5
-;6;8.5;Hadorn Marco;;16;54.5;5;8.75;-1;0.25;8.75
+;11;17.25;Santschi Hans;;33;34.25;11;17.25;0;0.0;10.0
o;9;27.25;Nötzli Reto;***;27;36.0;14;26.0;5;-1.25;8.5
-;15;35.75;Zosso Remo;**;21;53.25;15;35.75;0;0.0;8.75
+;19;44.5;Vonlanthen Cyril;*;24;52.5;21;44.0;2;-0.5;10.0

16g;Hadorn Marco;;;;;;;;;;54.5
-;;;Dummermuth Ueli;;;;;;;;8.75
-;5;8.75;Biäsch Christian;*;16;54.5;6;8.5;1;-0.25;8.75
+;10;17.5;Graf Simon (2001);;30;35.0;10;17.5;0;0.0;9.75
o;9;27.25;Ramseier Fritz;**;12;55.5;8;27.5;-1;0.25;8.5
+;15;35.75;Gerber Christoph;;23;52.75;16;35.5;1;-0.25;10.0
-;14;45.75;Habegger Heinz;**;18;54.0;16;45.25;2;-0.5;8.75

16h;Kappeler Ruedi;;;;;;;;;;54.5
+;;;Gehrig Kilian;;;;;;;;10.0
o;2;10.0;Wyss Kilian;**;11;55.75;5;8.75;3;-1.25;8.5
o;7;18.5;Wiget Michael;*;25;47.0;7;18.5;0;0.0;8.5
o;10;27.0;Binggeli Dominik;*;16;54.5;10;27.0;0;0.0;8.75
+;15;35.75;Steffen Patrick;;23;52.75;16;35.5;1;-0.25;10.0
o;14;45.75;Sommer Roman;*;11;55.75;14;45.75;0;0.0;8.75

16i;Rüegsegger Ueli;;;;;;;;;;54.5
+;;;Santschi Hans;;;;;;;;10.0
-;2;10.0;Zehnder Jürg;*;16;54.5;5;8.75;3;-1.25;8.75
o;6;18.75;Kramer Lario;**;5;57.25;6;18.75;0;0.0;8.5
+;9;27.25;Zosso Remo;**;21;53.25;9;27.25;0;0.0;10.0
o;9;37.25;von Büren Stephan;*;8;56.5;11;36.75;2;-0.5;8.5
o;14;45.75;Jäggi Lukas;*;11;55.75;14;45.75;0;0.0;8.75

16j;Schenk Thomas;*;;;;;;;;;54.5
o;;;Aellen Philipp;*;;;;;;;8.5
o;6;8.5;von Büren Stephan;*;8;56.5;6;8.5;0;0.0;8.75
o;11;17.25;Zosso Remo;**;21;53.25;11;17.25;0;0.0;8.5
+;15;25.75;Dubler Mike;;32;34.5;14;26.0;-1;0.25;10.0
+;15;35.75;Bremgartner Marcel;*;19;53.75;16;35.5;1;-0.25;10.0
-;14;45.75;Schütz Urs;**;17;54.25;15;45.5;1;-0.25;8.75

16k;Zehnder Jürg;*;;;;;;;;;54.5
-;;;Grossen John;*;;;;;;;8.75
-;5;8.75;Rüegsegger Ueli;;16;54.5;2;10.0;-3;1.25;9.0
+;9;17.75;Berger René;**;23;52.75;11;17.25;2;-0.5;9.75
-;8;27.5;Luginbühl Hanspeter;**;9;56.25;8;27.5;0;0.0;8.75
+;13;36.25;Nufer Sämi;;22;53.0;14;36.0;1;-0.25;9.75
o;13;46.0;Bösch Daniel;***;9;56.25;12;46.25;-1;0.25;8.5

17a;Walther Adrian (2001);*;;;;;;;;;54.25
o;;;Schlüchter Colin;*;;;;;;;8.75
+;5;8.75;Ledermann Patrik;;22;53.0;2;10.0;-3;1.25;9.75
-;7;18.5;Gehrig Damian;***;15;54.75;10;17.5;3;-1.0;8.75
o;9;27.25;Gnägi Christian;*;16;54.5;8;27.5;-1;0.25;8.5
o;15;35.75;Fankhauser Marco;**;14;55.0;12;36.5;-3;0.75;8.5
+;20;44.25;Bühler Marcel;;23;52.75;20;44.25;0;0.0;10.0

17b;Rolli Martin;**;;;;;;;;;54.25
o;;;Inniger Thomas;**;;;;;;;8.5
+;6;8.5;Graf Simon (2001);;30;35.0;4;9.0;-2;0.5;10.0
-;7;18.5;Studer Stefan;**;11;55.75;6;18.75;-1;0.25;8.75
o;9;27.25;Wüthrich Niklaus;**;13;55.25;10;27.0;1;-0.25;8.5
+;15;35.75;Neukomm Thierry;;18;54.0;15;35.75;0;0.0;10.0
o;14;45.75;Ramseier Thomas;*;12;55.5;14;45.75;0;0.0;8.5

17c;Waeber Marco;;;;;;;;;;54.25
+;;;Jenzer Janick;;;;;;;;10.0
+;2;10.0;Kämpf Lorenz;*;26;44.25;5;8.75;3;-1.25;10.0
o;2;20.0;Gobeli Patrick;**;6;57.0;3;19.75;1;-0.25;8.5
o;4;28.5;Gerber Christian;**;6;57.0;5;28.25;1;-0.25;8.5
o;10;37.0;Locher Alfred;*;14;55.0;12;36.5;2;-0.5;8.5
-;15;45.5;Wüthrich Bruno (2000);;18;54.0;17;45.0;2;-0.5;8.75

17d;Zahler André;*;;;;;;;;;54.25
o;;;Wiget Michael;*;;;;;;;8.5
+;6;8.5;Kropf Thomas;*;19;53.75;6;8.5;0;0.0;10.0
o;7;18.5;Schwander Severin;*;10;56.0;6;18.75;-1;0.25;8.5
-;10;27.0;Habegger Heinz;**;18;54.0;11;26.75;1;-0.25;8.75
+;15;35.75;Galli Markus;;22;53.0;15;35.75;0;0.0;9.75
-;15;45.5;Schenk Adrian;*;17;54.25;15;45.5;0;0.0;8.75

17e;Reust Markus;*;;;;;;;;;54.25
+;;;Walther Patrick;*;;;;;;;10.0
o;2;10.0;Gerber Christian;**;6;57.0;3;9.75;1;-0.25;8.5
-;7;18.5;De Fusco Dario;*;22;53.0;7;18.5;0;0.0;8.75
-;9;27.25;Blaser Roman;*;15;54.75;9;27.25;0;0.0;8.75
+;14;36.0;Tschan Matthias;;22;53.0;14;36.0;0;0.0;9.75
o;14;45.75;Schlüchter Colin;*;12;55.5;14;45.75;0;0.0;8.5

17f;Schenk Adrian;*;;;;;;;;;54.25
o;;;Wehrli Christian;*;;;;;;;8.5
o;6;8.5;Waber Lorenz;*;18;54.0;6;8.5;0;0.0;8.5
+;12;17.0;Walther Patrick;*;29;35.25;12;17.0;0;0.0;10.0
-;10;27.0;Neukomm Thierry;;18;54.0;10;27.0;0;0.0;8.75
+;15;35.75;Joss David;*;20;53.5;12;36.5;-3;0.75;9.75
-;15;45.5;Zahler André;*;17;54.25;15;45.5;0;0.0;8.75

17g;Grossen John;*;;;;;;;;;54.25
-;;;Zehnder Jürg;*;;;;;;;8.75
-;5;8.75;Gasser Dominik (2000);;17;54.25;2;10.0;-3;1.25;8.75
-;10;17.5;Binggeli Dominik;*;16;54.5;8;18.25;-2;0.75;8.75
+;13;26.25;Willimann Stefan;;29;35.25;11;26.75;-2;0.5;9.75
+;14;36.0;Berger René;**;23;52.75;16;35.5;2;-0.5;9.75
o;14;45.75;Schenk Patrick;***;11;55.75;14;45.75;0;0.0;8.5

17h;Schütz Urs;**;;;;;;;;;54.25
o;;;Weyermann Michael;*;;;;;;;8.75
+;5;8.75;Galli Markus;;22;53.0;5;8.75;0;0.0;9.75
-;7;18.5;Ramseier Fritz;**;12;55.5;6;18.75;-1;0.25;8.75
o;9;27.25;Wyss Kilian;**;11;55.75;9;27.25;0;0.0;8.5
+;15;35.75;Blatter Remo (2000);;18;54.0;15;35.75;0;0.0;9.75
-;15;45.5;Schenk Thomas;*;16;54.5;14;45.75;-1;0.25;8.75

17i;Gasser Dominik (2000);;;;;;;;;;54.25
+;;;Reichen Stefan;;;;;;;;10.0
-;2;10.0;Grossen John;*;17;54.25;5;8.75;3;-1.25;8.75
-;6;18.75;Luginbühl Hanspeter;**;9;56.25;6;18.75;0;0.0;8.75
o;8;27.5;Wittwer Josias;*;10;56.0;9;27.25;1;-0.25;8.5
+;14;36.0;Schletti Andreas;*;18;54.0;11;36.75;-3;0.75;9.75
o;14;45.75;Leuenberger Michael;*;12;55.5;14;45.75;0;0.0;8.5

18a;Schletti Andreas;*;;;;;;;;;54.0
o;;;Moser Michael;**;;;;;;;8.5
+;6;8.5;Eggimann Marco;;32;34.5;5;8.75;-1;0.25;10.0
o;7;18.5;Mathys Simon;**;6;57.0;7;18.5;0;0.0;8.5
+;10;27.0;Burger Matthieu (2001);*;19;53.75;10;27.0;0;0.0;9.75
o;11;36.75;Gasser Dominik (2000);;17;54.25;14;36.0;3;-0.75;8.5
-;16;45.25;Urfer Simon;*;20;53.5;18;44.75;2;-0.5;8.75

18b;Nägeli Daniel;*;;;;;;;;;54.0
-;;;Urfer Simon;*;;;;;;;8.75
o;5;8.75;Gäggeler Adrian;*;12;55.5;5;8.75;0;0.0;8.5
+;11;17.25;Graber Bänz;;33;34.25;11;17.25;0;0.0;9.75
o;10;27.0;Gehrig Damian;***;15;54.75;13;26.25;3;-0.75;8.5
+;16;35.5;Stucki Marcel (2000);*;18;54.0;15;35.75;-1;0.25;9.75
-;16;45.25;Tschumi Lukas (2001);*;19;53.75;17;45.0;1;-0.25;8.75

18c;Pulfer Thomas;*;;;;;;;;;54.0
o;;;Ramseier Thomas;*;;;;;;;8.5
+;6;8.5;Beer Peter;;14;55.0;3;9.75;-3;1.25;10.0
o;7;18.5;Bösch Daniel;***;9;56.25;10;17.5;3;-1.0;8.5
+;10;27.0;Gerber Christoph;;23;52.75;10;27.0;0;0.0;10.0
o;10;37.0;Roth Philipp;***;13;55.25;11;36.75;1;-0.25;8.5
o;15;45.5;Michel Jonas;*;14;55.0;16;45.25;1;-0.25;8.5

18d;Graber Alfred;*;;;;;;;;;54.0
-;;;Gehrig Philipp;**;;;;;;;8.75
+;5;8.75;Gnägi Damian;;32;34.5;5;8.75;0;0.0;9.75
o;7;18.5;Röthlisberger Simon;**;1;110.75;1;37.75;-6;19.25;8.5
+;10;27.0;Bütikofer Lukas;*;19;53.75;10;27.0;0;0.0;9.75
o;11;36.75;von Weissenﬂuh Kilian;**;11;55.75;10;37.0;-1;0.25;8.5
-;16;45.25;Reichen Stefan;;18;54.0;16;45.25;0;0.0;8.75

18e;Waber Lorenz;*;;;;;;;;;54.0
o;;;Steffen Gustav;*;;;;;;;8.5
+;6;8.5;Schenk Adrian;*;17;54.25;6;8.5;0;0.0;10.0
o;7;18.5;Gehrig Philipp;**;6;57.0;7;18.5;0;0.0;8.5
o;10;27.0;Thomet Adrian;**;13;55.25;10;27.0;0;0.0;8.5
+;16;35.5;Kestenholz Christian;;23;52.75;16;35.5;0;0.0;10.0
o;15;45.5;Gäggeler Adrian;*;12;55.5;14;45.75;-1;0.25;8.5

18f;Blatter Remo (2000);;;;;;;;;;54.0
+;;;Siegenthaler Jürg;;;;;;;;9.75
-;3;9.75;Salzmann Simon;*;23;52.75;6;8.5;3;-1.25;8.75
-;7;18.5;Schlüchter Colin;*;12;55.5;8;18.25;1;-0.25;8.75
o;9;27.25;Röthlisberger Simon;;1;110.75;1;56.0;-8;28.75;8.5
o;15;35.75;Schütz Urs;**;17;54.25;15;35.75;0;0.0;8.5
+;20;44.25;Müller Marc;;23;52.75;20;44.25;0;0.0;9.75

18g;Stucki Marcel (2000);*;;;;;;;;;54.0
-;;;Berger Lorenz;*;;;;;;;8.75
-;5;8.75;Joss David;*;20;53.5;4;9.0;-1;0.25;8.75
+;10;17.5;Kämpf Marcel;*;31;34.75;10;17.5;0;0.0;9.75
o;9;27.25;Jäggi Lukas;*;11;55.75;9;27.25;0;0.0;8.5
o;15;35.75;Nägeli Daniel;*;18;54.0;16;35.5;1;-0.25;8.5
+;20;44.25;Ducry Antoine;**;22;53.0;20;44.25;0;0.0;9.75

18h;Reichen Stefan;;;;;;;;;;54.0
o;;;Gasser Dominik (2000);;;;;;;;8.5
+;6;8.5;Siegenthaler Jürg;;29;35.25;6;8.5;0;0.0;9.75
o;8;18.25;Marti Stefan;**;7;56.75;6;18.75;-2;0.5;8.75
+;10;27.0;Kestenholz Christian;;23;52.75;10;27.0;0;0.0;9.75
o;11;36.75;Gehrig Philipp;**;6;57.0;10;37.0;-1;0.25;8.5
-;16;45.25;Graber Alfred;*;18;54.0;16;45.25;0;0.0;8.75

18i;Wüthrich Bruno (2000);;;;;;;;;;54.0
+;;;Röthlisberger Florian;;;;;;;;9.75
o;3;9.75;Bütikofer Lukas;*;19;53.75;6;8.5;3;-1.25;8.5
+;8;18.25;Bremgartner Marcel;*;19;53.75;11;17.25;3;-1.0;9.75
o;6;28.0;Leuenberger Michael;*;12;55.5;8;27.5;2;-0.5;8.5
o;12;36.5;Weyermann Michael;*;10;56.0;9;37.25;-3;0.75;8.5
-;17;45.0;Waeber Marco;;17;54.25;15;45.5;-2;0.5;9.0

18j;Neukomm Thierry;;;;;;;;;;54.0
o;;;Ledermann Patrik;;;;;;;;8.5
+;6;8.5;Röthlisberger Florian;;33;34.25;6;8.5;0;0.0;9.75
o;8;18.25;Moser Michael;**;13;55.25;8;18.25;0;0.0;8.75
-;10;27.0;Schenk Adrian;*;17;54.25;10;27.0;0;0.0;8.75
o;15;35.75;Rolli Martin;**;17;54.25;15;35.75;0;0.0;8.5
+;20;44.25;Tschan Matthias;;22;53.0;19;44.5;-1;0.25;9.75

18k;Stoll Simon;**;;;;;;;;;54.0
o;;;Gerber Christian;**;;;;;;;8.5
-;6;8.5;Urfer Simon;*;20;53.5;5;8.75;-1;0.25;8.75
o;11;17.25;Gnägi Christian;*;16;54.5;10;17.5;-1;0.25;8.5
+;15;25.75;Grossenbacher Roger;;34;34.0;16;25.5;1;-0.25;10.0
+;15;35.75;Ducry Antoine;**;22;53.0;15;35.75;0;0.0;9.75
o;15;45.5;Wüthrich Philip;*;11;55.75;14;45.75;-1;0.25;8.5

18l;Habegger Heinz;**;;;;;;;;;54.0
+;;;von Büren Stephan;*;;;;;;;9.75
o;3;9.75;Käser Remo;***;5;57.25;5;8.75;2;-1.0;8.5
o;8;18.25;Klossner Adrian;*;11;55.75;8;18.25;0;0.0;8.5
-;11;26.75;Zahler André;*;17;54.25;10;27.0;-1;0.25;8.75
+;16;35.5;Vonlanthen Cyril;*;24;52.5;16;35.5;0;0.0;9.75
-;16;45.25;Hadorn Marco;;16;54.5;14;45.75;-2;0.5;8.75

19a;Tschumi Lukas (2001);*;;;;;;;;;53.75
-;;;Gnägi Christian;*;;;;;;;8.75
+;5;8.75;Nufer Sämi;;22;53.0;5;8.75;0;0.0;9.75
o;7;18.5;Fankhauser Marco;**;14;55.0;10;17.5;3;-1.0;8.75
-;9;27.25;Schlüchter Colin;*;12;55.5;10;27.0;1;-0.25;9.0
o;13;36.25;Gehrig Damian;***;15;54.75;14;36.0;1;-0.25;8.75
-;17;45.0;Nägeli Daniel;*;18;54.0;16;45.25;-1;0.25;8.75

19b;Bremgartner Marcel;*;;;;;;;;;53.75
-;;;Mösching Andy;*;;;;;;;8.75
o;5;8.75;Roschi Ruedi;**;10;56.0;4;9.0;-1;0.25;8.5
o;11;17.25;Wüthrich Bruno (2000);;18;54.0;8;18.25;-3;1.0;8.5
+;15;25.75;Gnägi Damian;;32;34.5;14;26.0;-1;0.25;9.75
o;16;35.5;Schenk Thomas;*;16;54.5;15;35.75;-1;0.25;8.5
+;21;44.0;Salzmann Simon;*;23;52.75;20;44.25;-1;0.25;9.75

19c;Burger Matthieu (2001);*;;;;;;;;;53.75
-;;;Fankhauser Thomas;*;;;;;;;8.75
o;5;8.75;Röthlisberger Simon;**;1;110.75;1;19.0;-4;10.25;8.5
+;11;17.25;Rüegsegger Christian (2001);;30;35.0;9;17.75;-2;0.5;9.75
o;10;27.0;Schletti Andreas;*;18;54.0;10;27.0;0;0.0;8.5
o;16;35.5;Bütikofer Lukas;*;19;53.75;16;35.5;0;0.0;8.5
+;21;44.0;Nufer Sämi;;22;53.0;19;44.5;-2;0.5;9.75

19d;Bütikofer Lukas;*;;;;;;;;;53.75
o;;;Steffen Konrad;*;;;;;;;8.5
+;6;8.5;Wüthrich Bruno (2000);;18;54.0;3;9.75;-3;1.25;9.75
-;8;18.25;Gottofrey Marc;**;16;54.5;8;18.25;0;0.0;8.75
o;10;27.0;Graber Alfred;*;18;54.0;10;27.0;0;0.0;8.5
+;16;35.5;Burger Matthieu (2001);*;19;53.75;16;35.5;0;0.0;9.75
o;16;45.25;Ramseier Fritz;**;12;55.5;14;45.75;-2;0.5;8.5

19e;Kropf Thomas;*;;;;;;;;;53.75
o;;;Marti Stefan;**;;;;;;;8.5
o;6;8.5;Zahler André;*;17;54.25;6;8.5;0;0.0;8.5
+;12;17.0;Nufer Sämi;;22;53.0;10;17.5;-2;0.5;9.75
+;11;26.75;Steudler Kevin (2001);*;28;35.5;10;27.0;-1;0.25;10.0
o;11;36.75;Schwander Severin;*;10;56.0;10;37.0;-1;0.25;8.5
o;16;45.25;Thomet Adrian;**;13;55.25;16;45.25;0;0.0;8.5

20a;Urfer Simon;*;;;;;;;;;53.5
-;;;Nägeli Daniel;*;;;;;;;8.75
-;5;8.75;Stoll Simon;**;18;54.0;6;8.5;1;-0.25;8.75
-;10;17.5;Michel Jonas;*;14;55.0;10;17.5;0;0.0;8.75
+;13;26.25;Röthlisberger Florian;;33;34.25;15;25.75;2;-0.5;9.75
-;14;36.0;Wehrli Christian;*;13;55.25;12;36.5;-2;0.5;8.75
-;18;44.75;Schletti Andreas;*;18;54.0;16;45.25;-2;0.5;8.75

20b;Joss David;*;;;;;;;;;53.5
-;;;Hadorn Christian;*;;;;;;;9.0
-;4;9.0;Stucki Marcel (2000);*;18;54.0;5;8.75;1;-0.25;8.75
-;9;17.75;Gerber Thomas;*;21;53.25;10;17.5;1;-0.25;9.0
+;11;26.75;Steffen Patrick;;23;52.75;10;27.0;-1;0.25;9.75
o;12;36.5;Schenk Adrian;*;17;54.25;15;35.75;3;-0.75;8.5
o;17;45.0;Aellen Philipp;*;14;55.0;16;45.25;-1;0.25;8.5

21a;Dummermuth Ueli;;;;;;;;;;53.25
-;;;Hadorn Marco;;;;;;;;8.75
-;5;8.75;Aebi Roger;;30;35.0;5;8.75;0;0.0;8.75
-;10;17.5;Ducry Antoine;**;22;53.0;12;17.0;2;-0.5;8.75
+;13;26.25;Brönnimann Christian;;31;34.75;13;26.25;0;0.0;10.0
o;13;36.25;Luginbühl Hanspeter;**;9;56.25;13;36.25;0;0.0;8.5
o;18;44.75;Zangger Dominik;*;14;55.0;17;45.0;-1;0.25;8.5

21b;Zosso Remo;**;;;;;;;;;53.25
o;;;Leuenberger Michael;*;;;;;;;8.5
-;6;8.5;Fankhauser Reto;*;14;55.0;5;8.75;-1;0.25;8.75
+;11;17.25;Schenk Thomas;*;16;54.5;11;17.25;0;0.0;10.0
o;9;27.25;Rüegsegger Ueli;;16;54.5;9;27.25;0;0.0;8.5
-;15;35.75;Biäsch Christian;*;16;54.5;15;35.75;0;0.0;8.75
-;19;44.5;Berger René;**;23;52.75;21;44.0;2;-0.5;8.75

21c;Mösching Andy;*;;;;;;;;;53.25
-;;;Bremgartner Marcel;*;;;;;;;8.75
+;5;8.75;Wicki Nicolas;;30;35.0;5;8.75;0;0.0;10.0
o;6;18.75;Aeschbacher Matthias;**;4;58.0;7;18.5;1;-0.25;8.5
-;9;27.25;Locher Alfred;*;14;55.0;7;27.75;-2;0.5;8.75
o;14;36.0;Schenk Patrick;***;11;55.75;15;35.75;1;-0.25;8.5
-;19;44.5;Galli Markus;;22;53.0;20;44.25;1;-0.25;8.75

21d;Gerber Thomas;*;;;;;;;;;53.25
-;;;Zangger Dominik;*;;;;;;;8.75
-;5;8.75;Kämpf Marcel;*;31;34.75;5;8.75;0;0.0;8.75
-;10;17.5;Joss David;*;20;53.5;9;17.75;-1;0.25;8.75
+;13;26.25;Heim Michael (2001);;32;34.5;14;26.0;1;-0.25;10.0
o;13;36.25;Bösch Daniel;***;9;56.25;13;36.25;0;0.0;8.5
o;18;44.75;Beer Peter;;14;55.0;16;45.25;-2;0.5;8.5

22a;Galli Markus;;;;;;;;;;53.0
-;;;Gnägi Damian;;;;;;;;8.75
o;5;8.75;Schütz Urs;**;17;54.25;5;8.75;0;0.0;8.5
+;11;17.25;Klossner Sven;;33;34.25;11;17.25;0;0.0;10.0
-;9;27.25;Vonlanthen Cyril;*;24;52.5;10;27.0;1;-0.25;8.5
o;15;35.75;Zahler André;*;17;54.25;15;35.75;0;0.0;8.5
-;20;44.25;Mösching Andy;*;21;53.25;19;44.5;-1;0.25;8.75

22b;Nufer Sämi;;;;;;;;;;53.0
-;;;Aebi Roger;;;;;;;;8.75
o;5;8.75;Tschumi Lukas (2001);*;19;53.75;5;8.75;0;0.0;8.75
o;10;17.5;Kropf Thomas;*;19;53.75;12;17.0;2;-0.5;8.5
