3002-2018-08-12_Bernisch-Kantonales_Schwingfest-ST

1a;Röthlisberger Simon;**;;;;;;;;;110.75
+;3;28.75;Wehrli Christian;*;13;55.25;6;28.0;3;-0.75;9.75
o;4;38.5;Sempach Thomas;***;4;58.0;4;38.5;0;0.0;8.75
+;8;47.25;Steffen Konrad;*;14;55.0;11;46.5;3;-0.75;10.0

6a;Gobeli Patrick;**;;;;;;;;;57.0
+;;;Wyss Kilian;**;;;;;;;10.0
+;2;10.0;Nötzli Reto;***;27;36.0;6;8.5;4;-1.5;9.75
+;3;19.75;Waeber Marco;;17;54.25;2;20.0;-1;0.25;10.0
-;2;29.75;Alpiger Nick;***;5;57.25;4;28.5;2;-1.25;9.0
o;3;38.75;Aeschbacher Matthias;**;4;58.0;4;38.5;1;-0.25;8.5
+;8;47.25;Weyermann Michael;*;10;56.0;8;47.25;0;0.0;9.75

6b;Mathys Simon;**;;;;;;;;;57.0
-;;;Schenk Patrick;***;;;;;;;8.75
+;5;8.75;Ducry Antoine;**;22;53.0;6;8.5;1;-0.25;9.75
+;7;18.5;Schletti Andreas;*;18;54.0;7;18.5;0;0.0;9.75
+;5;28.25;Ramseier Thomas;*;12;55.5;5;28.25;0;0.0;10.0
o;5;38.25;Anderegg Simon;***;10;56.0;7;37.75;2;-0.5;8.75
+;9;47.0;Wyss Kilian;**;11;55.75;9;47.0;0;0.0;10.0

6c;Orlik Curdin;**;;;;;;;;;57.0
+;;;Gottofrey Marc;**;;;;;;;10.0
+;2;10.0;Wüthrich Philip;*;11;55.75;2;10.0;0;0.0;10.0
-;2;20.0;Staudenmann Fabian (2000);**;9;56.25;2;20.0;0;0.0;8.75
+;3;28.75;von Büren Stephan;*;8;56.5;5;28.25;2;-0.5;10.0
o;3;38.75;Stucki Christian;***;3;58.5;3;38.75;0;0.0;8.5
+;8;47.25;Locher Alfred;*;14;55.0;11;46.5;3;-0.75;9.75

6d;Gerber Christian;**;;;;;;;;;57.0
+;;;Stoll Simon;**;;;;;;;9.75
+;3;9.75;Reust Markus;*;17;54.25;2;10.0;-1;0.25;10.0
o;3;19.75;Wenger Kilian;***;2;58.75;2;20.0;-1;0.25;8.5
+;5;28.25;Waeber Marco;;17;54.25;4;28.5;-1;0.25;10.0
-;5;38.25;Leuppi Samir;**;11;55.75;6;38.0;1;-0.25;9.0
+;8;47.25;Schenkel Remo;*;14;55.0;11;46.5;3;-0.75;9.75

6e;Gehrig Philipp;**;;;;;;;;;57.0
-;;;Graber Alfred;*;;;;;;;8.75
+;5;8.75;Tschan Matthias;;22;53.0;2;10.0;-3;1.25;9.75
+;7;18.5;Waber Lorenz;*;18;54.0;7;18.5;0;0.0;9.75
-;5;28.25;Bösch Daniel;***;9;56.25;8;27.5;3;-0.75;8.75
+;10;37.0;Reichen Stefan;;18;54.0;11;36.75;1;-0.25;10.0
+;9;47.0;Wittwer Jan;*;15;54.75;12;46.25;3;-0.75;10.0

7a;Graber Willy;***;;;;;;;;;56.75
+;;;Gehrig Damian;***;;;;;;;9.75
+;3;9.75;Wittwer Josias;*;10;56.0;2;10.0;-1;0.25;9.75
-;4;19.5;Steffen Gustav;*;8;56.5;4;19.5;0;0.0;8.75
+;5;28.25;Wittwer Jan;*;15;54.75;4;28.5;-1;0.25;10.0
o;5;38.25;Käser Remo;***;5;57.25;3;38.75;-2;0.5;8.75
