2753-2015-08-23_Bernisch-Kantonales_Schwingfest-ST

1a;Stucki Christian;***;;;;;;;;;59.75
+;;;Imhof Andi;***;;;;;;;9.75
+;2;9.75;Zenger Niklaus;***;12;55.25;1;10.0;-1;0.25;10.0
+;2;19.75;Mathys Simon;*;12;55.25;2;19.75;0;0.0;10.0
+;1;29.75;Schuler Christian;***;5;57.0;3;28.75;2;-1.0;10.0
+;1;39.75;Schenkel Remo;*;11;55.5;4;38.5;3;-1.25;10.0
+;1;49.75;Siegenthaler Matthias;***;4;57.25;2;48.5;1;-1.25;10.0

2a;Sempach Thomas;***;;;;;;;;;58.0
+;;;Zwyssig Raphael;***;;;;;;;9.75
+;2;9.75;Stalder Remo;***;7;56.5;1;10.0;-1;0.25;9.75
+;3;19.5;Weyermann Florian;*;11;55.5;2;19.75;-1;0.25;10.0
+;2;29.5;Bloch Dominic;**;6;56.75;4;28.5;2;-1.0;9.75
-;2;39.25;Lengacher Jonas;**;3;57.5;3;38.75;1;-0.5;8.75
+;3;48.0;Binggeli Dominik;*;10;55.75;6;47.25;3;-0.75;10.0

3a;Lengacher Jonas;**;;;;;;;;;57.5
+;;;Dind Samuel;**;;;;;;;10.0
-;1;10.0;Bieri Christoph;***;4;57.25;4;8.75;3;-1.25;8.75
+;5;18.75;Gnägi Christian;*;24;35.75;5;18.75;0;0.0;10.0
+;3;28.75;Dumelin David;*;13;55.0;5;28.25;2;-0.5;10.0
-;3;38.75;Sempach Thomas;***;2;58.0;2;39.25;-1;0.5;8.75
+;5;47.5;Blaser Roman;*;12;55.25;8;46.75;3;-0.75;10.0

4a;Gnägi Florian;***;;;;;;;;;57.25
-;;;Siegenthaler Matthias;***;;;;;;;8.75
+;4;8.75;Roschi Ruedi;**;11;55.5;1;10.0;-3;1.25;9.75
+;6;18.5;Zürcher Remo;*;16;54.25;5;18.75;-1;0.25;10.0
-;4;28.5;Aeschbacher Matthias;**;8;56.25;3;28.75;-1;0.25;8.75
+;9;37.25;Schenk Patrick;**;14;54.75;9;37.25;0;0.0;10.0
+;6;47.25;Schenkel Adrian;**;10;55.75;7;47.0;1;-0.25;10.0

4b;Bieri Christoph;***;;;;;;;;;57.25
-;;;Kämpf Bernhard;***;;;;;;;8.75
-;4;8.75;Lengacher Jonas;**;3;57.5;1;10.0;-3;1.25;8.75
+;8;17.5;Leuenberger Michael 2;**;12;55.25;6;18.5;-2;1.0;10.0
+;8;27.5;Schenkel Adrian;**;10;55.75;4;28.5;-4;1.0;9.75
+;9;37.25;Wickli Beat;**;9;56.0;7;37.75;-2;0.5;10.0
+;6;47.25;Reust Markus;*;12;55.25;8;46.75;2;-0.5;10.0

4c;Siegenthaler Matthias;***;;;;;;;;;57.25
-;;;Gnägi Florian;***;;;;;;;8.75
+;4;8.75;Schmid Reto;**;15;54.5;1;10.0;-3;1.25;10.0
+;5;18.75;Kämpf Marcel;*;14;54.75;5;18.75;0;0.0;10.0
+;3;28.75;Stalder Remo;***;7;56.5;5;28.25;2;-0.5;10.0
+;3;38.75;Zenger Niklaus;***;12;55.25;6;38.0;3;-0.75;9.75
o;2;48.5;Stucki Christian;***;1;59.75;1;49.75;-1;1.25;8.75

4d;Zaugg Thomas;***;;;;;;;;;57.25
-;;;Rhyner Michael;**;;;;;;;8.75
+;4;8.75;Wickli Beat;**;9;56.0;2;9.75;-2;1.0;10.0
+;5;18.75;Leuenberger Michael 1;*;13;55.0;4;19.0;-1;0.25;10.0
-;3;28.75;Anderegg Simon;***;7;56.5;3;28.75;0;0.0;8.75
+;8;37.5;Renfer Lukas;*;13;55.0;6;38.0;-2;0.5;9.75
+;6;47.25;Roschi Ruedi;**;11;55.5;7;47.0;1;-0.25;10.0

5a;Käser Remo;**;;;;;;;;;57.0
o;;;Stalder Remo;***;;;;;;;8.5
+;5;8.5;Zimmermann Matthias;*;17;54.0;2;9.75;-3;1.25;9.75
+;7;18.25;Zbinden Reto;*;15;54.5;8;17.5;1;-0.75;10.0
-;5;28.25;Gerber Christian;**;9;56.0;5;28.25;0;0.0;9.0
+;9;37.25;Pulfer Thomas;*;16;54.25;9;37.25;0;0.0;9.75
+;7;47.0;Ramseier Fritz;*;15;54.5;11;46.0;4;-1.0;10.0

5b;Schuler Christian;***;;;;;;;;;57.0
-;;;Glarner Matthias;***;;;;;;;8.75
+;4;8.75;Roth Philipp;*;11;55.5;2;9.75;-2;1.0;10.0
+;5;18.75;Fankhauser Reto;*;14;54.75;5;18.75;0;0.0;10.0
o;3;28.75;Stucki Christian;***;1;59.75;1;29.75;-2;1.0;8.5
+;9;37.25;Schmid Reto;**;15;54.5;9;37.25;0;0.0;9.75
+;7;47.0;Weyermann Florian;*;11;55.5;7;47.0;0;0.0;10.0

6a;Bloch Dominic;**;;;;;;;;;56.75
o;;;Gerber Christian;**;;;;;;;8.5
+;5;8.5;Steffen Valentin;;28;34.5;4;8.75;-1;0.25;10.0
+;6;18.5;Kämpf Lorenz;*;16;54.25;6;18.5;0;0.0;10.0
o;4;28.5;Sempach Thomas;***;2;58.0;2;29.5;-2;1.0;8.5
+;10;37.0;Kropf Thomas;*;11;55.5;10;37.0;0;0.0;10.0
+;7;47.0;Wälchli Roger;*;12;55.25;8;46.75;1;-0.25;9.75

6b;Luginbühl Hanspeter;**;;;;;;;;;56.75
-;;;Lauper Hansruedi;***;;;;;;;8.75
+;4;8.75;Renfer Lukas;*;13;55.0;2;9.75;-2;1.0;9.75
+;6;18.5;Rhyner Michael;**;11;55.5;6;18.5;0;0.0;10.0
-;4;28.5;Zwyssig Raphael;***;11;55.5;6;28.0;2;-0.5;8.75
+;9;37.25;Zimmermann Matthias;*;17;54.0;10;37.0;1;-0.25;9.75
+;7;47.0;Schlüchter Colin (1997);*;13;55.0;9;46.5;2;-0.5;9.75

6c;Kämpf Bernhard;***;;;;;;;;;56.75
-;;;Bieri Christoph;***;;;;;;;8.75
