4485-2019-07-14_Rigi_Schwinget-ST

1a;von Ah Benji;***;;;;;;;;;58.0
14b;Fankhauser Erich;***;;;;;;;;;54.0
+;;;Notz Beni;***;;;;;;;9.75
o;2;9.75;Räbsamen Marcel;*;21;37.0;1;10.0;-1;0.25;8.5
o;7;18.25;Strebel Joel;**;6;56.25;6;18.5;-1;0.25;8.5
o;11;26.75;Rüegg Fabian;*;9;55.5;9;27.25;-2;0.5;8.75
+;14;35.5;Oettli Silvio;*;13;54.25;10;36.5;-4;1.0;10.0
o;11;45.5;Hess Michael;*;8;55.75;10;45.75;-1;0.25;8.5

14c;Klausner Yanick;**;;;;;;;;;54.0
-;;;Heinzer Stefan;**;;;;;;;8.75
o;4;8.75;Höfliger Andreas;**;15;53.75;5;8.5;1;-0.25;8.5
+;11;17.25;Bürli Roger;**;13;54.25;10;17.5;-1;0.25;10.0
o;9;27.25;Zimmermann Martin;**;5;56.5;8;27.5;-1;0.25;8.5
+;13;35.75;Zürcher Ueli;*;14;54.0;13;35.75;0;0.0;9.75
o;11;45.5;Rohrer Ivan;**;11;54.75;13;44.75;2;-0.75;8.5

14d;Schnurrenberger Roman;**;;;;;;;;;54.0
o;;;Waser Dominik;**;;;;;;;8.75
-;4;8.75;Rohrer Ivan;**;11;54.75;4;8.75;0;0.0;8.75
+;10;17.5;Nietlispach Pascal;**;5;56.5;7;18.25;-3;0.75;10.0
-;8;27.5;Arnold Stefan;**;17;53.25;9;27.25;1;-0.25;9.0
-;10;36.5;Wyrsch Marco;**;12;54.5;13;35.75;3;-0.75;8.75
-;12;45.25;Kenel Franz-Toni;*;16;53.5;13;44.75;1;-0.5;8.75

14e;Zürcher Ueli;*;;;;;;;;;54.0
o;;;Reichmuth Armin;*;;;;;;;8.5
+;5;8.5;Odermatt Adrian (2001);*;17;53.25;4;8.75;-1;0.25;10.0
-;6;18.5;Notz Beni;***;26;34.75;11;17.25;5;-1.25;8.75
o;9;27.25;Nietlispach Pascal;**;5;56.5;11;26.75;2;-0.5;8.5
o;13;35.75;Klausner Yanick;**;14;54.0;13;35.75;0;0.0;8.5
+;15;44.25;Dändliker Shane;**;19;52.75;16;44.0;1;-0.25;9.75

14f;Betschart Patrick;*;;;;;;;;;54.0
+;;;Poltera Andrin;*;;;;;;;10.0
o;1;10.0;Döbeli Andreas;**;8;55.75;4;8.75;3;-1.25;8.5
+;6;18.5;Straub Robin;*;28;34.25;11;17.25;5;-1.25;9.75
o;5;28.25;Leuppi Samir;**;4;56.75;5;28.25;0;0.0;8.5
-;9;36.75;Vogel Remo;**;10;55.0;7;37.25;-2;0.5;8.75
o;11;45.5;Fellmann Roman;**;8;55.75;10;45.75;-1;0.25;8.5

15a;Briker Michael;**;;;;;;;;;53.75
o;;;Roth Martin;**;;;;;;;8.5
+;5;8.5;Poltera Andrin;*;29;34.0;5;8.5;0;0.0;10.0
+;6;18.5;Rhyner Michael;**;26;34.75;10;17.5;4;-1.0;9.75
o;5;28.25;Kuster Marcel;***;6;56.25;7;27.75;2;-0.5;8.5
o;9;36.75;Döbeli Andreas;**;8;55.75;7;37.25;-2;0.5;8.5
o;12;45.25;Hermann Oliver;*;9;55.5;10;45.75;-2;0.5;8.5

15b;Höfliger Andreas;**;;;;;;;;;53.75
o;;;Geisser Lars;**;;;;;;;8.5
+;5;8.5;Klausner Yanick;**;14;54.0;4;8.75;-1;0.25;9.75
+;7;18.25;Stegmüller Klemens;*;27;34.5;12;17.0;5;-1.25;10.0
o;5;28.25;Schurtenberger Sven;***;2;57.25;3;28.75;-2;0.5;8.5
o;9;36.75;Rüegg Fabian;*;9;55.5;7;37.25;-2;0.5;8.5
o;12;45.25;Kropf Marcel;**;9;55.5;11;45.5;-1;0.25;8.5

16a;Lussi Marco;**;;;;;;;;;53.5
+;;;Straub Robin;*;;;;;;;10.0
-;1;10.0;Kindlimann Fabian;***;7;56.0;4;8.75;3;-1.25;8.75
-;5;18.75;Schuler Philipp;**;13;54.25;7;18.25;2;-0.5;8.75
o;8;27.5;Roth Martin;**;8;55.75;5;28.25;-3;0.75;8.5
o;12;36.0;Bucher Christian;*;11;54.75;10;36.5;-2;0.5;8.5
-;14;44.5;Oettli Silvio;*;13;54.25;12;45.25;-2;0.75;9.0

16b;Kenel Franz-Toni;*;;;;;;;;;53.5
+;;;Voggensperger Lars (2001);*;;;;;;;10.0
-;1;10.0;Rhyner Michael;**;26;34.75;4;8.75;3;-1.25;8.75
-;5;18.75;Rüegg Fabian;*;9;55.5;6;18.5;1;-0.25;8.75
o;8;27.5;Reichmuth Marco;**;6;56.25;5;28.25;-3;0.75;8.5
-;12;36.0;Rohrer Ivan;**;11;54.75;12;36.0;0;0.0;8.75
-;13;44.75;Schnurrenberger Roman;**;14;54.0;12;45.25;-1;0.5;8.75

17a;Arnold Stefan;**;;;;;;;;;53.25
+;;;Rüegg Fabian;*;;;;;;;10.0
o;1;10.0;Forrer Arnold;***;7;56.0;4;8.75;3;-1.25;8.5
-;6;18.5;Schmid Samuel;**;26;34.75;10;17.5;4;-1.0;8.75
-;9;27.25;Schnurrenberger Roman;**;14;54.0;8;27.5;-1;0.25;8.75
-;12;36.0;Burch Jonas;*;20;44.75;12;36.0;0;0.0;8.75
o;13;44.75;Hügli Kaj;**;9;55.5;11;45.5;-2;0.75;8.5

17b;Odermatt Adrian (2001);*;;;;;;;;;53.25
o;;;Kurmann Toni;*;;;;;;;8.75
o;4;8.75;Zürcher Ueli;*;14;54.0;5;8.5;1;-0.25;8.5
+;11;17.25;Egli Damian;**;14;54.0;12;17.0;1;-0.25;10.0
o;9;27.25;Fellmann Roman;**;8;55.75;9;27.25;0;0.0;8.5
-;13;35.75;Odermatt Christian;**;18;53.0;14;35.5;1;-0.25;9.0
o;13;44.75;Heinzer Stefan;**;12;54.5;14;44.5;1;-0.25;8.5

18a;Voggensperger Lars (2001);*;;;;;;;;;53.0
o;;;Kenel Franz-Toni;*;;;;;;;8.5
-;5;8.5;Bürli Roger;**;13;54.25;4;8.75;-1;0.25;8.75
o;11;17.25;Ambühl Joel;**;4;56.75;7;18.25;-4;1.0;8.5
+;15;25.75;Ammann Rico;*;29;34.0;16;25.5;1;-0.25;9.75
-;14;35.5;Gwerder Christian;**;18;53.0;13;35.75;-1;0.25;8.75
-;15;44.25;Blaser Theo;*;19;52.75;16;44.0;1;-0.25;8.75

18b;Odermatt Christian;**;;;;;;;;;53.0
+;;;Fellmann Roman;**;;;;;;;9.75
o;2;9.75;Gwerder Michael;**;3;57.0;2;9.75;0;0.0;8.5
o;7;18.25;Erb Roger;**;10;55.0;7;18.25;0;0.0;8.5
-;11;26.75;Rhyner Michael;**;26;34.75;14;26.0;3;-0.75;8.75
-;14;35.5;Odermatt Adrian (2001);*;17;53.25;13;35.75;-1;0.25;9.0
o;14;44.5;Hauri Urs;**;9;55.5;11;45.5;-3;1.0;8.5

18c;Steinauer Adrian;**;;;;;;;;;53.0
+;;;Kropf Marcel;**;;;;;;;10.0
o;1;10.0;Schneider Domenic;***;2;57.25;5;8.5;4;-1.5;8.5
-;6;18.5;Giger Urs;*;25;35.0;10;17.5;4;-1.0;9.0
o;8;27.5;Erb Roger;**;10;55.0;5;28.25;-3;0.75;8.5
o;12;36.0;Murer Andy;**;11;54.75;12;36.0;0;0.0;8.5
o;14;44.5;Wyrsch Marco;**;12;54.5;14;44.5;0;0.0;8.5

18d;Gwerder Christian;**;;;;;;;;;53.0
-;;;Mangold Michael;**;;;;;;;8.75
+;4;8.75;Hügli Kaj;**;9;55.5;5;8.5;1;-0.25;10.0
o;5;18.75;Leuppi Samir;**;4;56.75;6;18.5;1;-0.25;8.5
o;9;27.25;Geisser Lars;**;12;54.5;8;27.5;-1;0.25;8.5
-;13;35.75;Voggensperger Lars (2001);*;18;53.0;14;35.5;1;-0.25;8.75
o;14;44.5;Egli Damian;**;14;54.0;15;44.25;1;-0.25;8.5

19a;Kennel Beat;*;;;;;;;;;52.75
-;;;Oettli Silvio;*;;;;;;;9.0
o;3;9.0;Hauri Urs;**;9;55.5;5;8.5;2;-0.5;8.5
o;10;17.5;Dändliker Shane;**;19;52.75;11;17.25;1;-0.25;8.5
+;14;26.0;Zbinden Marc;*;28;34.25;15;25.75;1;-0.25;9.75
o;13;35.75;Odermatt Andreas;*;12;54.5;12;36.0;-1;0.25;8.5
o;15;44.25;Bürli Roger;**;13;54.25;15;44.25;0;0.0;8.5

19b;Dändliker Shane;**;;;;;;;;;52.75
o;;;Fankhauser Marco;**;;;;;;;8.75
o;4;8.75;Ambühl Joel;**;4;56.75;5;8.5;1;-0.25;8.5
+;11;17.25;Kennel Beat;*;19;52.75;10;17.5;-1;0.25;9.75
o;10;27.0;Imhof Andi;***;13;54.25;10;27.0;0;0.0;8.5
o;14;35.5;Hess Michael;*;8;55.75;12;36.0;-2;0.5;8.5
o;16;44.0;Zürcher Ueli;*;14;54.0;15;44.25;-1;0.25;8.75

19c;Blaser Theo;*;;;;;;;;;52.75
o;;;Räbsamen Marcel;*;;;;;;;8.5
o;5;8.5;Rüegg Fabian;*;9;55.5;5;8.5;0;0.0;8.5
+;12;17.0;Poltera Andrin;*;29;34.0;12;17.0;0;0.0;10.0
o;10;27.0;Rychen Roger;***;12;54.5;11;26.75;1;-0.25;8.5
o;14;35.5;Hügli Kaj;**;9;55.5;14;35.5;0;0.0;8.5
-;16;44.0;Voggensperger Lars (2001);*;18;53.0;15;44.25;-1;0.25;8.75

20a;Burch Jonas;*;;;;;;;;;44.75
-;;;Hess Michael;*;;;;;;;8.75
+;4;8.75;Ammann Rico;*;29;34.0;5;8.5;1;-0.25;10.0
o;5;18.75;Kindlimann Fabian;***;7;56.0;10;17.5;5;-1.25;8.5
o;9;27.25;Hermann Oliver;*;9;55.5;9;27.25;0;0.0;8.75
-;12;36.0;Arnold Stefan;**;17;53.25;12;36.0;0;0.0;8.75

21a;Räbsamen Marcel;*;;;;;;;;;37.0
+;;;Blaser Theo;*;;;;;;;10.0
+;1;10.0;Fankhauser Erich;***;14;54.0;2;9.75;1;-0.25;10.0
o;1;20.0;Schuler Christian;***;2;57.25;3;19.5;2;-0.5;8.5
o;4;28.5;Fankhauser Marco;**;2;57.25;3;28.75;-1;0.25;8.5

22a;Fankhauser Reto;**;;;;;;;;;36.25
-;;;Murer Andy;**;;;;;;;8.75
-;4;8.75;Mangold Michael;**;24;35.25;3;9.0;-1;0.25;9.0
+;9;17.75;Schmid Patrick;*;28;34.25;11;17.25;2;-0.5;10.0
o;7;27.75;Kindlimann Fabian;***;7;56.0;9;27.25;2;-0.5;8.5

23a;Lang Sven;**;;;;;;;;;35.5
+;;;Ammann Rico;*;;;;;;;9.75
o;2;9.75;Rychen Roger;***;12;54.5;5;8.5;3;-1.25;8.5
o;7;18.25;Kropf Marcel;**;9;55.5;12;17.0;5;-1.25;8.5
-;11;26.75;Vollenweider Jeremy;**;26;34.75;14;26.0;3;-0.75;8.75

24a;Mangold Michael;**;;;;;;;;;35.25
-;;;Gwerder Christian;**;;;;;;;9.0
-;3;9.0;Fankhauser Reto;**;22;36.25;4;8.75;1;-0.25;9.0
o;8;18.0;Kurmann Toni;*;11;54.75;6;18.5;-2;0.5;8.5
-;12;26.5;Streiff Dominik;*;25;35.0;13;26.25;1;-0.25;8.75

25a;Streiff Dominik;*;;;;;;;;;35.0
-;;;Bürli Roger;**;;;;;;;8.75
-;4;8.75;Straub Robin;*;28;34.25;5;8.5;1;-0.25;8.75
-;10;17.5;Vollenweider Jeremy;**;26;34.75;12;17.0;2;-0.5;8.75
-;13;26.25;Mangold Michael;**;24;35.25;12;26.5;-1;0.25;8.75

25b;Giger Urs;*;;;;;;;;;35.0
-;;;Ettlin Stefan;**;;;;;;;9.0
o;3;9.0;Hess Michael;*;8;55.75;3;9.0;0;0.0;8.5
-;10;17.5;Steinauer Adrian;**;18;53.0;6;18.5;-4;1.0;9.0
o;12;26.5;Schuler Philipp;**;13;54.25;10;27.0;-2;0.5;8.5

26a;Rhyner Michael;**;;;;;;;;;34.75
-;;;Doppmann Urs;**;;;;;;;8.75
-;4;8.75;Kenel Franz-Toni;*;16;53.5;1;10.0;-3;1.25;8.75
o;10;17.5;Briker Michael;**;15;53.75;6;18.5;-4;1.0;8.5
-;14;26.0;Odermatt Christian;**;18;53.0;11;26.75;-3;0.75;8.75

26b;Notz Beni;***;;;;;;;;;34.75
o;;;Fankhauser Erich;***;;;;;;;8.5
-;5;8.5;Reichmuth Armin;*;10;55.0;2;9.75;-3;1.25;8.75
-;11;17.25;Zürcher Ueli;*;14;54.0;6;18.5;-5;1.25;8.75
-;14;26.0;Odermatt Andreas;*;12;54.5;9;27.25;-5;1.25;8.75

26c;Schmid Samuel;**;;;;;;;;;34.75
-;;;Vogel Remo;**;;;;;;;8.75
-;4;8.75;Kurmann Toni;*;11;54.75;2;9.75;-2;1.0;8.75
-;10;17.5;Arnold Stefan;**;17;53.25;6;18.5;-4;1.0;8.75
o;13;26.25;Nietlispach Pascal;**;5;56.5;11;26.75;-2;0.5;8.5

26d;Vollenweider Jeremy;**;;;;;;;;;34.75
o;;;Zimmermann Martin;**;;;;;;;8.5
o;5;8.5;Bucher Christian;*;11;54.75;2;9.75;-3;1.25;8.5
-;12;17.0;Streiff Dominik;*;25;35.0;10;17.5;-2;0.5;9.0
-;14;26.0;Lang Sven;**;23;35.5;11;26.75;-3;0.75;8.75

27a;Stegmüller Klemens;*;;;;;;;;;34.5
o;;;Heiniger Marco;*;;;;;;;8.5
o;5;8.5;Fellmann Roman;**;8;55.75;4;8.75;-1;0.25;8.5
o;12;17.0;Höfliger Andreas;**;15;53.75;7;18.25;-5;1.25;8.5
-;16;25.5;Gwerder Andreas;**;27;34.5;16;25.5;0;0.0;9.0

27b;Gwerder Andreas;**;;;;;;;;;34.5
o;;;Gwerder Michael;**;;;;;;;8.5
o;5;8.5;Doppmann Urs;**;7;56.0;4;8.75;-1;0.25;8.5
o;12;17.0;Rohrer Ivan;**;11;54.75;10;17.5;-2;0.5;8.5
-;16;25.5;Stegmüller Klemens;*;27;34.5;16;25.5;0;0.0;9.0

28a;Straub Robin;*;;;;;;;;;34.25
o;;;Lussi Marco;**;;;;;;;8.5
-;5;8.5;Streiff Dominik;*;25;35.0;4;8.75;-1;0.25;8.75
o;11;17.25;Betschart Patrick;*;14;54.0;6;18.5;-5;1.25;8.5
o;15;25.75;Bürli Roger;**;13;54.25;14;26.0;-1;0.25;8.5

28b;Schmid Patrick;*;;;;;;;;;34.25
o;;;Bucher Christian;*;;;;;;;8.5
-;5;8.5;Heinzer Stefan;**;12;54.5;4;8.75;-1;0.25;8.75
o;11;17.25;Fankhauser Reto;**;22;36.25;9;17.75;-2;0.5;8.5
o;15;25.75;Hügli Kaj;**;9;55.5;15;25.75;0;0.0;8.5

28c;Battaglia Ursin;**;;;;;;;;;34.25
-;;;Rohrer Ivan;**;;;;;;;8.75
o;4;8.75;Wyrsch Marco;**;12;54.5;4;8.75;0;0.0;8.5
o;11;17.25;Gwerder Dario;**;9;55.5;7;18.25;-4;1.0;8.5
o;15;25.75;Heinzer Stefan;**;12;54.5;13;26.25;-2;0.5;8.5

28d;Zbinden Marc;*;;;;;;;;;34.25
-;;;Odermatt Andreas;*;;;;;;;8.75
o;4;8.75;Vogel Remo;**;10;55.0;4;8.75;0;0.0;8.5
o;11;17.25;Reichmuth Marco;**;6;56.25;7;18.25;-4;1.0;8.5
o;15;25.75;Kennel Beat;*;19;52.75;14;26.0;-1;0.25;8.5

29a;Poltera Andrin;*;;;;;;;;;34.0
o;;;Betschart Patrick;*;;;;;;;8.5
o;5;8.5;Briker Michael;**;15;53.75;5;8.5;0;0.0;8.5
o;12;17.0;Blaser Theo;*;19;52.75;12;17.0;0;0.0;8.5
o;16;25.5;Egli Damian;**;14;54.0;15;25.75;-1;0.25;8.5

29b;Ammann Rico;*;;;;;;;;;34.0
o;;;Lang Sven;**;;;;;;;8.5
o;5;8.5;Burch Jonas;*;20;44.75;4;8.75;-1;0.25;8.5
o;12;17.0;Odermatt Andreas;*;12;54.5;11;17.25;-1;0.25;8.5
o;16;25.5;Voggensperger Lars (2001);*;18;53.0;15;25.75;-1;0.25;8.5

30a;Schuler Alex;***;;;;;;;;;26.25
-;;;Kuster Marcel;***;;;;;;;8.75
-;4;8.75;Hermann Oliver;*;9;55.5;1;10.0;-3;1.25;9.0
o;9;17.75;Döbeli Andreas;**;8;55.75;5;18.75;-4;1.0;8.5

