4485-2019-07-14_Rigi_Schwinget-ST

1a;von Ah Benji;***;;;;;;;;;58.0
+;2;9.75;Odermatt Christian;**;18;53.0;2;9.75;0;0.0;9.75
-;3;19.5;Alpiger Nick;***;2;57.25;5;18.75;2;-0.75;9.0
+;4;28.5;Bucher Christian;*;11;54.75;6;28.0;2;-0.5;9.75
-;4;38.25;Kindlimann Fabian;***;7;56.0;7;37.25;3;-1.0;8.75
+;5;47.0;Rüegg Fabian;*;9;55.5;5;47.0;0;0.0;10.0

4a;Ambühl Joel;**;;;;;;;;;56.75
o;;;Bieri Christoph;***;;;;;;;8.5
+;5;8.5;Dändliker Shane;**;19;52.75;4;8.75;-1;0.25;9.75
+;7;18.25;Voggensperger Lars (2001);*;18;53.0;11;17.25;4;-1.0;10.0
+;5;28.25;Reichmuth Armin;*;10;55.0;8;27.5;3;-0.75;9.75
-;5;38.0;Kuster Marcel;***;6;56.25;6;37.5;1;-0.5;8.75
+;6;46.75;Geisser Lars;**;12;54.5;9;46.0;3;-0.75;10.0

4b;Leuppi Samir;**;;;;;;;;;56.75
+;;;Gloggner Philipp;***;;;;;;;10.0
o;1;10.0;von Ah Benji;***;1;58.0;2;9.75;1;-0.25;8.5
+;6;18.5;Gwerder Christian;**;18;53.0;5;18.75;-1;0.25;9.75
+;5;28.25;Betschart Patrick;*;14;54.0;5;28.25;0;0.0;10.0
+;4;38.25;Fankhauser Marco;**;2;57.25;2;38.75;-2;0.5;9.75
-;2;48.0;Ulrich Andreas;***;7;56.0;4;47.25;2;-0.75;8.75

5a;Zimmermann Martin;**;;;;;;;;;56.5
+;;;Vollenweider Jeremy;**;;;;;;;10.0
-;1;10.0;Gloggner Philipp;***;11;54.75;5;8.5;4;-1.5;8.75
-;5;18.75;Geisser Lars;**;12;54.5;6;18.5;1;-0.25;8.75
+;8;27.5;Klausner Yanick;**;14;54.0;9;27.25;1;-0.25;10.0
-;6;37.5;Bieri Christoph;***;7;56.0;8;37.0;2;-0.5;9.0
+;7;46.5;Erb Roger;**;10;55.0;7;46.5;0;0.0;10.0

5b;Nietlispach Pascal;**;;;;;;;;;56.5
+;;;Hauri Urs;**;;;;;;;9.75
o;2;9.75;Ulrich Andreas;***;7;56.0;3;9.0;1;-0.75;8.5
o;7;18.25;Schnurrenberger Roman;**;14;54.0;10;17.5;3;-0.75;8.5
+;11;26.75;Schmid Samuel;**;26;34.75;13;26.25;2;-0.5;9.75
+;10;36.5;Zürcher Ueli;*;14;54.0;13;35.75;3;-0.75;10.0
+;7;46.5;Burkhalter Stefan;***;11;54.75;8;46.25;1;-0.25;10.0

5c;Waser Dominik;**;;;;;;;;;56.5
+;;;Schnurrenberger Roman;**;;;;;;;9.75
+;2;9.75;Schuler Philipp;**;13;54.25;2;9.75;0;0.0;10.0
o;2;19.75;von Ah Benji;***;1;58.0;2;19.75;0;0.0;8.5
+;5;28.25;Gwerder Dario;**;9;55.5;5;28.25;0;0.0;10.0
+;4;38.25;Heiniger Marco;*;11;54.75;6;37.5;2;-0.75;9.75
o;2;48.0;Alpiger Nick;***;2;57.25;4;47.25;2;-0.75;8.5

6a;Kuster Marcel;***;;;;;;;;;56.25
-;;;Schuler Alex;***;;;;;;;9.0
-;3;9.0;Heiniger Marco;*;11;54.75;1;10.0;-2;1.0;8.75
+;9;17.75;Murer Andy;**;11;54.75;5;18.75;-4;1.0;10.0
+;7;27.75;Briker Michael;**;15;53.75;5;28.25;-2;0.5;9.75
-;6;37.5;Ambühl Joel;**;4;56.75;5;38.0;-1;0.5;8.75
+;8;46.25;Suppiger René;***;9;55.5;5;47.0;-3;0.75;10.0

6b;Reichmuth Marco;**;;;;;;;;;56.25
+;;;Hügli Kaj;**;;;;;;;9.75
o;2;9.75;Alpiger Nick;***;2;57.25;3;9.0;1;-0.75;8.5
+;7;18.25;Zbinden Marc;*;28;34.25;11;17.25;4;-1.0;10.0
+;5;28.25;Kenel Franz-Toni;*;16;53.5;8;27.5;3;-0.75;10.0
-;4;38.25;Burkhalter Stefan;***;11;54.75;6;37.5;2;-0.75;9.0
-;4;47.25;Roth Martin;**;8;55.75;6;46.75;2;-0.5;9.0

6c;Strebel Joel;**;;;;;;;;;56.25
o;;;Schuler Philipp;**;;;;;;;8.5
+;5;8.5;Egli Damian;**;14;54.0;5;8.5;0;0.0;10.0
+;6;18.5;Fankhauser Erich;***;14;54.0;7;18.25;1;-0.25;10.0
-;4;28.5;Schuler Christian;***;2;57.25;2;29.5;-2;1.0;9.0
+;6;37.5;Doppmann Urs;**;7;56.0;6;37.5;0;0.0;10.0
o;3;47.5;von Ah Benji;***;1;58.0;1;48.25;-2;0.75;8.75

7a;Forrer Arnold;***;;;;;;;;;56.0
-;;;Imhof Andi;***;;;;;;;8.75
+;4;8.75;Arnold Stefan;**;17;53.25;1;10.0;-3;1.25;9.75
-;6;18.5;Doppmann Urs;**;7;56.0;5;18.75;-1;0.25;8.75
-;9;27.25;Kurmann Toni;*;11;54.75;5;28.25;-4;1.0;9.0
+;11;36.25;Fellmann Roman;**;8;55.75;7;37.25;-4;1.0;10.0
+;8;46.25;Gloggner Philipp;***;11;54.75;8;46.25;0;0.0;9.75

7b;Bieri Christoph;***;;;;;;;;;56.0
+;;;Ambühl Joel;**;;;;;;;9.75
-;2;9.75;Fankhauser Marco;**;2;57.25;1;10.0;-1;0.25;8.75
+;6;18.5;Fellmann Roman;**;8;55.75;5;18.75;-1;0.25;9.75
-;5;28.25;Ulrich Andreas;***;7;56.0;3;28.75;-2;0.5;8.75
-;8;37.0;Zimmermann Martin;**;5;56.5;6;37.5;-2;0.5;9.0
+;9;46.0;Ettlin Stefan;**;10;55.0;8;46.25;-1;0.25;10.0

7c;Doppmann Urs;**;;;;;;;;;56.0
-;;;Rhyner Michael;**;;;;;;;8.75
+;4;8.75;Gwerder Andreas;**;27;34.5;5;8.5;1;-0.25;10.0
-;5;18.75;Forrer Arnold;***;7;56.0;6;18.5;1;-0.25;8.75
+;8;27.5;Hess Michael;*;8;55.75;8;27.5;0;0.0;10.0
o;6;37.5;Strebel Joel;**;6;56.25;6;37.5;0;0.0;8.5
+;9;46.0;Imhof Andi;***;13;54.25;10;45.75;1;-0.25;10.0

7d;Ulrich Andreas;***;;;;;;;;;56.0
