4669-2019-07-28_Bruenig-Schwinget-ST

1a;Reichmuth Pirmin;***;;;;;;;;;59.0
-;12;26.75;Grossenbacher Simon (2002);*;22;52.75;12;26.75;0;0.0;9.0
-;13;35.75;Linggi Bruno;**;15;54.5;13;35.75;0;0.0;9.0
+;18;44.75;Reichmuth Roland;*;19;53.5;18;44.75;0;0.0;9.75

15e;Haenni Stéphane;**;;;;;;;;;54.5
o;;;Gloggner Reto;**;;;;;;;8.5
o;5;8.5;Ramseier Fritz;**;18;53.75;4;8.75;-1;0.25;8.5
-;11;17.0;Murer Andy;**;28;35.0;9;17.5;-2;0.5;8.75
+;15;25.75;Thomet Adrian;**;31;34.25;15;25.75;0;0.0;10.0
-;13;35.75;Kämpf Alexander;**;29;34.75;17;34.75;4;-1.0;8.75
+;19;44.5;Bütikofer Lukas;*;18;53.75;16;45.25;-3;0.75;10.0

15f;Borcard Johann;**;;;;;;;;;54.5
+;;;Schuler Philipp;**;;;;;;;10.0
-;1;10.0;Müllestein Mike;***;6;57.0;2;9.75;1;-0.25;9.0
o;4;19.0;Gasser Dominik;*;12;55.25;5;18.75;1;-0.25;8.5
+;9;27.5;Tschumi Lukas (2001);*;16;54.25;10;27.25;1;-0.25;9.75
-;7;37.25;Klossner Adrian;*;14;54.75;8;37.0;1;-0.25;8.75
o;13;46.0;Gerber Christian;**;6;57.0;8;47.25;-5;1.25;8.5

15g;Fankhauser Reto;*;;;;;;;;;54.5
-;;;Bürgler André;*;;;;;;;8.75
+;4;8.75;Reichmuth Roland;*;19;53.5;4;8.75;0;0.0;10.0
-;5;18.75;Ettlin Stefan;**;13;55.0;6;18.5;1;-0.25;8.75
o;9;27.5;Hurschler Thomas;**;14;54.75;9;27.5;0;0.0;8.5
-;12;36.0;Huber Alex;*;20;53.25;13;35.75;1;-0.25;8.75
+;18;44.75;Arnold Marcel;*;22;52.75;20;44.25;2;-0.5;9.75

15h;Glarner Matthias;***;;;;;;;;;54.5
-;;;Schuler Christian;***;;;;;;;8.75
+;4;8.75;Fankhauser Marco;**;14;54.75;2;9.75;-2;1.0;10.0
o;5;18.75;Wicki Joel;**;2;58.5;1;20.0;-4;1.25;8.5
+;10;27.25;Huber Alex;*;20;53.25;10;27.25;0;0.0;9.75
-;8;37.0;Kramer Lario;**;14;54.75;8;37.0;0;0.0;8.75
-;14;45.75;Gasser Stefan;**;14;54.75;13;46.0;-1;0.25;8.75

15i;Linggi Bruno;**;;;;;;;;;54.5
-;;;Berger René;**;;;;;;;9.0
o;3;9.0;Gobeli Patrick;**;8;56.5;5;8.5;2;-0.5;8.5
o;9;17.5;Roth Dominik;**;7;56.75;7;18.25;-2;0.75;8.5
+;14;26.0;Riedo Fredy;*;32;34.0;16;25.5;2;-0.5;9.75
-;13;35.75;Staub Maël;*;15;54.5;13;35.75;0;0.0;9.0
+;18;44.75;Ramseier Fritz;**;18;53.75;17;45.0;-1;0.25;9.75

15j;Rohrer Ueli;*;;;;;;;;;54.5
-;;;Ramseier Thomas;*;;;;;;;8.75
+;4;8.75;Bütikofer Lukas;*;18;53.75;2;9.75;-2;1.0;9.75
+;6;18.5;Ramseier Fritz;**;18;53.75;5;18.75;-1;0.25;10.0
o;5;28.5;von Weissenfluh Kilian;**;7;56.75;6;28.25;1;-0.25;8.5
o;8;37.0;Wiget Michael;**;8;56.5;9;36.75;1;-0.25;8.5
-;15;45.5;Zangger Dominik;*;19;53.5;19;44.5;4;-1.0;9.0

16a;Tschumi Lukas (2001);*;;;;;;;;;54.25
+;;;Grossenbacher Simon (2002);*;;;;;;;9.75
o;2;9.75;Scheuber Lutz;**;12;55.25;2;9.75;0;0.0;8.5
-;7;18.25;Lang Sven;**;17;54.0;7;18.25;0;0.0;9.0
o;10;27.25;Borcard Johann;**;15;54.5;9;27.5;-1;0.25;8.5
+;13;35.75;Lussi Marco;**;21;53.0;13;35.75;0;0.0;9.75
o;15;45.5;Bernet Christoph;*;21;53.0;20;44.25;5;-1.25;8.75

16b;Weyermann Florian;**;;;;;;;;;54.25
-;;;Murer Andy;**;;;;;;;8.75
+;4;8.75;Heinzer Stefan;*;31;34.25;4;8.75;0;0.0;9.75
o;6;18.5;Betschart Rainer;**;12;55.25;6;18.5;0;0.0;8.75
+;10;27.25;Arnold Marcel;*;22;52.75;10;27.25;0;0.0;10.0
o;7;37.25;Gloggner Philipp;***;6;57.0;5;38.0;-2;0.75;8.5
o;14;45.75;Gwerder Dario;**;10;55.75;14;45.75;0;0.0;8.5

16c;Wüthrich Niklaus;**;;;;;;;;;54.25
o;;;Betschart Rainer;**;;;;;;;8.5
o;5;8.5;Zimmermann Martin;**;20;53.25;4;8.75;-1;0.25;8.5
-;11;17.0;Arnold Raphael;**;29;34.75;10;17.25;-1;0.25;8.75
+;15;25.75;Loup Alexandre;*;32;34.0;16;25.5;1;-0.25;10.0
+;13;35.75;Arnold Marcel;*;22;52.75;13;35.75;0;0.0;10.0
o;14;45.75;Odermatt Christian;**;13;55.0;16;45.25;2;-0.5;8.5

16d;Vogel Remo;**;;;;;;;;;54.25
-;;;Klossner Adrian;*;;;;;;;8.75
-;4;8.75;Rolli Martin;**;15;54.5;4;8.75;0;0.0;8.75
+;9;17.5;Kramer Dorian;*;33;25.75;10;17.25;1;-0.25;10.0
-;9;27.5;Zenger Niklaus;***;9;56.0;11;27.0;2;-0.5;9.0
-;10;36.5;Scheuner Michael;*;17;54.0;10;36.5;0;0.0;9.0
-;15;45.5;Duplan Steve;**;17;54.0;16;45.25;1;-0.25;8.75

16e;Kälin Roland;**;;;;;;;;;54.25
-;;;Rolli Martin;**;;;;;;;8.75
-;4;8.75;Rapin Florent;*;33;25.75;5;8.5;1;-0.25;8.75
+;9;17.5;Borcard Clovis;*;28;35.0;9;17.5;0;0.0;10.0
o;9;27.5;Kämpf Bernhard;***;6;57.0;10;27.25;1;-0.25;8.5
o;12;36.0;Marti Stefan;**;14;54.75;12;36.0;0;0.0;8.5
+;19;44.5;Blaser Roman;*;22;52.75;20;44.25;1;-0.25;9.75

16f;Iseli Marco;**;;;;;;;;;54.25
o;;;Rohrer Marco;**;;;;;;;8.5
o;5;8.5;Gwerder Dario;**;10;55.75;5;8.5;0;0.0;8.5
+;11;17.0;Dufey Gil;*;30;34.5;9;17.5;-2;0.5;10.0
+;11;27.0;Fink Bruno;*;26;35.5;11;27.0;0;0.0;10.0
o;8;37.0;Bieri Marcel;**;5;57.25;7;37.25;-1;0.25;8.5
-;15;45.5;Rohrer Ivan;**;19;53.5;18;44.75;3;-0.75;8.75

16g;Steinauer Adrian;**;;;;;;;;;54.25
+;;;Schenk Patrick;***;;;;;;;10.0
-;1;10.0;Walther Adrian (2001);*;11;55.5;2;9.75;1;-0.25;9.0
o;4;19.0;Aeschbacher Matthias;**;3;58.25;6;18.5;2;-0.5;8.5
+;9;27.5;Schwander Severin;**;15;54.5;10;27.25;1;-0.25;9.75
o;7;37.25;Wenger Kilian;***;8;56.5;8;37.0;1;-0.25;8.5
o;14;45.75;Herger Matthias;**;10;55.75;14;45.75;0;0.0;8.5

16h;Brodard Augustin;**;;;;;;;;;54.25
o;;;Odermatt Christian;**;;;;;;;8.5
-;5;8.5;Thomet Adrian;**;31;34.25;5;8.5;0;0.0;8.75
-;10;17.25;Kämpf Alexander;**;29;34.75;10;17.25;0;0.0;8.75
+;14;26.0;Hadorn Christian;*;26;35.5;11;27.0;-3;1.0;9.75
+;13;35.75;Siegenthaler Tobias;*;21;53.0;13;35.75;0;0.0;9.75
-;15;45.5;Zimmermann Martin;**;20;53.25;19;44.5;4;-1.0;8.75

16i;Matthey Mickaël;**;;;;;;;;;54.25
+;;;Arnold Stefan;**;;;;;;;9.75
o;2;9.75;Zenger Niklaus;***;9;56.0;5;8.5;3;-1.25;8.75
+;6;18.5;Waber Lorenz;*;17;54.0;7;18.25;1;-0.25;10.0
o;5;28.5;Gloggner Philipp;***;6;57.0;6;28.25;1;-0.25;8.5
o;8;37.0;Gasser Dominik;*;12;55.25;8;37.0;0;0.0;8.5
-;15;45.5;Klossner Adrian;*;14;54.75;14;45.75;-1;0.25;8.75

17a;Lang Sven;**;;;;;;;;;54.0
o;;;Berger Lorenz;**;;;;;;;8.5
+;5;8.5;Grossenbacher Simon (2002);*;22;52.75;5;8.5;0;0.0;9.75
-;7;18.25;Tschumi Lukas (2001);*;16;54.25;7;18.25;0;0.0;9.0
o;10;27.25;Wenger Kilian;***;8;56.5;11;27.0;1;-0.25;8.5
+;13;35.75;Blaser Roman;*;22;52.75;13;35.75;0;0.0;9.75
o;15;45.5;Walther Adrian (2001);*;11;55.5;14;45.75;-1;0.25;8.5

17b;Doppmann Urs;**;;;;;;;;;54.0
+;;;Thomet Adrian;**;;;;;;;9.75
o;2;9.75;Wenger Kilian;***;8;56.5;5;8.5;3;-1.25;8.5
o;7;18.25;Wiget Michael;**;8;56.5;7;18.25;0;0.0;8.5
+;12;26.75;Berger Lorenz;**;26;35.5;11;27.0;-1;0.25;10.0
o;9;36.75;Anderegg Simon;***;11;55.5;9;36.75;0;0.0;8.5
-;16;45.25;Schwander Severin;**;15;54.5;14;45.75;-2;0.5;8.75

17c;Duplan Steve;**;;;;;;;;;54.0
+;;;Ettlin Stefan;**;;;;;;;9.75
o;2;9.75;von Ah Benji;***;10;55.75;2;9.75;0;0.0;8.75
+;6;18.5;Schürpf Bruno;*;24;45.75;6;18.5;0;0.0;9.75
o;6;28.25;Gwerder Michael;**;6;57.0;5;28.5;-1;0.25;8.5
o;9;36.75;Zürcher Remo;*;12;55.25;9;36.75;0;0.0;8.5
-;16;45.25;Vogel Remo;**;16;54.25;15;45.5;-1;0.25;8.75

17d;Waber Lorenz;*;;;;;;;;;54.0
o;;;Schürpf Bruno;*;;;;;;;8.5
+;5;8.5;Loup Alexandre;*;32;34.0;5;8.5;0;0.0;9.75
o;7;18.25;Matthey Mickaël;**;16;54.25;6;18.5;-1;0.25;8.5
-;12;26.75;Borcard Clovis;*;28;35.0;14;26.0;2;-0.75;9.0
+;13;35.75;Grossenbacher Simon (2002);*;22;52.75;13;35.75;0;0.0;9.75
o;15;45.5;Hess Michael;*;11;55.5;15;45.5;0;0.0;8.5

17e;Scheuner Michael;*;;;;;;;;;54.0
+;;;Kramer Dorian;*;;;;;;;9.75
o;2;9.75;Bieri Marcel;**;5;57.25;4;8.75;2;-1.0;8.5
+;7;18.25;Huber Alex;*;20;53.25;5;18.75;-2;0.5;9.75
o;7;28.0;Betschart Rainer;**;12;55.25;5;28.5;-2;0.5;8.5
-;10;36.5;Vogel Remo;**;16;54.25;10;36.5;0;0.0;9.0
o;15;45.5;Ettlin Stefan;**;13;55.0;18;44.75;3;-0.75;8.5

18a;Durrer Nando;*;;;;;;;;;53.75
-;;;Borcard Clovis;*;;;;;;;9.0
-;3;9.0;Dufey Gil;*;30;34.5;5;8.5;2;-0.5;9.0
-;8;18.0;Berger René;**;29;34.75;9;17.5;1;-0.5;8.75
+;12;26.75;von Büren Stephan;**;26;35.5;12;26.75;0;0.0;9.75
-;10;36.5;Aellen Florian;*;12;55.25;9;36.75;-1;0.25;8.75
o;16;45.25;Grossen John;*;11;55.5;14;45.75;-2;0.5;8.5

18b;Ramseier Fritz;**;;;;;;;;;53.75
-;;;Arnold Raphael;**;;;;;;;8.75
+;4;8.75;Haenni Stéphane;**;15;54.5;5;8.5;1;-0.25;10.0
o;5;18.75;Rohrer Ueli;*;15;54.5;6;18.5;1;-0.25;8.5
-;10;27.25;Zimmermann Martin;**;20;53.25;10;27.25;0;0.0;8.75
-;12;36.0;Gloggner Reto;**;20;53.25;13;35.75;1;-0.25;9.0
o;17;45.0;Linggi Bruno;**;15;54.5;18;44.75;1;-0.25;8.75

18c;Bütikofer Lukas;*;;;;;;;;;53.75
+;;;Crettaz Olivier;*;;;;;;;9.75
o;2;9.75;Rohrer Ueli;*;15;54.5;4;8.75;2;-1.0;8.75
o;6;18.5;Arnold Stefan;**;11;55.5;7;18.25;1;-0.25;8.5
+;11;27.0;Colò Kilian;**;26;35.5;11;27.0;0;0.0;9.75
o;9;36.75;Herger Matthias;**;10;55.75;12;36.0;3;-0.75;8.5
o;16;45.25;Haenni Stéphane;**;15;54.5;19;44.5;3;-0.75;8.5

18d;Schuler Philipp;**;;;;;;;;;53.75
o;;;Borcard Johann;**;;;;;;;8.5
o;5;8.5;Inniger Thomas;**;14;54.75;5;8.5;0;0.0;8.5
+;11;17.0;Moser Steven;**;30;34.5;10;17.25;-1;0.25;9.75
+;12;26.75;Schlüchter Colin;*;20;53.25;10;27.25;-2;0.5;10.0
o;9;36.75;Kämpf Bernhard;***;6;57.0;7;37.25;-2;0.5;8.5
o;16;45.25;Schenk Patrick;***;12;55.25;15;45.5;-1;0.25;8.5

18e;Rohrer Marco;**;;;;;;;;;53.75
+;;;Iseli Marco;**;;;;;;;10.0
o;1;10.0;Graber Willy;***;26;35.5;5;8.5;4;-1.5;8.75
-;5;18.75;Schlüchter Colin;*;20;53.25;7;18.25;2;-0.5;9.0
-;8;27.75;Sommer Roman;*;14;54.75;9;27.5;1;-0.25;8.75
-;10;36.5;Lengacher Jonas;**;23;46.0;7;37.25;-3;0.75;8.75
o;16;45.25;Arnold Stefan;**;11;55.5;14;45.75;-2;0.5;8.5

19a;Zangger Dominik;*;;;;;;;;;53.5
+;;;Rapin Florent;*;;;;;;;10.0
o;1;10.0;Suppiger René;***;6;57.0;4;8.75;3;-1.25;8.5
o;6;18.5;Hess Michael;*;11;55.5;6;18.5;0;0.0;8.5
o;11;27.0;Odermatt Christian;**;13;55.0;11;27.0;0;0.0;8.75
o;13;35.75;Schürpf Bruno;*;24;45.75;13;35.75;0;0.0;8.75
-;19;44.5;Rohrer Ueli;*;15;54.5;15;45.5;-4;1.0;9.0

19b;Reichmuth Roland;*;;;;;;;;;53.5
-;;;Blaser Roman;*;;;;;;;8.75
o;4;8.75;Fankhauser Reto;*;15;54.5;4;8.75;0;0.0;8.75
+;9;17.5;Riedo Fredy;*;32;34.0;11;17.0;2;-0.5;10.0
o;9;27.5;Schenk Patrick;***;12;55.25;10;27.25;1;-0.25;8.5
o;12;36.0;Grossen John;*;11;55.5;13;35.75;1;-0.25;8.75
o;18;44.75;Staub Maël;*;15;54.5;18;44.75;0;0.0;8.75

19c;Rohrer Ivan;**;;;;;;;;;53.5
+;;;Colò Kilian;**;;;;;;;9.75
o;2;9.75;Aeschbacher Matthias;**;3;58.25;5;8.5;3;-1.25;8.5
-;7;18.25;Gobeli Patrick;**;8;56.5;6;18.5;-1;0.25;9.0
o;10;27.25;Roschi Ruedi;**;15;54.5;9;27.5;-1;0.25;8.5
-;13;35.75;Schlüchter Colin;*;20;53.25;13;35.75;0;0.0;9.0
-;18;44.75;Iseli Marco;**;16;54.25;15;45.5;-3;0.75;8.75

19d;Ramseier Thomas;*;;;;;;;;;53.5
-;;;Rohrer Ueli;*;;;;;;;8.75
-;4;8.75;Kramer Dorian;*;33;25.75;5;8.5;1;-0.25;8.75
+;9;17.5;Loup Alexandre;*;32;34.0;11;17.0;2;-0.5;10.0
-;9;27.5;Arnold Stefan;**;11;55.5;7;28.0;-2;0.5;9.0
o;10;36.5;Brun Jonas;**;14;54.75;12;36.0;2;-0.5;8.5
o;17;45.0;Ettlin Stefan;**;13;55.0;18;44.75;1;-0.25;8.5

20a;Zimmermann Martin;**;;;;;;;;;53.25
-;;;Kämpf Alexander;**;;;;;;;8.75
+;4;8.75;Wüthrich Niklaus;**;16;54.25;5;8.5;1;-0.25;9.75
-;6;18.5;Berger Lorenz;**;26;35.5;7;18.25;1;-0.25;8.75
-;10;27.25;Ramseier Fritz;**;18;53.75;10;27.25;0;0.0;8.75
o;12;36.0;Schwander Severin;**;15;54.5;13;35.75;1;-0.25;8.5
-;19;44.5;Brodard Augustin;**;16;54.25;15;45.5;-4;1.0;8.75

20b;Huber Alex;*;;;;;;;;;53.25
-;;;Sommer Roman;*;;;;;;;8.75
+;4;8.75;von Büren Stephan;**;26;35.5;5;8.5;1;-0.25;10.0
o;5;18.75;Scheuner Michael;*;17;54.0;7;18.25;2;-0.5;8.5
o;10;27.25;Glarner Matthias;***;15;54.5;10;27.25;0;0.0;8.5
-;13;35.75;Fankhauser Reto;*;15;54.5;12;36.0;-1;0.25;8.75
-;19;44.5;Siegenthaler Tobias;*;21;53.0;20;44.25;1;-0.25;8.75

20c;Gloggner Reto;**;;;;;;;;;53.25
+;;;Haenni Stéphane;**;;;;;;;9.75
-;2;9.75;Gasser Dominik;*;12;55.25;1;10.0;-1;0.25;9.0
o;5;18.75;Anderegg Simon;***;11;55.5;7;18.25;2;-0.5;8.5
o;10;27.25;Inniger Thomas;**;14;54.75;9;27.5;-1;0.25;8.5
-;13;35.75;Ramseier Fritz;**;18;53.75;12;36.0;-1;0.25;9.0
o;18;44.75;Aellen Florian;*;12;55.25;15;45.5;-3;0.75;8.5

20d;Schlüchter Colin;*;;;;;;;;;53.25
+;;;Dufey Gil;*;;;;;;;9.75
o;2;9.75;Hurschler Thomas;**;14;54.75;4;8.75;2;-1.0;8.5
-;7;18.25;Rohrer Marco;**;18;53.75;5;18.75;-2;0.5;9.0
o;10;27.25;Schuler Philipp;**;18;53.75;12;26.75;2;-0.5;8.5
-;13;35.75;Rohrer Ivan;**;19;53.5;13;35.75;0;0.0;8.75
-;19;44.5;Lussi Marco;**;21;53.0;20;44.25;1;-0.25;8.75

21a;Lussi Marco;**;;;;;;;;;53.0
-;;;Marti Stefan;**;;;;;;;8.75
+;4;8.75;Roch Vincent;**;30;34.5;5;8.5;1;-0.25;9.75
o;6;18.5;Gnägi Florian;***;14;54.75;5;18.75;-1;0.25;8.5
-;11;27.0;Blaser Roman;*;22;52.75;11;27.0;0;0.0;8.75
o;13;35.75;Tschumi Lukas (2001);*;16;54.25;13;35.75;0;0.0;8.5
-;20;44.25;Schlüchter Colin;*;20;53.25;19;44.5;-1;0.25;8.75

21b;Bernet Christoph;*;;;;;;;;;53.0
o;;;Aellen Florian;*;;;;;;;8.5
-;5;8.5;Hadorn Christian;*;26;35.5;5;8.5;0;0.0;8.75
o;10;17.25;Grossenbacher Simon (2002);*;22;52.75;11;17.0;1;-0.25;8.5
+;15;25.75;Crettaz Olivier;*;32;34.0;16;25.5;1;-0.25;10.0
o;13;35.75;Walther Adrian (2001);*;11;55.5;12;36.0;-1;0.25;8.5
o;20;44.25;Rolli Martin;**;15;54.5;19;44.5;-1;0.25;8.5
+;22;52.75;Tschumi Lukas (2001);*;16;54.25;16;54.25;-6;1.5;0.25

21c;Siegenthaler Tobias;*;;;;;;;;;53.0
+;;;Lerch Jimmy;*;;;;;;;10.0
o;1;10.0;Gloggner Philipp;***;6;57.0;4;8.75;3;-1.25;8.75
o;5;18.75;Gwerder Michael;**;6;57.0;6;18.5;1;-0.25;8.5
o;10;27.25;Fankhauser Marco;**;14;54.75;10;27.25;0;0.0;8.5
o;13;35.75;Brodard Augustin;**;16;54.25;13;35.75;0;0.0;8.5
-;20;44.25;Huber Alex;*;20;53.25;19;44.5;-1;0.25;8.75

22a;Blaser Roman;*;;;;;;;;;52.75
-;;;Reichmuth Roland;*;;;;;;;8.75
+;4;8.75;Crettaz Olivier;*;32;34.0;5;8.5;1;-0.25;9.75
o;6;18.5;Gapany Benjamin;**;25;45.25;10;17.25;4;-1.25;8.5
-;11;27.0;Lussi Marco;**;21;53.0;11;27.0;0;0.0;8.75
o;13;35.75;Lang Sven;**;17;54.0;13;35.75;0;0.0;8.5
o;20;44.25;Kälin Roland;**;16;54.25;19;44.5;-1;0.25;8.5

22b;Arnold Marcel;*;;;;;;;;;52.75
-;;;Röthlisberger Simon;*;;;;;;;8.75
+;4;8.75;Riedo Fredy;*;32;34.0;5;8.5;1;-0.25;10.0
o;5;18.75;Schenk Patrick;***;12;55.25;10;17.25;5;-1.5;8.5
o;10;27.25;Weyermann Florian;**;16;54.25;10;27.25;0;0.0;8.5
o;13;35.75;Wüthrich Niklaus;**;16;54.25;13;35.75;0;0.0;8.5
o;20;44.25;Fankhauser Reto;*;15;54.5;18;44.75;-2;0.5;8.5

22c;Grossenbacher Simon (2002);*;;;;;;;;;52.75
o;;;Tschumi Lukas (2001);*;;;;;;;8.5
o;5;8.5;Lang Sven;**;17;54.0;5;8.5;0;0.0;8.5
+;11;17.0;Bernet Christoph;*;21;53.0;10;17.25;-1;0.25;9.75
-;12;26.75;Staub Maël;*;15;54.5;12;26.75;0;0.0;9.0
o;13;35.75;Waber Lorenz;*;17;54.0;13;35.75;0;0.0;8.5
o;20;44.25;Sommer Roman;*;14;54.75;17;45.0;-3;0.75;8.5

23a;Lengacher Jonas;**;;;;;;;;;46.0
-;;;Hurschler Thomas;**;;;;;;;8.75
o;4;8.75;Ettlin Stefan;**;13;55.0;5;8.5;1;-0.25;8.5
+;10;17.25;Colò Kilian;**;26;35.5;6;18.5;-4;1.25;10.0
+;10;27.25;Heinzer Stefan;*;31;34.25;15;25.75;5;-1.5;10.0
-;7;37.25;Rohrer Marco;**;18;53.75;10;36.5;3;-0.75;8.75

24a;Schürpf Bruno;*;;;;;;;;;45.75
+;;;Waber Lorenz;*;;;;;;;10.0
o;1;10.0;von Weissenfluh Kilian;**;7;56.75;1;10.0;0;0.0;8.5
o;6;18.5;Duplan Steve;**;17;54.0;6;18.5;0;0.0;8.75
o;10;27.25;Roth Dominik;**;7;56.75;7;28.0;-3;0.75;8.5
+;13;35.75;Zangger Dominik;*;19;53.5;13;35.75;0;0.0;10.0

25a;Gapany Benjamin;**;;;;;;;;;45.25
-;;;Bieri Marcel;**;;;;;;;8.75
o;4;8.75;Burch Jonas;*;12;55.25;2;9.75;-2;1.0;8.5
+;10;17.25;Blaser Roman;*;22;52.75;6;18.5;-4;1.25;9.75
+;11;27.0;Walther Adrian (2001);*;11;55.5;9;27.5;-2;0.5;9.75
o;9;36.75;Schurtenberger Sven;***;4;57.75;5;38.0;-4;1.25;8.5

26a;Röthlisberger Simon;*;;;;;;;;;35.5
-;;;Arnold Marcel;*;;;;;;;8.75
+;4;8.75;Heinzer Stefan;*;31;34.25;4;8.75;0;0.0;9.75
o;6;18.5;Kramer Lario;**;14;54.75;11;17.0;5;-1.5;8.5
o;11;27.0;Lerch Jimmy;*;27;35.25;16;25.5;5;-1.5;8.5

26b;Berger Lorenz;**;;;;;;;;;35.5
+;;;Lang Sven;**;;;;;;;9.75
o;2;9.75;Mathis Marcel;***;5;57.25;1;10.0;-1;0.25;8.5
-;7;18.25;Zimmermann Martin;**;20;53.25;6;18.5;-1;0.25;8.75
o;11;27.0;Doppmann Urs;**;17;54.0;12;26.75;1;-0.25;8.5

26c;Hadorn Christian;*;;;;;;;;;35.5
o;;;Burch Jonas;*;;;;;;;8.5
-;5;8.5;Bernet Christoph;*;21;53.0;5;8.5;0;0.0;8.75
+;10;17.25;Lerch Jimmy;*;27;35.25;11;17.0;1;-0.25;9.75
o;11;27.0;Brodard Augustin;**;16;54.25;14;26.0;3;-1.0;8.5

26d;Graber Willy;***;;;;;;;;;35.5
o;;;Mathis Marcel;***;;;;;;;8.5
+;5;8.5;Rohrer Marco;**;18;53.75;1;10.0;-4;1.5;9.75
-;7;18.25;Hurschler Thomas;**;14;54.75;5;18.75;-2;0.5;8.75
o;11;27.0;Gwerder Dario;**;10;55.75;9;27.5;-2;0.5;8.5

26e;Colò Kilian;**;;;;;;;;;35.5
o;;;Rohrer Ivan;**;;;;;;;8.5
+;5;8.5;Grossen John;*;11;55.5;4;8.75;-1;0.25;10.0
o;6;18.5;Lengacher Jonas;**;23;46.0;10;17.25;4;-1.25;8.5
o;11;27.0;Bütikofer Lukas;*;18;53.75;11;27.0;0;0.0;8.5

26f;Hofer Sven;*;;;;;;;;;35.5
o;;;Walther Adrian (2001);*;;;;;;;8.5
o;5;8.5;Klossner Adrian;*;14;54.75;4;8.75;-1;0.25;8.5
o;11;17.0;Staub Maël;*;15;54.5;11;17.0;0;0.0;8.75
+;15;25.75;Berger René;**;29;34.75;13;26.25;-2;0.5;9.75

26g;von Büren Stephan;**;;;;;;;;;35.5
o;;;Herger Matthias;**;;;;;;;8.5
o;5;8.5;Huber Alex;*;20;53.25;4;8.75;-1;0.25;8.5
+;11;17.0;Roch Vincent;**;30;34.5;11;17.0;0;0.0;9.75
o;12;26.75;Durrer Nando;*;18;53.75;12;26.75;0;0.0;8.75

26h;Fink Bruno;*;;;;;;;;;35.5
+;;;Staub Maël;*;;;;;;;10.0
o;1;10.0;Roschi Ruedi;**;15;54.5;4;8.75;3;-1.25;8.5
o;6;18.5;Klossner Adrian;*;14;54.75;5;18.75;-1;0.25;8.5
o;11;27.0;Iseli Marco;**;16;54.25;11;27.0;0;0.0;8.5

27a;Lerch Jimmy;*;;;;;;;;;35.25
o;;;Siegenthaler Tobias;*;;;;;;;8.5
o;5;8.5;Sommer Roman;*;14;54.75;4;8.75;-1;0.25;8.5
o;11;17.0;Hadorn Christian;*;26;35.5;10;17.25;-1;0.25;8.5
+;16;25.5;Röthlisberger Simon;*;26;35.5;11;27.0;-5;1.5;9.75

28a;Murer Andy;**;;;;;;;;;35.0
-;;;Weyermann Florian;**;;;;;;;8.75
-;4;8.75;Moser Steven;**;30;34.5;5;8.5;1;-0.25;8.75
-;9;17.5;Haenni Stéphane;**;15;54.5;11;17.0;2;-0.5;8.75
-;13;26.25;Roch Vincent;**;30;34.5;15;25.75;2;-0.5;8.75

28b;Borcard Clovis;*;;;;;;;;;35.0
-;;;Durrer Nando;*;;;;;;;9.0
o;3;9.0;Hess Michael;*;11;55.5;5;8.5;2;-0.5;8.5
o;9;17.5;Kälin Roland;**;16;54.25;9;17.5;0;0.0;8.5
-;14;26.0;Waber Lorenz;*;17;54.0;12;26.75;-2;0.75;9.0

29a;Kämpf Alexander;**;;;;;;;;;34.75
-;;;Zimmermann Martin;**;;;;;;;8.75
o;4;8.75;Ambühl Joel;**;7;56.75;5;8.5;1;-0.25;8.5
-;10;17.25;Brodard Augustin;**;16;54.25;10;17.25;0;0.0;8.75
-;14;26.0;Haenni Stéphane;**;15;54.5;15;25.75;1;-0.25;8.75

29b;Arnold Raphael;**;;;;;;;;;34.75
-;;;Ramseier Fritz;**;;;;;;;8.75
o;4;8.75;Marti Stefan;**;14;54.75;4;8.75;0;0.0;8.5
-;10;17.25;Wüthrich Niklaus;**;16;54.25;11;17.0;1;-0.25;8.75
-;14;26.0;Moser Steven;**;30;34.5;15;25.75;1;-0.25;8.75

29c;Berger René;**;;;;;;;;;34.75
-;;;Linggi Bruno;**;;;;;;;9.0
o;3;9.0;Arnold Stefan;**;11;55.5;5;8.5;2;-0.5;8.5
-;9;17.5;Durrer Nando;*;18;53.75;8;18.0;-1;0.5;8.75
o;13;26.25;Hofer Sven;*;26;35.5;15;25.75;2;-0.5;8.5

30a;Roch Vincent;**;;;;;;;;;34.5
o;;;Luginbühl Hanspeter;**;;;;;;;8.5
o;5;8.5;Lussi Marco;**;21;53.0;4;8.75;-1;0.25;8.5
o;11;17.0;von Büren Stephan;**;26;35.5;11;17.0;0;0.0;8.75
-;15;25.75;Murer Andy;**;28;35.0;13;26.25;-2;0.5;8.75

30b;Dufey Gil;*;;;;;;;;;34.5
o;;;Schlüchter Colin;*;;;;;;;8.5
-;5;8.5;Durrer Nando;*;18;53.75;3;9.0;-2;0.5;9.0
o;9;17.5;Iseli Marco;**;16;54.25;11;17.0;2;-0.5;8.5
o;14;26.0;Zürcher Remo;*;12;55.25;11;27.0;-3;1.0;8.5

30c;Moser Steven;**;;;;;;;;;34.5
o;;;Scheuber Lutz;**;;;;;;;8.5
