4669-2019-07-28_Bruenig-Schwinget-ST

1a;Reichmuth Pirmin;***;;;;;;;;;59.0
6g;Gerber Christian;**;;;;;;;;;57.0
-;;;Gasser Stefan;**;;;;;;;8.75
+;4;8.75;Odermatt Christian;**;13;55.0;2;9.75;-2;1.0;10.0
-;5;18.75;von Ah Benji;***;10;55.75;2;19.75;-3;1.0;8.75
+;9;27.5;Herger Matthias;**;10;55.75;9;27.5;0;0.0;9.75
+;7;37.25;Hess Michael;*;11;55.5;8;37.0;1;-0.25;10.0
+;8;47.25;Borcard Johann;**;15;54.5;13;46.0;5;-1.25;9.75

7a;Ambühl Joel;**;;;;;;;;;56.75
o;;;von Weissenfluh Kilian;**;;;;;;;8.5
+;5;8.5;Kämpf Alexander;**;29;34.75;4;8.75;-1;0.25;10.0
+;6;18.5;Zenger Niklaus;***;9;56.0;6;18.5;0;0.0;10.0
+;5;28.5;Klossner Adrian;*;14;54.75;5;28.5;0;0.0;10.0
o;3;38.5;Mathis Marcel;***;5;57.25;3;38.5;0;0.0;8.5
+;9;47.0;Inniger Thomas;**;14;54.75;12;46.25;3;-0.75;9.75

7b;Roth Dominik;**;;;;;;;;;56.75
+;;;Gwerder Dario;**;;;;;;;9.75
o;2;9.75;Reichmuth Pirmin;***;1;59.0;1;10.0;-1;0.25;8.5
+;7;18.25;Linggi Bruno;**;15;54.5;9;17.5;2;-0.75;9.75
+;7;28.0;Schürpf Bruno;*;24;45.75;10;27.25;3;-0.75;10.0
+;5;38.0;Betschart Rainer;**;12;55.25;4;38.25;-1;0.25;10.0
-;5;48.0;Mathis Marcel;***;5;57.25;3;48.5;-2;0.5;8.75

7c;von Weissenfluh Kilian;**;;;;;;;;;56.75
+;;;Ambühl Joel;**;;;;;;;10.0
+;1;10.0;Schürpf Bruno;*;24;45.75;1;10.0;0;0.0;9.75
o;2;19.75;Reichmuth Pirmin;***;1;59.0;1;20.0;-1;0.25;8.5
+;6;28.25;Rohrer Ueli;*;15;54.5;5;28.5;-1;0.25;9.75
-;5;38.0;Scheuber Lutz;**;12;55.25;5;38.0;0;0.0;8.75
+;10;46.75;Burch Jonas;*;12;55.25;10;46.75;0;0.0;10.0

8a;Wenger Kilian;***;;;;;;;;;56.5
o;;;Reichmuth Pirmin;***;;;;;;;8.5
+;5;8.5;Doppmann Urs;**;17;54.0;2;9.75;-3;1.25;9.75
o;7;18.25;Gloggner Philipp;***;6;57.0;6;18.5;-1;0.25;8.75
+;11;27.0;Lang Sven;**;17;54.0;10;27.25;-1;0.25;10.0
+;8;37.0;Steinauer Adrian;**;16;54.25;7;37.25;-1;0.25;9.75
+;10;46.75;Scheuber Lutz;**;12;55.25;10;46.75;0;0.0;9.75

8b;Gobeli Patrick;**;;;;;;;;;56.5
o;;;Fankhauser Marco;**;;;;;;;8.5
+;5;8.5;Linggi Bruno;**;15;54.5;3;9.0;-2;0.5;10.0
-;6;18.5;Rohrer Ivan;**;19;53.5;7;18.25;1;-0.25;9.0
+;9;27.5;Gasser Stefan;**;14;54.75;10;27.25;1;-0.25;10.0
+;6;37.5;Gwerder Dario;**;10;55.75;7;37.25;1;-0.25;10.0
-;7;47.5;Gloggner Philipp;***;6;57.0;5;48.0;-2;0.5;9.0

8c;Wiget Michael;**;;;;;;;;;56.5
+;;;Kramer Lario;**;;;;;;;9.75
o;2;9.75;Wicki Joel;**;2;58.5;1;10.0;-1;0.25;8.5
+;7;18.25;Doppmann Urs;**;17;54.0;7;18.25;0;0.0;10.0
o;6;28.25;Schuler Christian;***;6;57.0;4;28.75;-2;0.5;8.5
+;9;36.75;Rohrer Ueli;*;15;54.5;8;37.0;-1;0.25;10.0
+;10;46.75;Betschart Rainer;**;12;55.25;10;46.75;0;0.0;9.75

9a;Zenger Niklaus;***;;;;;;;;;56.0
o;;;Müllestein Mike;***;;;;;;;8.5
+;5;8.5;Matthey Mickaël;**;16;54.25;2;9.75;-3;1.25;10.0
o;6;18.5;Ambühl Joel;**;7;56.75;6;18.5;0;0.0;8.5
-;11;27.0;Vogel Remo;**;16;54.25;9;27.5;-2;0.5;9.0
+;12;36.0;Odermatt Christian;**;13;55.0;9;36.75;-3;0.75;10.0
+;13;46.0;Fankhauser Marco;**;14;54.75;13;46.0;0;0.0;10.0

10a;Gwerder Dario;**;;;;;;;;;55.75
o;;;Roth Dominik;**;;;;;;;8.5
+;5;8.5;Iseli Marco;**;16;54.25;5;8.5;0;0.0;10.0
-;6;18.5;Zürcher Remo;*;12;55.25;7;18.25;1;-0.25;9.0
+;9;27.5;Graber Willy;***;26;35.5;11;27.0;2;-0.5;9.75
o;7;37.25;Gobeli Patrick;**;8;56.5;6;37.5;-1;0.25;8.5
+;14;45.75;Weyermann Florian;**;16;54.25;14;45.75;0;0.0;10.0

10b;Stöckli Damian;*;;;;;;;;;55.75
+;;;Riedo Fredy;*;;;;;;;10.0
o;1;10.0;Anderegg Simon;***;11;55.5;5;8.5;4;-1.5;8.5
+;6;18.5;Roschi Ruedi;**;15;54.5;5;18.75;-1;0.25;10.0
+;5;28.5;Aellen Florian;*;12;55.25;6;28.25;1;-0.25;10.0
o;3;38.5;Müllestein Mike;***;6;57.0;3;38.5;0;0.0;8.5
-;9;47.0;Luginbühl Hanspeter;**;11;55.5;11;46.5;2;-0.5;8.75

10c;Herger Matthias;**;;;;;;;;;55.75
+;;;von Büren Stephan;**;;;;;;;10.0
-;1;10.0;Schenk Patrick;***;12;55.25;5;8.5;4;-1.5;8.75
-;5;18.75;Sommer Roman;*;14;54.75;5;18.75;0;0.0;8.75
o;9;27.5;Gerber Christian;**;6;57.0;9;27.5;0;0.0;8.5
+;12;36.0;Bütikofer Lukas;*;18;53.75;9;36.75;-3;0.75;9.75
+;14;45.75;Steinauer Adrian;**;16;54.25;14;45.75;0;0.0;10.0

10d;von Ah Benji;***;;;;;;;;;55.75
+;;;Aeschbacher Matthias;**;;;;;;;9.75
+;2;9.75;Duplan Steve;**;17;54.0;2;9.75;0;0.0;10.0
-;2;19.75;Gerber Christian;**;6;57.0;5;18.75;3;-1.0;8.75
+;5;28.5;Hess Michael;*;11;55.5;5;28.5;0;0.0;10.0
o;3;38.5;Reichmuth Pirmin;***;1;59.0;1;40.0;-2;1.5;8.5
-;9;47.0;Marti Stefan;**;14;54.75;13;46.0;4;-1.0;8.75

11a;Hess Michael;*;;;;;;;;;55.5
o;;;Zürcher Remo;*;;;;;;;8.5
+;5;8.5;Borcard Clovis;*;28;35.0;3;9.0;-2;0.5;10.0
+;6;18.5;Zangger Dominik;*;19;53.5;6;18.5;0;0.0;10.0
o;5;28.5;von Ah Benji;***;10;55.75;5;28.5;0;0.0;8.5
o;8;37.0;Gerber Christian;**;6;57.0;7;37.25;-1;0.25;8.5
+;15;45.5;Waber Lorenz;*;17;54.0;15;45.5;0;0.0;10.0

11b;Walther Adrian (2001);*;;;;;;;;;55.5
+;;;Hofer Sven;*;;;;;;;9.75
-;2;9.75;Steinauer Adrian;**;16;54.25;1;10.0;-1;0.25;9.0
o;5;18.75;Scheuber Lutz;**;12;55.25;3;19.5;-2;0.75;8.75
o;9;27.5;Gapany Benjamin;**;25;45.25;11;27.0;2;-0.5;8.5
+;12;36.0;Bernet Christoph;*;21;53.0;13;35.75;1;-0.25;9.75
+;14;45.75;Lang Sven;**;17;54.0;15;45.5;1;-0.25;9.75

11c;Anderegg Simon;***;;;;;;;;;55.5
o;;;Schurtenberger Sven;***;;;;;;;8.5
+;5;8.5;Stöckli Damian;*;10;55.75;1;10.0;-4;1.5;9.75
+;7;18.25;Gloggner Reto;**;20;53.25;5;18.75;-2;0.5;10.0
o;6;28.25;Müllestein Mike;***;6;57.0;4;28.75;-2;0.5;8.5
+;9;36.75;Doppmann Urs;**;17;54.0;9;36.75;0;0.0;10.0
-;10;46.75;Brun Jonas;**;14;54.75;13;46.0;3;-0.75;8.75

11d;Luginbühl Hanspeter;**;;;;;;;;;55.5
+;;;Roch Vincent;**;;;;;;;9.75
o;2;9.75;Schurtenberger Sven;***;4;57.75;2;9.75;0;0.0;8.5
+;7;18.25;Odermatt Christian;**;13;55.0;7;18.25;0;0.0;9.75
-;7;28.0;Brun Jonas;**;14;54.75;10;27.25;3;-0.75;8.75
+;9;36.75;Ettlin Stefan;**;13;55.0;11;36.25;2;-0.5;9.75
-;11;46.5;Stöckli Damian;*;10;55.75;9;47.0;-2;0.5;9.0

11e;Grossen John;*;;;;;;;;;55.5
-;;;Heinzer Stefan;*;;;;;;;8.75
o;4;8.75;Colò Kilian;**;26;35.5;5;8.5;1;-0.25;8.5
+;10;17.25;Crettaz Olivier;*;32;34.0;11;17.0;1;-0.25;10.0
o;10;27.25;Kramer Lario;**;14;54.75;11;27.0;1;-0.25;8.5
+;13;35.75;Reichmuth Roland;*;19;53.5;12;36.0;-1;0.25;10.0
+;14;45.75;Durrer Nando;*;18;53.75;16;45.25;2;-0.5;9.75

11f;Arnold Stefan;**;;;;;;;;;55.5
o;;;Matthey Mickaël;**;;;;;;;8.5
+;5;8.5;Berger René;**;29;34.75;3;9.0;-2;0.5;9.75
+;7;18.25;Bütikofer Lukas;*;18;53.75;6;18.5;-1;0.25;9.75
-;7;28.0;Ramseier Thomas;*;19;53.5;9;27.5;2;-0.5;9.0
-;8;37.0;Sommer Roman;*;14;54.75;11;36.25;3;-0.75;8.75
+;14;45.75;Rohrer Marco;**;18;53.75;16;45.25;2;-0.5;9.75

12a;Burch Jonas;*;;;;;;;;;55.25
+;;;Hadorn Christian;*;;;;;;;9.75
+;2;9.75;Gapany Benjamin;**;25;45.25;4;8.75;2;-1.0;10.0
o;2;19.75;Schurtenberger Sven;***;4;57.75;3;19.5;1;-0.25;8.5
+;6;28.25;Gasser Dominik;*;12;55.25;5;28.5;-1;0.25;10.0
