3050-2016-06-12_Fete_Romande2-ST

1a;Stucki Christian;***;;;;;;;;;58.75
+;;;Cropt Harald;**;;;;;;;10.0
-;1;10.0;Bösch Daniel;***;3;57.0;2;9.75;1;-0.25;8.75
+;5;18.75;Brodard Simon;**;7;56.0;5;18.75;0;0.0;10.0
+;2;28.75;Gisler Bruno;***;4;56.75;2;28.75;0;0.0;10.0
+;1;38.75;Haenni Stéphane;**;3;57.0;2;38.5;1;-0.25;10.0
+;1;48.75;Moser Steven;**;2;57.25;2;48.5;1;-0.25;10.0

2a;Gnägi Florian;***;;;;;;;;;57.25
+;;;Gottofrey Marc;**;;;;;;;10.0
+;1;10.0;Haenni Stéphane;**;3;57.0;1;10.0;0;0.0;9.75
-;2;19.75;Gisler Bruno;***;4;56.75;1;20.0;-1;0.25;9.0
+;2;28.75;Berset Frédéric;**;9;55.5;2;28.75;0;0.0;9.75
-;2;38.5;Bösch Daniel;***;3;57.0;3;38.25;1;-0.25;8.75
+;5;47.25;Cardinaux Victor;*;5;56.5;3;48.0;-2;0.75;10.0

2b;Moser Steven;**;;;;;;;;;57.25
+;;;Glaus Martin;***;;;;;;;10.0
+;1;10.0;Emonet Frédéric;*;9;55.5;1;10.0;0;0.0;10.0
-;1;20.0;Suppiger Werner;**;6;56.25;1;20.0;0;0.0;9.0
+;1;29.0;Schwander Severin;*;9;55.5;3;28.5;2;-0.5;9.75
+;1;38.75;Roch Vincent;*;4;56.75;3;38.25;2;-0.5;9.75
o;2;48.5;Stucki Christian;***;1;58.75;1;48.75;-1;0.25;8.75

3a;Piemontesi Pascal;**;;;;;;;;;57.0
o;;;Bösch Daniel;***;;;;;;;8.5
+;5;8.5;Gassmann Simon;*;9;55.5;1;10.0;-4;1.5;9.75
+;7;18.25;Berset Cyril;*;10;55.25;6;18.5;-1;0.25;10.0
-;4;28.25;Thürig Mario;***;5;56.5;5;28.0;1;-0.25;8.75
+;8;37.0;Riedo Fredy;;9;55.5;8;37.0;0;0.0;10.0
+;6;47.0;Mauron Olivier;*;9;55.5;6;47.0;0;0.0;10.0

3b;Haenni Stéphane;**;;;;;;;;;57.0
+;;;Kropf Rolf;**;;;;;;;10.0
o;1;10.0;Gnägi Florian;***;2;57.25;1;10.0;0;0.0;8.5
+;6;18.5;Rüegg Patrick (1999);;11;55.0;3;19.5;-3;1.0;10.0
+;3;28.5;Gassmann Simon;*;9;55.5;3;28.5;0;0.0;10.0
o;2;38.5;Stucki Christian;***;1;58.75;1;38.75;-1;0.25;8.5
+;6;47.0;Derron Julien;;8;55.75;5;47.25;-1;0.25;10.0

3c;Bösch Daniel;***;;;;;;;;;57.0
+;;;Piemontesi Pascal;**;;;;;;;9.75
-;2;9.75;Stucki Christian;***;1;58.75;1;10.0;-1;0.25;8.75
+;6;18.5;Borcard Johann;**;9;55.5;4;19.0;-2;0.5;9.75
+;4;28.25;Mauron Olivier;*;9;55.5;3;28.5;-1;0.25;10.0
-;3;38.25;Gnägi Florian;***;2;57.25;2;38.5;-1;0.25;8.75
+;6;47.0;Berset Frédéric;**;9;55.5;6;47.0;0;0.0;10.0

4a;Emonet Fabien;;;;;;;;;;56.75
+;;;Parvex Yannick;;;;;;;;9.75
o;2;9.75;Giroud Jonathan;**;27;36.0;5;8.5;3;-1.25;8.5
+;7;18.25;Normand Jérémy;;16;53.75;6;18.5;-1;0.25;10.0
o;4;28.25;Dind Samuel;**;10;55.25;8;27.0;4;-1.25;8.5
+;9;36.75;Golliard Steve;;23;45.25;9;36.75;0;0.0;10.0
+;7;46.75;Overney Olivier;*;14;54.25;11;45.75;4;-1.0;10.0

4b;Gapany Benjamin;**;;;;;;;;;56.75
o;;;Thürig Mario;***;;;;;;;8.5
+;5;8.5;Kramer Lario (1998);*;5;56.5;2;9.75;-3;1.25;10.0
+;6;18.5;Ducry Antoine;*;8;55.75;5;18.75;-1;0.25;9.75
-;4;28.25;Suppiger Werner;**;6;56.25;2;28.75;-2;0.5;8.75
+;8;37.0;Schafer Claudio;*;8;55.75;6;37.5;-2;0.5;10.0
+;6;47.0;Brodard Augustin;**;9;55.5;6;47.0;0;0.0;9.75

4c;Glaus Martin;***;;;;;;;;;56.75
o;;;Moser Steven;**;;;;;;;8.5
+;5;8.5;Remy Guillaume;**;4;56.75;1;10.0;-4;1.5;10.0
+;6;18.5;Dousse Michel;*;4;56.75;5;18.75;-1;0.25;9.75
+;4;28.25;Gottofrey Marc;**;9;55.5;3;28.5;-1;0.25;10.0
+;3;38.25;Kramer Lario (1998);*;5;56.5;3;38.25;0;0.0;9.75
-;3;48.0;Suppiger Werner;**;6;56.25;4;47.5;1;-0.5;8.75

4d;Schöpfer Dio;;;;;;;;;;56.75
+;;;Burgy Frank;;;;;;;;9.75
+;2;9.75;Heiniger Mickaël;;12;54.75;2;9.75;0;0.0;10.0
o;2;19.75;Cardinaux Victor;*;5;56.5;7;18.25;5;-1.5;8.5
o;4;28.25;Pouye Diey;*;8;55.75;7;27.25;3;-1.0;8.5
+;9;36.75;Torche Bastian;;21;46.75;9;36.75;0;0.0;10.0
+;7;46.75;Zimmermann Mario;*;24;44.75;15;44.75;8;-2.0;10.0

4e;Steinauer Adrian;**;;;;;;;;;56.75
+;;;Guisolan Marc;**;;;;;;;9.75
