3393-2016-06-05_Schaffhauser_Kantonalschwingfest-ST

1a;Forrer Arnold;***;;;;;;;;;58.5
+;9;27.25;Odermatt Michi;;20;52.75;10;27.0;1;-0.25;10.0
+;7;37.25;Gysel Hansruedi;;14;54.75;5;37.75;-2;0.5;9.75
+;6;47.0;Dändliker Shane;;13;55.0;8;46.5;2;-0.5;9.75

7a;Good Marco;*;;;;;;;;;56.5
+;;;Dumelin David;*;;;;;;;9.75
-;2;9.75;Steiner Michael;**;8;56.25;3;8.75;1;-1.0;9.0
+;4;18.75;Keller Dominic;;13;55.0;3;19.5;-1;0.75;10.0
-;3;28.75;Horner Peter;**;5;57.0;5;28.25;2;-0.5;8.75
+;6;37.5;Hungerbühler Marcel;;16;54.25;8;37.0;2;-0.5;10.0
-;4;47.5;Notz Hans;*;9;56.0;6;47.0;2;-0.5;9.0

7b;Oertig Dominik;*;;;;;;;;;56.5
o;;;Oettli Marco;*;;;;;;;8.75
+;3;8.75;Hersche Stefan;;17;54.0;1;10.0;-2;1.25;9.75
+;5;18.5;Stahel Felix;*;6;56.75;5;18.5;0;0.0;9.75
+;5;28.25;Bickel Roman (1998);*;13;55.0;6;28.0;1;-0.25;10.0
+;3;38.25;Steiner Michael;**;8;56.25;5;37.75;2;-0.5;9.75
o;2;48.0;Kindlimann Fabian;***;2;57.75;3;47.75;1;-0.25;8.5

8a;Steiner Michael;**;;;;;;;;;56.25
-;;;Oertig Adrian;**;;;;;;;8.75
-;3;8.75;Good Marco;*;7;56.5;2;9.75;-1;1.0;9.0
+;7;17.75;Junker Nik;;12;55.25;5;18.5;-2;0.75;10.0
+;7;27.75;Ulmann Fabian (1999);;18;53.75;5;28.25;-2;0.5;10.0
o;5;37.75;Oertig Dominik;*;7;56.5;3;38.25;-2;0.5;8.5
+;9;46.25;Pfister Florian;*;11;55.5;7;46.75;-2;0.5;10.0

8b;Oettli Marco;*;;;;;;;;;56.25
+;;;Oertig Dominik;*;;;;;;;10.0
o;1;10.0;Leuppi Samir;**;4;57.25;3;8.75;2;-1.25;8.5
+;5;18.5;Schiess Christian;;21;52.5;5;18.5;0;0.0;10.0
o;4;28.5;Fejzaj Naim;*;4;57.25;5;28.25;1;-0.25;8.75
+;7;37.25;Bickel Roman (1998);*;13;55.0;10;36.5;3;-0.75;10.0
-;5;47.25;Vollenweider Jeremy (1998);*;5;57.0;2;48.0;-3;0.75;9.0

8c;Schwyn Adrian;;;;;;;;;;56.25
+;;;Läng Dominick;;;;;;;;9.75
+;2;9.75;Ulmann Fabian (1999);;18;53.75;2;9.75;0;0.0;9.75
o;3;19.5;Bickel Roman (1998);*;13;55.0;6;18.25;3;-1.25;8.5
+;6;28.0;Räbsamen Marcel (2000);;22;35.5;10;27.0;4;-1.0;9.75
o;5;37.75;Frick Andreas;*;10;55.75;8;37.0;3;-0.75;8.5
+;9;46.25;Inauen Marco (1999);;15;54.5;10;46.0;1;-0.25;10.0

8d;Schnurrenberger Roman;**;;;;;;;;;56.25
+;;;Knechtle Martin;**;;;;;;;10.0
o;1;10.0;Rhyner Michael;**;4;57.25;1;10.0;0;0.0;8.5
+;5;18.5;Pfister Florian;*;11;55.5;4;18.75;-1;0.25;10.0
o;4;28.5;Wickli Beat;**;5;57.0;3;28.75;-1;0.25;8.75
+;7;37.25;Büsser André;;9;56.0;5;37.75;-2;0.5;10.0
-;5;47.25;Holenstein Christian;*;10;55.75;7;46.75;2;-0.5;9.0

9a;Notz Hans;*;;;;;;;;;56.0
+;;;Frauchiger Remo;;;;;;;;10.0
+;1;10.0;Schudel Simon;*;6;56.75;2;9.75;1;-0.25;9.75
o;2;19.75;Forrer Arnold;***;1;58.5;2;19.75;0;0.0;8.5
+;5;28.25;Schuler Martin;;12;55.25;4;28.5;-1;0.25;10.0
-;3;38.25;Baumann Rico;*;11;55.5;3;38.25;0;0.0;8.75
-;6;47.0;Good Marco;*;7;56.5;4;47.5;-2;0.5;9.0

9b;Büsser André;;;;;;;;;;56.0
+;;;Odermatt Michi;;;;;;;;9.75
+;2;9.75;Frei Hanspeter (1999);;14;54.75;2;9.75;0;0.0;9.75
o;3;19.5;Fejzaj Naim;*;4;57.25;6;18.25;3;-1.25;8.5
+;6;28.0;Straub Robin;*;14;54.75;8;27.5;2;-0.5;9.75
o;5;37.75;Schnurrenberger Roman;**;8;56.25;7;37.25;2;-0.5;8.5
+;9;46.25;Gysel Hansruedi;;14;54.75;9;46.25;0;0.0;9.75

9c;Wey Nicola;*;;;;;;;;;56.0
+;;;Dörig Erich;*;;;;;;;10.0
+;1;10.0;Vollenweider Jeremy (1998);*;5;57.0;2;9.75;1;-0.25;9.75
o;2;19.75;Rhyner Michael;**;4;57.25;2;19.75;0;0.0;8.5
-;5;28.25;Keller Lukas;;14;54.75;4;28.5;-1;0.25;9.0
-;7;37.25;Oertig Adrian;**;11;55.5;3;38.25;-4;1.0;8.75
+;10;46.0;Schnyder Christian;;15;54.5;10;46.0;0;0.0;10.0

9d;Vollmeier Sandro;;;;;;;;;;56.0
+;;;Arztmann Beda;;;;;;;;9.75
o;2;9.75;Näf Pius;*;3;57.5;3;8.75;1;-1.0;8.5
o;6;18.25;Keller Lukas;;14;54.75;5;18.5;-1;0.25;8.5
+;11;26.75;Wolfer Lukas;;17;54.0;10;27.0;-1;0.25;9.75
+;10;36.5;Straub Paul;;17;54.0;10;36.5;0;0.0;9.75
+;9;46.25;Ott Dominik;*;13;55.0;9;46.25;0;0.0;9.75

10a;Frick Andreas;*;;;;;;;;;55.75
-;;;Notz Armin;*;;;;;;;8.75
o;3;8.75;Dändliker Shane;;13;55.0;1;10.0;-2;1.25;8.5
+;9;17.25;Odermatt Michi;;20;52.75;5;18.5;-4;1.25;10.0
+;9;27.25;Junker Nik;;12;55.25;10;27.0;1;-0.25;9.75
+;8;37.0;Schwyn Adrian;;8;56.25;5;37.75;-3;0.75;10.0
o;6;47.0;Näf Pius;*;3;57.5;4;47.5;-2;0.5;8.75

10b;Odermatt Christoph;*;;;;;;;;;55.75
-;;;Holenstein Christian;*;;;;;;;8.75
-;3;8.75;Streuli Martin;*;24;34.75;3;8.75;0;0.0;8.75
+;8;17.5;Pfiffner Ivo;;14;54.75;5;18.5;-3;1.0;10.0
+;8;27.5;Blaser Niklas;;10;55.75;5;28.25;-3;0.75;9.75
o;7;37.25;Kamer Hanspeter;*;10;55.75;7;37.25;0;0.0;8.5
+;11;45.75;Poltera Andrin (1999);;17;54.0;12;45.5;1;-0.25;10.0

10c;Blaser Niklas;;;;;;;;;;55.75
+;;;Junker Nik;;;;;;;;10.0
o;1;10.0;Burkhard Patrick;*;12;55.25;3;8.75;2;-1.25;8.5
+;5;18.5;Pianta Christian;;16;54.25;5;18.5;0;0.0;9.75
o;5;28.25;Odermatt Christoph;*;10;55.75;8;27.5;3;-0.75;8.5
+;9;36.75;Reichmuth Beat;;13;55.0;10;36.5;1;-0.25;10.0
-;7;46.75;Knechtle Martin;**;11;55.5;8;46.5;1;-0.25;9.0

10d;Holenstein Christian;*;;;;;;;;;55.75
-;;;Odermatt Christoph;*;;;;;;;8.75
+;3;8.75;Aerne Christian;;16;54.25;3;8.75;0;0.0;10.0
+;4;18.75;Jöhl Christian;*;15;54.5;5;18.5;1;-0.25;9.75
+;4;28.5;Arztmann Beda;;13;55.0;5;28.25;1;-0.25;9.75
o;3;38.25;Leuppi Samir;**;4;57.25;6;37.5;3;-0.75;8.5
-;7;46.75;Schnurrenberger Roman;**;8;56.25;5;47.25;-2;0.5;9.0

10e;Rentsch Christian (1998);;;;;;;;;;55.75
+;;;Blaser Gian (1998);;;;;;;;10.0
+;1;10.0;Schuler Martin;;12;55.25;1;10.0;0;0.0;9.75
o;2;19.75;Burkhard Patrick;*;12;55.25;5;18.5;3;-1.25;8.75
+;4;28.5;Bucher Roland;;12;55.25;5;28.25;1;-0.25;10.0
o;2;38.5;Zbinden Marc;*;5;57.0;8;37.0;6;-1.5;8.5
o;6;47.0;Stahel Felix;*;6;56.75;6;47.0;0;0.0;8.75

10f;Kamer Hanspeter;*;;;;;;;;;55.75
-;;;Näf Pius;*;;;;;;;8.75
-;3;8.75;Leuppi Karim;*;16;54.25;4;8.5;1;-0.25;8.75
+;8;17.5;Wolfer Lukas;;17;54.0;5;18.5;-3;1.0;9.75
+;9;27.25;Reichmuth Beat;;13;55.0;6;28.0;-3;0.75;10.0
+;7;37.25;Odermatt Christoph;*;10;55.75;7;37.25;0;0.0;10.0
o;5;47.25;Fejzaj Naim;*;4;57.25;5;47.25;0;0.0;8.5

11a;Knechtle Martin;**;;;;;;;;;55.5
o;;;Schnurrenberger Roman;**;;;;;;;8.5
-;4;8.5;Kammermann Dominik;;12;55.25;2;9.75;-2;1.25;9.0
+;8;17.5;Hungerbühler Marcel;;16;54.25;5;18.5;-3;1.0;10.0
-;8;27.5;Burkhard Patrick;*;12;55.25;5;28.25;-3;0.75;9.0
+;10;36.5;Jöhl Christian;*;15;54.5;8;37.0;-2;0.5;10.0
-;8;46.5;Blaser Niklas;;10;55.75;7;46.75;-1;0.25;9.0

11b;Baumann Rico;*;;;;;;;;;55.5
+;;;Bickel Roman (1998);*;;;;;;;9.75
+;2;9.75;Surbeck Peter;*;12;55.25;1;10.0;-1;0.25;10.0
o;2;19.75;Bühler Hannes;*;5;57.0;4;18.75;2;-1.0;8.5
+;5;28.25;Inauen Marco (1999);;15;54.5;4;28.5;-1;0.25;10.0
-;3;38.25;Notz Hans;*;9;56.0;3;38.25;0;0.0;8.75
o;6;47.0;Leuppi Samir;**;4;57.25;5;47.25;-1;0.25;8.5

11c;Oertig Adrian;**;;;;;;;;;55.5
-;;;Steiner Michael;**;;;;;;;8.75
+;3;8.75;Brand Andreas;*;12;55.25;1;10.0;-2;1.25;10.0
+;4;18.75;Dumelin David;*;13;55.0;4;18.75;0;0.0;9.75
+;4;28.5;Surbeck Peter;*;12;55.25;5;28.25;1;-0.25;9.75
-;3;38.25;Wey Nicola;*;9;56.0;7;37.25;4;-1.0;8.75
o;6;47.0;Zbinden Marc;*;5;57.0;6;47.0;0;0.0;8.5

11d;Wittenwiler Roman (1998);;;;;;;;;;55.5
+;;;Hungerbühler Marcel;;;;;;;;10.0
o;1;10.0;Wickli Beat;**;5;57.0;3;8.75;2;-1.25;8.5
-;5;18.5;Streuli Martin;*;24;34.75;8;17.5;3;-1.0;8.75
+;9;27.25;Hari Michi;;15;54.5;9;27.25;0;0.0;9.75
+;8;37.0;Brand Andreas;*;12;55.25;8;37.0;0;0.0;10.0
o;6;47.0;Bühler Hannes;*;5;57.0;6;47.0;0;0.0;8.5

11e;Bernold Edi;**;;;;;;;;;55.5
o;;;Fejzaj Naim;*;;;;;;;8.5
+;4;8.5;Reichmuth Beat;;13;55.0;2;9.75;-2;1.25;10.0
+;5;18.5;Hodler Mathias;;15;54.5;1;20.0;-4;1.5;10.0
o;4;28.5;Kindlimann Fabian;***;2;57.75;6;28.0;2;-0.5;8.5
+;8;37.0;Hersche Stefan;;17;54.0;9;36.75;1;-0.25;9.75
o;7;46.75;Horner Peter;**;5;57.0;6;47.0;-1;0.25;8.75

11f;Pfister Florian;*;;;;;;;;;55.5
+;;;Keller Andreas;*;;;;;;;9.75
-;2;9.75;Ammann Rico;*;6;56.75;2;9.75;0;0.0;9.0
o;4;18.75;Schnurrenberger Roman;**;8;56.25;5;18.5;1;-0.25;8.5
+;9;27.25;Pianta Christian;;16;54.25;10;27.0;1;-0.25;9.75
+;8;37.0;Keller Lukas;;14;54.75;7;37.25;-1;0.25;9.75
o;7;46.75;Steiner Michael;**;8;56.25;9;46.25;2;-0.5;8.75

12a;Kammermann Dominik;;;;;;;;;;55.25
+;;;Hauser Simon (1998);;;;;;;;9.75
-;2;9.75;Knechtle Martin;**;11;55.5;4;8.5;2;-1.25;8.75
+;5;18.5;Räbsamen Marcel (2000);;22;35.5;5;18.5;0;0.0;9.75
o;5;28.25;Näf Pius;*;3;57.5;8;27.5;3;-0.75;8.5
+;9;36.75;Ulmann Fabian (1999);;18;53.75;9;36.75;0;0.0;10.0
o;7;46.75;Eugster Ruedi;**;5;57.0;6;47.0;-1;0.25;8.5

12b;Bucher Roland;;;;;;;;;;55.25
+;;;Schäfli Severin;;;;;;;;10.0
o;1;10.0;Zbinden Marc;*;5;57.0;3;8.75;2;-1.25;8.5
+;5;18.5;Schudel Simon;*;6;56.75;5;18.5;0;0.0;9.75
o;5;28.25;Rentsch Christian (1998);;10;55.75;4;28.5;-1;0.25;8.5
-;9;36.75;Schwyn Patrick (1999);;12;55.25;9;36.75;0;0.0;8.75
+;12;45.5;Hersche Stefan;;17;54.0;13;45.25;1;-0.25;9.75

12c;Junker Nik;;;;;;;;;;55.25
o;;;Blaser Niklas;;;;;;;;8.5
+;4;8.5;Ott Matthias (1999);;27;34.0;4;8.5;0;0.0;10.0
o;5;18.5;Steiner Michael;**;8;56.25;7;17.75;2;-0.75;8.5
o;10;27.0;Frick Andreas;*;10;55.75;9;27.25;-1;0.25;8.5
+;14;35.5;Winzeler Dominik (2000);;17;54.0;14;35.5;0;0.0;10.0
+;12;45.5;Bürgler Patrick;;17;54.0;12;45.5;0;0.0;9.75

12d;Burkhard Patrick;*;;;;;;;;;55.25
-;;;Rütsche Stefan;*;;;;;;;8.75
+;3;8.75;Blaser Niklas;;10;55.75;1;10.0;-2;1.25;9.75
+;5;18.5;Rentsch Christian (1998);;10;55.75;2;19.75;-3;1.25;9.75
-;5;28.25;Knechtle Martin;**;11;55.5;8;27.5;3;-0.75;8.75
o;8;37.0;Vestner Roman;*;4;57.25;6;37.5;-2;0.5;8.5
+;12;45.5;Vogel Thomas;;15;54.5;11;45.75;-1;0.25;9.75

12e;Schuler Martin;;;;;;;;;;55.25
+;;;Bürgler Patrick;;;;;;;;10.0
o;1;10.0;Rentsch Christian (1998);;10;55.75;1;10.0;0;0.0;8.5
+;5;18.5;Elmer Daniel;*;25;34.5;8;17.5;3;-1.0;10.0
o;4;28.5;Notz Hans;*;9;56.0;5;28.25;1;-0.25;8.5
o;8;37.0;Horner Peter;**;5;57.0;8;37.0;0;0.0;8.5
+;12;45.5;Hodler Mathias;;15;54.5;10;46.0;-2;0.5;9.75

12f;Surbeck Peter;*;;;;;;;;;55.25
+;;;Elmer Daniel;*;;;;;;;10.0
o;1;10.0;Baumann Rico;*;11;55.5;2;9.75;1;-0.25;8.5
+;5;18.5;Schnurrenberger Roger;;23;35.25;6;18.25;1;-0.25;9.75
o;5;28.25;Oertig Adrian;**;11;55.5;4;28.5;-1;0.25;8.5
-;9;36.75;Pfleghart Remo;;14;54.75;8;37.0;-1;0.25;8.75
+;12;45.5;Leuppi Karim;*;16;54.25;12;45.5;0;0.0;9.75

12g;Akeret Benno;*;;;;;;;;;55.25
+;;;Bäbler Dominik;*;;;;;;;9.75
o;2;9.75;Kindlimann Fabian;***;2;57.75;4;8.5;2;-1.25;8.5
+;6;18.25;Hersche Stefan;;17;54.0;5;18.5;-1;0.25;10.0
-;5;28.25;Rütsche Stefan;*;15;54.5;4;28.5;-1;0.25;8.75
o;8;37.0;Stahel Felix;*;6;56.75;7;37.25;-1;0.25;8.5
+;12;45.5;Bill Ruedi;;18;53.75;13;45.25;1;-0.25;9.75

12h;Schwyn Patrick (1999);;;;;;;;;;55.25
+;;;Bill Ruedi;;;;;;;;10.0
+;1;10.0;Sieber Marc (2000);;21;52.5;1;10.0;0;0.0;9.75
o;2;19.75;Rütsche Stefan;*;15;54.5;4;18.75;2;-1.0;8.5
o;5;28.25;Vogel Thomas;;15;54.5;9;27.25;4;-1.0;8.5
-;9;36.75;Bucher Roland;;12;55.25;9;36.75;0;0.0;8.75
+;12;45.5;Schiess Christian;;21;52.5;18;44.0;6;-1.5;9.75

12i;Brand Andreas;*;;;;;;;;;55.25
+;;;Rüegg Roman;*;;;;;;;10.0
o;1;10.0;Oertig Adrian;**;11;55.5;3;8.75;2;-1.25;8.5
o;5;18.5;Wickli Beat;**;5;57.0;4;18.75;-1;0.25;8.5
+;10;27.0;Schoch René (1999);;23;35.25;11;26.75;1;-0.25;10.0
o;8;37.0;Wittenwiler Roman (1998);;11;55.5;8;37.0;0;0.0;8.5
+;12;45.5;Furrer Damian (1998);;17;54.0;12;45.5;0;0.0;9.75

13a;Dumelin David;*;;;;;;;;;55.0
o;;;Good Marco;*;;;;;;;8.75
+;3;8.75;Schönenberger Christian;;17;54.0;3;8.75;0;0.0;10.0
o;4;18.75;Oertig Adrian;**;11;55.5;4;18.75;0;0.0;8.5
-;9;27.25;Pfiffner Ivo;;14;54.75;10;27.0;1;-0.25;9.0
+;11;36.25;Läng Dominick;;19;53.0;12;36.0;1;-0.25;10.0
o;9;46.25;Wickli Beat;**;5;57.0;6;47.0;-3;0.75;8.75

13b;Arztmann Beda;;;;;;;;;;55.0
o;;;Vollmeier Sandro;;;;;;;;8.5
+;4;8.5;Schmucki Ivo;;20;52.75;4;8.5;0;0.0;9.75
+;6;18.25;Dörig Erich;*;26;34.25;10;17.0;4;-1.25;10.0
o;5;28.25;Holenstein Christian;*;10;55.75;4;28.5;-1;0.25;8.5
o;9;36.75;Bühler Hannes;*;5;57.0;8;37.0;-1;0.25;8.5
+;13;45.25;Oertig Simon;;17;54.0;12;45.5;-1;0.25;9.75

13c;Dändliker Shane;;;;;;;;;;55.0
+;;;Schoch René (1999);;;;;;;;10.0
+;1;10.0;Frick Andreas;*;10;55.75;3;8.75;2;-1.25;9.75
o;2;19.75;Zbinden Marc;*;5;57.0;4;18.75;2;-1.0;8.5
+;5;28.25;Oertig Simon;;17;54.0;5;28.25;0;0.0;9.75
o;4;38.0;Näf Pius;*;3;57.5;6;37.5;2;-0.5;8.5
o;8;46.5;Ammann Rico;*;6;56.75;6;47.0;-2;0.5;8.5

13d;Reichmuth Beat;;;;;;;;;;55.0
+;;;Riedi Thomas;;;;;;;;9.75
o;2;9.75;Bernold Edi;**;11;55.5;4;8.5;2;-1.25;8.5
+;6;18.25;Knup Stephan;;23;35.25;6;18.25;0;0.0;9.75
o;6;28.0;Kamer Hanspeter;*;10;55.75;9;27.25;3;-0.75;8.5
o;10;36.5;Blaser Niklas;;10;55.75;9;36.75;-1;0.25;8.5
+;14;45.0;Schmucki Ivo;;20;52.75;17;44.25;3;-0.75;10.0

13e;Keller Dominic;;;;;;;;;;55.0
+;;;Schmucki Ivo;;;;;;;;9.75
+;2;9.75;Ueltschi Patric;*;19;53.0;4;8.5;2;-1.25;9.75
o;3;19.5;Good Marco;*;7;56.5;4;18.75;1;-0.75;8.5
-;6;28.0;Hodler Mathias;;15;54.5;4;28.5;-2;0.5;8.75
+;9;36.75;Bill Ruedi;;18;53.75;9;36.75;0;0.0;9.75
o;8;46.5;Vestner Roman;*;4;57.25;5;47.25;-3;0.75;8.5

13f;Ott Dominik;*;;;;;;;;;55.0
-;;;Stahel Felix;*;;;;;;;8.75
-;3;8.75;Danner Daniel;;14;54.75;3;8.75;0;0.0;8.75
+;8;17.5;Schönenberger Philipp;;26;34.25;9;17.25;1;-0.25;10.0
+;8;27.5;Ueltschi Patric;*;19;53.0;10;27.0;2;-0.5;9.75
-;7;37.25;Inauen Marco (1999);;15;54.5;8;37.0;1;-0.25;9.0
o;9;46.25;Vollmeier Sandro;;9;56.0;9;46.25;0;0.0;8.75

13g;Bickel Roman (1998);*;;;;;;;;;55.0
o;;;Baumann Rico;*;;;;;;;8.5
+;4;8.5;Straub Paul;;17;54.0;2;9.75;-2;1.25;9.75
+;6;18.25;Schwyn Adrian;;8;56.25;3;19.5;-3;1.25;9.75
