4114-2018-05-27_99_Luzerner_Kant_Schwingfest-ST

1a;Fankhauser Reto;**;;;;;;;;;111.25
-;6;8.75;Muff Armin;**;13;55.75;7;8.5;1;-0.25;8.75
+;11;17.5;Bühlmann Daniel (2000);;17;54.75;8;18.5;-3;1.0;10.0
+;12;27.5;Wigger Simon;;15;55.25;9;28.25;-3;0.75;10.0
-;10;37.5;Suppiger Thomas;*;16;55.0;10;37.5;0;0.0;8.75
+;13;46.25;Hirsiger Alexander;*;16;55.0;12;46.5;-1;0.25;9.75

12l;Zgraggen Fabian;*;;;;;;;;;56.0
-;;;Zimmermann Daniel;*;;;;;;;8.75
-;6;8.75;Gut Koni;;13;55.75;4;9.75;-2;1.0;8.75
+;11;17.5;Thalmann Adrian;;2;91.25;1;37.0;-10;19.5;10.0
+;12;27.5;Imfeld Beat;;30;36.75;9;28.25;-3;0.75;10.0
o;10;37.5;von Ah Benji;***;26;47.75;8;38.0;-2;0.5;8.5
+;14;46.0;Vogel Manuel;;18;54.5;14;46.0;0;0.0;10.0

13a;Huber Alex;*;;;;;;;;;55.75
-;;;Stucki Christian;*;;;;;;;8.75
-;6;8.75;Kurmann Toni;*;16;55.0;6;8.75;0;0.0;8.75
+;11;17.5;Theiler Thomas;;32;35.5;8;18.5;-3;1.0;10.0
+;12;27.5;Scherrer Fabian (2002);;16;55.0;9;28.25;-3;0.75;9.75
o;11;37.25;Thalmann Thomas;*;8;57.0;10;37.5;-1;0.25;8.5
+;15;45.75;Odermatt Andreas;;20;54.0;16;45.5;1;-0.25;10.0

13b;Achermann Simon;;;;;;;;;;55.75
+;;;Kunz Gian Luca (2001);;;;;;;;10.0
o;3;10.0;Fink Bruno;*;9;56.75;7;8.5;4;-1.5;8.5
+;8;18.5;Huser Christian (2000);;16;55.0;9;18.25;1;-0.25;10.0
-;8;28.5;Arnold Fabian;*;11;56.25;10;28.0;2;-0.5;8.75
o;11;37.25;Linggi Bruno;**;10;56.5;12;37.0;1;-0.25;8.5
+;15;45.75;Egli Christian (2000);;20;54.0;16;45.5;1;-0.25;10.0

13c;Gäggeler Adrian;*;;;;;;;;;55.75
-;;;Bachmann Roger;*;;;;;;;8.75
-;6;8.75;Hirsiger Alexander;*;16;55.0;6;8.75;0;0.0;8.75
+;11;17.5;Gloggner Elias (2002);;32;35.5;8;18.5;-3;1.0;10.0
+;12;27.5;Troxler Jonas (2000);;14;55.5;9;28.25;-3;0.75;9.75
o;11;37.25;Doppmann Urs;*;12;56.0;11;37.25;0;0.0;8.5
+;15;45.75;Wicki David;;18;54.5;14;46.0;-1;0.25;10.0

13d;Wüest David (2000);;;;;;;;;;55.75
+;;;Egli Adrian (2002);;;;;;;;10.0
+;3;10.0;Kurmann Jvo;;15;55.25;4;9.75;1;-0.25;9.75
o;4;19.75;Arnold Stefan;**;8;57.0;8;18.5;4;-1.25;8.5
-;9;28.25;Villiger Cyrill;*;28;46.0;11;27.75;2;-0.5;9.0
-;11;37.25;Durrer Nando;*;17;54.75;12;37.0;1;-0.25;8.75
+;14;46.0;Wicki David;;18;54.5;14;46.0;0;0.0;9.75

13e;Gwerder Guido;**;;;;;;;;;55.75
o;;;Egli Damian;**;;;;;;;8.5
-;7;8.5;Stucki Christian;*;14;55.5;6;8.75;-1;0.25;9.0
+;11;17.5;Widmer Simon;;18;54.5;8;18.5;-3;1.0;10.0
+;12;27.5;Wicki Kevin;;19;54.25;8;28.5;-4;1.0;10.0
+;10;37.5;Kurmann Toni;*;16;55.0;10;37.5;0;0.0;9.75
o;9;47.25;Gloggner Philipp;***;6;57.75;6;48.0;-3;0.75;8.5

13f;Gut Koni;;;;;;;;;;55.75
+;;;Theiler Thomas;;;;;;;;9.75
-;4;9.75;Zgraggen Fabian;*;12;56.0;6;8.75;2;-1.0;8.75
+;8;18.5;Johann Michael (2001);;33;35.25;9;18.25;1;-0.25;10.0
-;8;28.5;Hofmann Florian;**;19;54.25;10;28.0;2;-0.5;8.75
+;11;37.25;Stadelmann Pius;*;18;54.5;17;35.75;6;-1.5;9.75
-;10;47.0;Ottiger Lukas;;14;55.5;10;47.0;0;0.0;8.75

13g;Gerber Peter;*;;;;;;;;;55.75
o;;;Schürpf Bruno;*;;;;;;;8.5
-;7;8.5;Zimmermann Martin;**;9;56.75;6;8.75;-1;0.25;8.75
+;12;17.25;Achermann Christian (2002);;15;55.25;8;18.5;-4;1.25;10.0
-;13;27.25;Gander Martin;;18;54.5;8;28.5;-5;1.25;9.0
+;15;36.25;Huser Christian (2000);;16;55.0;14;36.5;-1;0.25;9.75
+;14;46.0;Arnold Andreas;*;17;54.75;14;46.0;0;0.0;9.75

13h;Bissig Fabian;;;;;;;;;;55.75
+;;;Ming Christian 2;;;;;;;;10.0
-;3;10.0;Barmet Sven;;14;55.5;4;9.75;1;-0.25;8.75
o;7;18.75;Schmidiger Marco;*;9;56.75;9;18.25;2;-0.5;8.5
o;13;27.25;Müller Roger;*;14;55.5;14;27.0;1;-0.25;8.5
+;17;35.75;Wyss Christian;;24;53.0;17;35.75;0;0.0;10.0
+;15;45.75;Scherer Niklaus;*;20;54.0;16;45.5;1;-0.25;10.0

13i;Felder Seppi;*;;;;;;;;;55.75
-;;;Zimmermann Simon;**;;;;;;;8.75
+;6;8.75;Rüttimann Daniel;;18;54.5;4;9.75;-2;1.0;9.75
+;8;18.5;Hurschler Michael;;19;54.25;4;19.75;-4;1.25;10.0
o;8;28.5;von Ah Benji;***;26;47.75;9;28.25;1;-0.25;8.5
+;12;37.0;Durrer Ueli;;18;54.5;11;37.25;-1;0.25;9.75
-;11;46.75;Zurﬂuh Michael;*;12;56.0;10;47.0;-1;0.25;9.0

13j;Baumann Lukas;;;;;;;;;;55.75
-;;;Bühlmann Daniel (2000);;;;;;;;8.75
+;6;8.75;Kunz Gian Luca (2001);;32;35.5;7;8.5;1;-0.25;10.0
o;7;18.75;Scherer Niklaus;*;20;54.0;9;18.25;2;-0.5;8.75
o;12;27.5;Fink Bruno;*;9;56.75;14;27.0;2;-0.5;8.5
+;16;36.0;Banz Matthias (2001);;19;54.25;17;35.75;1;-0.25;10.0
+;14;46.0;Elmiger Andreas;;18;54.5;14;46.0;0;0.0;9.75

13k;Odermatt Christian;**;;;;;;;;;55.75
-;;;Suppiger Werner;**;;;;;;;8.75
-;6;8.75;Thalmann Thomas;*;8;57.0;5;9.0;-1;0.25;8.75
+;11;17.5;Barmet Sven;;14;55.5;8;18.5;-3;1.0;9.75
+;13;27.25;Portmann Roger;;16;55.0;10;28.0;-3;0.75;10.0
o;11;37.25;Muff Armin;**;13;55.75;11;37.25;0;0.0;8.5
+;15;45.75;Bussmann Martin;;21;53.75;17;45.25;2;-0.5;10.0

13l;Muff Armin;**;;;;;;;;;55.75
o;;;Michel Jonas;*;;;;;;;8.5
-;7;8.5;Zimmermann Simon;**;12;56.0;6;8.75;-1;0.25;8.75
+;12;17.25;Rohrer Timo (2001);;22;53.5;9;18.25;-3;1.0;10.0
+;13;27.25;Gwerder Marco;;16;55.0;10;28.0;-3;0.75;10.0
+;11;37.25;Odermatt Christian;**;13;55.75;11;37.25;0;0.0;9.75
o;10;47.0;Schmidiger Marco;*;9;56.75;10;47.0;0;0.0;8.75

14a;Giger Janik (2002);;;;;;;;;;55.5
o;;;Suter Samuel;;;;;;;;8.5
o;7;8.5;Zanini David (2000);;19;54.25;6;8.75;-1;0.25;8.5
+;13;17.0;Rust Silvio (2001);;37;34.0;13;17.0;0;0.0;10.0
+;14;27.0;Egli Matthias (2001);;33;35.25;15;26.75;1;-0.25;10.0
o;12;37.0;Wyss Sven (2001);;14;55.5;12;37.0;0;0.0;8.5
+;16;45.5;Suter Raphael (2000);;20;54.0;16;45.5;0;0.0;10.0

14b;Bucher Christian;*;;;;;;;;;55.5
o;;;Fankhauser Reto;**;;;;;;;8.5
o;7;8.5;Ottiger Lukas;;14;55.5;3;10.0;-4;1.5;8.5
+;13;17.0;Stäger Franz (2000);;15;55.25;9;18.25;-4;1.25;10.0
-;14;27.0;Heiniger Luca;;18;54.5;9;28.25;-5;1.25;9.0
+;16;36.0;Schwyzer Samuel (2001);;20;54.0;12;37.0;-4;1.0;9.75
+;15;45.75;Schnider Markus;*;19;54.25;15;45.75;0;0.0;9.75

14c;Lemmenmeier Lukas;*;;;;;;;;;55.5
o;;;Arnold Fabian;*;;;;;;;8.75
o;6;8.75;Wüthrich Philip;*;16;55.0;4;9.75;-2;1.0;8.5
+;12;17.25;Wicki Fabian (2001);;32;35.5;8;18.5;-4;1.25;9.75
+;14;27.0;Vogel Manuel;;18;54.5;12;27.5;-2;0.5;10.0
o;12;37.0;Lussi Marco;*;9;56.75;12;37.0;0;0.0;8.75
+;15;45.75;Bienz Romeo;;19;54.25;15;45.75;0;0.0;9.75

14d;Ottiger Lukas;;;;;;;;;;55.5
+;;;Zimmermann Raffael (2000);;;;;;;;10.0
+;3;10.0;Bucher Christian;*;14;55.5;7;8.5;4;-1.5;10.0
-;3;20.0;Fessler Linus;**;16;55.0;7;18.75;4;-1.25;8.75
o;7;28.75;Arnold Stefan;**;8;57.0;9;28.25;2;-0.5;8.5
+;11;37.25;Odermatt Andreas;;20;54.0;12;37.0;1;-0.25;9.75
-;10;47.0;Gut Koni;;13;55.75;10;47.0;0;0.0;8.5

14e;Kaufmann Reto (2002);;;;;;;;;;55.5
+;;;Fischer Markus (2000);;;;;;;;10.0
o;3;10.0;Portmann Roger;;16;55.0;4;9.75;1;-0.25;8.75
o;7;18.75;Arnold Fabian;*;11;56.25;9;18.25;2;-0.5;8.5
+;13;27.25;Müller Mathias;;32;35.5;14;27.0;1;-0.25;10.0
o;11;37.25;Bachmann Roger;*;15;55.25;14;36.5;3;-0.75;8.5
+;15;45.75;Zanini David (2000);;19;54.25;15;45.75;0;0.0;9.75

14f;Wyss Sven (2001);;;;;;;;;;55.5
+;;;von Rickenbach Pirmin (2002);;;;;;;;10.0
+;3;10.0;Ulrich Damian;;33;35.25;4;9.75;1;-0.25;10.0
o;3;20.0;Fankhauser Reto;**;1;111.25;2;36.75;-1;16.75;8.5
o;8;28.5;Amgarten Martin;*;10;56.5;9;28.25;1;-0.25;8.5
+;12;37.0;Giger Janik (2002);;14;55.5;12;37.0;0;0.0;10.0
o;10;47.0;Inderbitzin Daniel;*;10;56.5;11;46.75;1;-0.25;8.5

14g;Durrer Robin;;;;;;;;;;55.5
+;;;Huser Tobias (2002);;;;;;;;10.0
+;3;10.0;Wicki David (2002);;33;35.25;4;9.75;1;-0.25;10.0
o;3;20.0;Heiniger Marco;*;9;56.75;8;18.5;5;-1.5;8.5
-;8;28.5;Stadelmann Pius;*;18;54.5;14;27.0;6;-1.5;8.75
o;11;37.25;Muff André;*;7;57.25;11;37.25;0;0.0;8.5
+;15;45.75;Doppmann Ueli;;18;54.5;14;46.0;-1;0.25;9.75

14h;Müller Roger;*;;;;;;;;;55.5
o;;;Rohrer Ueli;*;;;;;;;8.5
o;7;8.5;Scherer Niklaus;*;20;54.0;7;8.5;0;0.0;8.5
+;13;17.0;Lampart Valentin (2000);;21;53.75;9;18.25;-4;1.25;10.0
+;14;27.0;Bissig Fabian;;13;55.75;13;27.25;-1;0.25;10.0
+;12;37.0;Waser Dominik;**;14;55.5;12;37.0;0;0.0;10.0
o;10;47.0;Arnold Stefan;**;8;57.0;10;47.0;0;0.0;8.5

14i;Lang Julian;;;;;;;;;;55.5
+;;;Stäger Franz (2000);;;;;;;;9.75
+;4;9.75;Johann Michael (2001);;33;35.25;4;9.75;0;0.0;10.0
o;4;19.75;Portmann Josef;*;10;56.5;8;18.5;4;-1.25;8.5
o;9;28.25;Doppmann Urs;*;12;56.0;12;27.5;3;-0.75;8.5
+;13;36.75;Achermann Christian (2002);;15;55.25;13;36.75;0;0.0;10.0
o;11;46.75;Thalmann Thomas;*;8;57.0;9;47.25;-2;0.5;8.75

14j;Vogel Marcel;;;;;;;;;;55.5
+;;;Ziegler Manuel;;;;;;;;10.0
o;3;10.0;Achermann Christoph;*;15;55.25;7;8.5;4;-1.5;8.5
o;8;18.5;Thalmann Adrian;;2;91.25;1;37.0;-7;18.5;8.5
+;14;27.0;Hurschler Adrian;;18;54.5;13;27.25;-1;0.25;10.0
o;12;37.0;Schürpf Bruno;*;12;56.0;12;37.0;0;0.0;8.5
+;16;45.5;Wicki Kevin;;19;54.25;15;45.75;-1;0.25;10.0

14k;Stucki Christian;*;;;;;;;;;55.5
-;;;Huber Alex;*;;;;;;;8.75
-;6;8.75;Gwerder Guido;**;13;55.75;7;8.5;1;-0.25;8.75
+;11;17.5;Broch Marcel (2002);;32;35.5;8;18.5;-3;1.0;10.0
-;12;27.5;Bienz Romeo;;19;54.25;10;28.0;-2;0.5;9.0
-;14;36.5;Gander Michael;;15;55.25;11;37.25;-3;0.75;9.0
+;16;45.5;Achermann Daniel;;17;54.75;13;46.25;-3;0.75;10.0

14l;Suter Samuel;;;;;;;;;;55.5
+;;;Giger Janik (2002);;;;;;;;10.0
+;3;10.0;Achermann Christian (2002);;15;55.25;3;10.0;0;0.0;10.0
o;3;20.0;Muff André;*;7;57.25;7;18.75;4;-1.25;8.5
o;8;28.5;Thalmann Thomas;*;8;57.0;12;27.5;4;-1.0;8.5
-;12;37.0;Egli Christian (2000);;20;54.0;13;36.75;1;-0.25;8.75
+;15;45.75;Zwyer Simon;;21;53.75;17;45.25;2;-0.5;9.75

14m;Fassbind René;*;;;;;;;;;55.5
+;;;Scherer Niklaus;*;;;;;;;9.75
o;4;9.75;Gloggner Philipp;***;6;57.75;7;8.5;3;-1.25;8.5
+;9;18.25;Wyss Christian;;24;53.0;8;18.5;-1;0.25;10.0
-;9;28.25;Schmidiger Marco;*;9;56.75;9;28.25;0;0.0;8.75
o;12;37.0;Ambühl Joel;*;8;57.0;11;37.25;-1;0.25;8.5
+;16;45.5;Widmer Dominik;;19;54.25;15;45.75;-1;0.25;10.0

14n;Egli Damian;**;;;;;;;;;55.5
+;;;Gwerder Guido;**;;;;;;;9.75
o;4;9.75;Waser Dominik;**;14;55.5;4;9.75;0;0.0;8.5
+;9;18.25;Gisler Jonas (2001);;18;54.5;7;18.75;-2;0.5;9.75
+;10;28.0;Schuler Koni;;20;54.0;8;28.5;-2;0.5;10.0
-;8;38.0;Arnold Stefan;**;8;57.0;7;38.25;-1;0.25;8.75
-;11;46.75;Fankhauser Reto;*;1;111.25;1;93.75;-10;47.0;8.75

14o;Waser Dominik;**;;;;;;;;;55.5
+;;;Fellmann Roman;*;;;;;;;9.75
+;4;9.75;Egli Damian;**;14;55.5;4;9.75;0;0.0;10.0
o;4;19.75;Schurtenberger Sven;***;4;58.25;3;20.0;-1;0.25;8.5
o;9;28.25;Portmann Fabian;;27;46.75;4;29.75;-5;1.5;8.75
o;12;37.0;Müller Roger;*;14;55.5;12;37.0;0;0.0;8.5
+;16;45.5;Widmer Simon;;18;54.5;14;46.0;-2;0.5;10.0

14p;Ming Christian 2;;;;;;;;;;55.5
o;;;Bissig Fabian;;;;;;;;8.5
+;7;8.5;Grüter Marcel;;19;54.25;5;9.0;-2;0.5;10.0
o;8;18.5;Doppmann Urs;*;12;56.0;11;17.5;3;-1.0;8.5
+;14;27.0;Johann Michael (2001);;33;35.25;15;26.75;1;-0.25;10.0
o;12;37.0;Michel Jonas;*;9;56.75;12;37.0;0;0.0;8.5
+;16;45.5;Schuler Koni;;20;54.0;16;45.5;0;0.0;10.0

14q;Barmet Sven;;;;;;;;;;55.5
+;;;Stutzer Michael;;;;;;;;9.75
-;4;9.75;Bissig Fabian;;13;55.75;3;10.0;-1;0.25;8.75
o;8;18.5;Odermatt Christian;**;13;55.75;11;17.5;3;-1.0;8.5
+;14;27.0;Broch Marcel (2002);;32;35.5;14;27.0;0;0.0;10.0
+;12;37.0;Villiger Cyrill;*;28;46.0;15;36.25;3;-0.75;10.0
o;10;47.0;Gwerder Michael (2000);*;9;56.75;10;47.0;0;0.0;8.5

14r;Troxler Jonas (2000);;;;;;;;;;55.5
+;;;Marti Pirmin (2001);;;;;;;;10.0
o;3;10.0;Gwerder Michael (2000);*;9;56.75;5;9.0;2;-1.0;8.5
+;8;18.5;Egli Matthias (2001);;33;35.25;9;18.25;1;-0.25;9.75
o;9;28.25;Gäggeler Adrian;*;13;55.75;12;27.5;3;-0.75;8.75
o;12;37.0;Zürcher Ueli (2000);;12;56.0;12;37.0;0;0.0;8.5
+;16;45.5;Fischer Markus (2000);;20;54.0;16;45.5;0;0.0;10.0

15a;Kurmann Jvo;;;;;;;;;;55.25
+;;;Riedi Rafael (2002);;;;;;;;9.75
o;4;9.75;Wüest David (2000);;13;55.75;3;10.0;-1;0.25;8.5
o;9;18.25;Wyss Kilian;**;15;55.25;13;17.0;4;-1.25;8.5
+;15;26.75;Gemsch Stefan;;33;35.25;15;26.75;0;0.0;10.0
+;13;36.75;Schuler Koni;;20;54.0;12;37.0;-1;0.25;10.0
o;11;46.75;Wyrsch Marco;**;8;57.0;10;47.0;-1;0.25;8.5

15b;Moos Christoph;*;;;;;;;;;55.25
o;;;Schmidiger Marco;*;;;;;;;8.5
+;7;8.5;Achermann Christoph;*;15;55.25;7;8.5;0;0.0;10.0
o;8;18.5;Stöckli Damian;;8;57.0;3;20.0;-5;1.5;8.5
+;14;27.0;Vogel Laurin (2002);;20;54.0;13;27.25;-1;0.25;9.75
+;13;36.75;Hofmann Florian;**;19;54.25;13;36.75;0;0.0;10.0
o;11;46.75;Fink Bruno;*;9;56.75;11;46.75;0;0.0;8.5

15c;Achermann Christoph;*;;;;;;;;;55.25
o;;;Moos Christoph;*;;;;;;;8.5
+;7;8.5;Vogel Marcel;;14;55.5;3;10.0;-4;1.5;9.75
+;9;18.25;Birchler Fabian (2000);;21;53.75;7;18.75;-2;0.5;9.75
+;10;28.0;Keller Janik;*;31;36.0;12;27.5;2;-0.5;9.75
o;9;37.75;Ulrich Andreas;***;7;57.25;10;37.5;1;-0.25;8.5
-;13;46.25;Gander Michael;;15;55.25;13;46.25;0;0.0;9.0

15d;Bachmann Roger;*;;;;;;;;;55.25
-;;;Gäggeler Adrian;*;;;;;;;8.75
-;6;8.75;Villiger Cyrill;*;28;46.0;6;8.75;0;0.0;8.75
-;11;17.5;Spichtig Aldo;;17;54.75;8;18.5;-3;1.0;9.0
+;16;26.5;Grüter Marcel;;19;54.25;12;27.5;-4;1.0;10.0
+;14;36.5;Kaufmann Reto (2002);;14;55.5;11;37.25;-3;0.75;10.0
o;12;46.5;Steinauer Adrian;**;9;56.75;11;46.75;-1;0.25;8.75

15e;Gander Michael;;;;;;;;;;55.25
-;;;Bühler Patrice;;;;;;;;8.75
+;6;8.75;Kottmann Jonas (2000);;21;53.75;7;8.5;1;-0.25;10.0
o;7;18.75;Thierstein Marco;*;8;57.0;9;18.25;2;-0.5;8.5
+;13;27.25;Kammermann Dominik;;21;53.75;13;27.25;0;0.0;10.0
-;11;37.25;Stucki Christian;*;14;55.5;14;36.5;3;-0.75;9.0
-;13;46.25;Achermann Christoph;*;15;55.25;13;46.25;0;0.0;9.0

15f;Wigger Simon;;;;;;;;;;55.25
+;;;Burri Ueli;;;;;;;;10.0
o;3;10.0;Ambühl Joel;*;8;57.0;7;8.5;4;-1.5;8.5
+;8;18.5;Steinger Nico (2001);;33;35.25;9;18.25;1;-0.25;9.75
o;9;28.25;Zimmermann Simon;**;12;56.0;12;27.5;3;-0.75;8.5
+;13;36.75;Lampart Valentin (2000);;21;53.75;13;36.75;0;0.0;10.0
o;11;46.75;Lussi Marco;*;9;56.75;10;47.0;-1;0.25;8.5

15g;Stäger Franz (2000);;;;;;;;;;55.25
o;;;Lang Julian;;;;;;;;8.5
+;7;8.5;Riedi Rafael (2002);;32;35.5;7;8.5;0;0.0;9.75
o;9;18.25;Bucher Christian;*;14;55.5;13;17.0;4;-1.25;8.5
+;15;26.75;Stutzer Michael;;32;35.5;15;26.75;0;0.0;10.0
+;13;36.75;Klauser Nico;;16;55.0;13;36.75;0;0.0;10.0
o;11;46.75;Muff André;*;7;57.25;9;47.25;-2;0.5;8.5

15h;Beffa Mario;;;;;;;;;;55.25
+;;;Vogel Manuel;;;;;;;;9.75
o;4;9.75;Zurﬂuh Roman;**;10;56.5;4;9.75;0;0.0;8.5
+;9;18.25;Wicki David (2002);;33;35.25;9;18.25;0;0.0;9.75
-;10;28.0;Wyrsch Silvio;*;18;54.5;14;27.0;4;-1.0;8.75
+;13;36.75;Zgraggen Peter;;16;55.0;13;36.75;0;0.0;9.75
-;12;46.5;Widmer Adrian;*;12;56.0;9;47.25;-3;0.75;8.75

15i;Achermann Christian (2002);;;;;;;;;;55.25
+;;;Birrer David (2002);;;;;;;;10.0
o;3;10.0;Suter Samuel;;14;55.5;3;10.0;0;0.0;8.5
o;8;18.5;Gerber Peter;*;13;55.75;12;17.25;4;-1.25;8.5
+;14;27.0;Krummenacher Roman;;34;34.75;18;26.0;4;-1.0;9.75
o;13;36.75;Lang Julian;;14;55.5;13;36.75;0;0.0;8.5
+;17;45.25;Lampart Valentin (2000);;21;53.75;17;45.25;0;0.0;10.0

15j;Murpf Dario;;;;;;;;;;55.25
+;;;Spichtig Aldo;;;;;;;;9.75
o;4;9.75;Zumstein Patrick;;27;46.75;4;9.75;0;0.0;8.5
+;9;18.25;Ulrich Damian;;33;35.25;9;18.25;0;0.0;10.0
o;9;28.25;Suppiger Thomas;*;16;55.0;11;27.75;2;-0.5;8.5
o;13;36.75;Thierstein Marco;*;8;57.0;12;37.0;-1;0.25;8.5
+;17;45.25;Schwyzer Samuel (2001);;20;54.0;16;45.5;-1;0.25;10.0

15k;Fellmann Simon;;;;;;;;;;55.25
+;;;Von Euw Adi;;;;;;;;10.0
+;3;10.0;Achermann Daniel;;17;54.75;4;9.75;1;-0.25;9.75
o;4;19.75;Kälin Roland;**;8;57.0;8;18.5;4;-1.25;8.5
o;9;28.25;Kurmann Toni;*;16;55.0;12;27.5;3;-0.75;8.5
+;13;36.75;Zwyer Simon;;21;53.75;13;36.75;0;0.0;9.75
o;12;46.5;Zurﬂuh Roman;**;10;56.5;11;46.75;-1;0.25;8.75

15l;Wyss Kilian;**;;;;;;;;;55.25
o;;;Zurﬂuh Roman;**;;;;;;;8.5
o;7;8.5;Portmann Josef;*;10;56.5;7;8.5;0;0.0;8.5
+;13;17.0;Kurmann Jvo;;15;55.25;9;18.25;-4;1.25;9.75
+;15;26.75;Fallegger Joel;;18;54.5;11;27.75;-4;1.0;10.0
+;13;36.75;Bühler Kilian (2000);;12;56.0;10;37.5;-3;0.75;10.0
o;11;46.75;Suppiger Werner;**;8;57.0;9;47.25;-2;0.5;8.5

16a;Zgraggen Peter;;;;;;;;;;55.0
o;;;Schuler Koni;;;;;;;;8.5
+;7;8.5;Arnold Adrian (2001);;37;34.0;7;8.5;0;0.0;10.0
o;8;18.5;Kurmann Toni;*;16;55.0;11;17.5;3;-1.0;8.5
+;14;27.0;Suter Raphael (2000);;20;54.0;13;27.25;-1;0.25;9.75
o;13;36.75;Beffa Mario;;15;55.25;13;36.75;0;0.0;8.5
+;17;45.25;Egli Adrian (2002);;20;54.0;16;45.5;-1;0.25;9.75

16b;Scherrer Fabian (2002);;;;;;;;;;55.0
+;;;Schumacher Marco (2000);;;;;;;;9.75
o;4;9.75;Reichmuth Armin;*;10;56.5;3;10.0;-1;0.25;8.5
+;9;18.25;Amrein Lukas;;21;53.75;9;18.25;0;0.0;10.0
o;9;28.25;Huber Alex;*;13;55.75;12;27.5;3;-0.75;8.5
+;13;36.75;Hurschler Michael;;19;54.25;13;36.75;0;0.0;9.75
o;12;46.5;Amgarten Martin;*;10;56.5;12;46.5;0;0.0;8.5

16c;Gwerder Marco;;;;;;;;;;55.0
+;;;Rust Sandro;;;;;;;;9.75
+;4;9.75;Egli Matthias (2001);;33;35.25;4;9.75;0;0.0;9.75
o;5;19.5;Suppiger Werner;**;8;57.0;7;18.75;2;-0.75;8.5
o;10;28.0;Muff Armin;**;13;55.75;13;27.25;3;-0.75;8.5
+;14;36.5;Huser Tobias (2002);;17;54.75;14;36.5;0;0.0;10.0
o;12;46.5;Gloggner Reto;**;8;57.0;10;47.0;-2;0.5;8.5

16d;Gisler Stefan;;;;;;;;;;55.0
-;;;Hodel Martin;;;;;;;;9.0
-;5;9.0;Kempf Damian;;32;35.5;7;8.5;2;-0.5;8.75
+;10;17.75;Vogel Ivo (2001);;33;35.25;9;18.25;-1;0.5;10.0
o;11;27.75;Durrer Nando;*;17;54.75;13;27.25;2;-0.5;8.75
+;14;36.5;Bucher Sandro (2000);;29;45.0;14;36.5;0;0.0;10.0
o;12;46.5;Michel Jonas;*;9;56.75;10;47.0;-2;0.5;8.5

16e;Hirsiger Alexander;*;;;;;;;;;55.0
-;;;Fessler Linus;**;;;;;;;8.75
-;6;8.75;Gäggeler Adrian;*;13;55.75;6;8.75;0;0.0;9.0
+;10;17.75;Müller Mathias;;32;35.5;8;18.5;-2;0.75;10.0
+;11;27.75;Hurschler Michael;;19;54.25;9;28.25;-2;0.5;9.75
-;10;37.5;Zimmermann Martin;**;9;56.75;9;37.75;-1;0.25;9.0
o;12;46.5;Zimmermann Simon;**;12;56.0;13;46.25;1;-0.25;8.5

16f;Kurmann Toni;*;;;;;;;;;55.0
-;;;Lussi Marco;*;;;;;;;8.75
-;6;8.75;Huber Alex;*;13;55.75;6;8.75;0;0.0;8.75
+;11;17.5;Zgraggen Peter;;16;55.0;8;18.5;-3;1.0;10.0
+;12;27.5;Fellmann Simon;;15;55.25;9;28.25;-3;0.75;10.0
o;10;37.5;Gwerder Guido;**;13;55.75;10;37.5;0;0.0;8.75
o;13;46.25;Zimmermann Martin;**;9;56.75;11;46.75;-2;0.5;8.75

16g;Bühler Patrice;;;;;;;;;;55.0
-;;;Gander Michael;;;;;;;;9.0
+;5;9.0;Egli Adrian (2002);;20;54.0;7;8.5;2;-0.5;10.0
o;6;19.0;Schürpf Bruno;*;12;56.0;8;18.5;2;-0.5;8.5
-;12;27.5;Spichtig Aldo;;17;54.75;12;27.5;0;0.0;8.75
+;15;36.25;Rohrer Timo (2001);;22;53.5;14;36.5;-1;0.25;9.75
-;14;46.0;Durrer Nando;*;17;54.75;15;45.75;1;-0.25;9.0

16h;Suppiger Thomas;*;;;;;;;;;55.0
-;;;Durrer Nando;*;;;;;;;9.0
-;5;9.0;Arnold Andreas;*;17;54.75;7;8.5;2;-0.5;8.75
+;10;17.75;Klauser Nico;;16;55.0;8;18.5;-2;0.75;10.0
+;11;27.75;Murpf Dario;;15;55.25;9;28.25;-2;0.5;9.75
-;10;37.5;Zimmermann Simon;**;12;56.0;10;37.5;0;0.0;8.75
-;13;46.25;Doppmann Urs;*;12;56.0;9;47.25;-4;1.0;8.75

16i;Portmann Roger;;;;;;;;;;55.0
+;;;Müller Mathias;;;;;;;;9.75
+;4;9.75;Kaufmann Reto (2002);;14;55.5;3;10.0;-1;0.25;9.75
o;5;19.5;Ambühl Joel;*;8;57.0;8;18.5;3;-1.0;8.5
o;10;28.0;Odermatt Christian;**;13;55.75;13;27.25;3;-0.75;8.5
+;14;36.5;Burri Ueli;;22;53.5;14;36.5;0;0.0;10.0
o;12;46.5;Arnold Fabian;*;11;56.25;12;46.5;0;0.0;8.5

16j;Huser Christian (2000);;;;;;;;;;55.0
o;;;Zwyer Simon;;;;;;;;8.5
+;7;8.5;Egli Samuel;;37;34.0;7;8.5;0;0.0;9.75
o;9;18.25;Achermann Simon;;13;55.75;8;18.5;-1;0.25;8.5
+;15;26.75;Thalmann Adrian;;2;91.25;2;55.5;-13;28.75;9.75
o;14;36.5;Gerber Peter;*;13;55.75;15;36.25;1;-0.25;8.5
