4114-2018-05-27_99_Luzerner_Kant_Schwingfest-ST

1a;Fankhauser Reto;**;;;;;;;;;111.25
+;10;37.5;Achermann Christoph;*;15;55.25;9;37.75;-1;0.25;10.0
+;8;47.5;Portmann Josef;*;10;56.5;6;48.0;-2;0.5;9.75

8a;Gloggner Reto;**;;;;;;;;;57.0
+;;;Steinauer Adrian;**;;;;;;;9.75
+;4;9.75;Zurﬂuh Michael;*;12;56.0;4;9.75;0;0.0;10.0
o;4;19.75;Wüthrich Philip;*;16;55.0;4;19.75;0;0.0;8.75
o;8;28.5;Inderbitzin Daniel;*;10;56.5;9;28.25;1;-0.25;8.5
+;12;37.0;Aregger Fabian (2001);;20;54.0;12;37.0;0;0.0;10.0
+;10;47.0;Gwerder Marco;;16;55.0;12;46.5;2;-0.5;10.0

8b;Thierstein Marco;*;;;;;;;;;57.0
+;;;Ulrich Marco;*;;;;;;;9.75
o;4;9.75;Michel Jonas;*;9;56.75;3;10.0;-1;0.25;8.5
+;9;18.25;Gander Michael;;15;55.25;7;18.75;-2;0.5;10.0
o;9;28.25;Rohrer Ueli;*;11;56.25;8;28.5;-1;0.25;8.75
+;12;37.0;Murpf Dario;;15;55.25;13;36.75;1;-0.25;10.0
+;10;47.0;Reichmuth Roland;;17;54.75;13;46.25;3;-0.75;10.0

8c;Arnold Stefan;**;;;;;;;;;57.0
-;;;Suppiger René;***;;;;;;;8.75
+;6;8.75;Graber Michael;*;12;56.0;6;8.75;0;0.0;9.75
+;8;18.5;Wüest David (2000);;13;55.75;4;19.75;-4;1.25;9.75
+;9;28.25;Ottiger Lukas;;14;55.5;7;28.75;-2;0.5;10.0
-;7;38.25;Egli Damian;**;14;55.5;8;38.0;1;-0.25;8.75
+;10;47.0;Müller Roger;*;14;55.5;10;47.0;0;0.0;10.0

8d;Suppiger Werner;**;;;;;;;;;57.0
-;;;Odermatt Christian;**;;;;;;;8.75
+;6;8.75;Inderbitzin Daniel;*;10;56.5;3;10.0;-3;1.25;10.0
+;7;18.75;Gwerder Marco;;16;55.0;5;19.5;-2;0.75;10.0
+;7;28.75;Reichmuth Armin;*;10;56.5;6;29.0;-1;0.25;10.0
o;5;38.75;Schurtenberger Sven;***;4;58.25;3;39.75;-2;1.0;8.5
+;9;47.25;Wyss Kilian;**;15;55.25;11;46.75;2;-0.5;9.75

8e;Thalmann Thomas;*;;;;;;;;;57.0
-;;;Fankhauser Reto;*;;;;;;;9.0
-;5;9.0;Odermatt Christian;**;13;55.75;6;8.75;1;-0.25;8.75
+;10;17.75;Gwerder Beni;;32;35.5;8;18.5;-2;0.75;9.75
+;12;27.5;Suter Samuel;;14;55.5;8;28.5;-4;1.0;10.0
+;10;37.5;Huber Alex;*;13;55.75;11;37.25;1;-0.25;9.75
+;9;47.25;Lang Julian;;14;55.5;11;46.75;2;-0.5;9.75

8f;Ambühl Joel;*;;;;;;;;;57.0
o;;;Kälin Roland;**;;;;;;;8.5
+;7;8.5;Wigger Simon;;15;55.25;3;10.0;-4;1.5;10.0
+;8;18.5;Portmann Roger;;16;55.0;5;19.5;-3;1.0;10.0
o;8;28.5;Ulrich Andreas;***;7;57.25;12;27.5;4;-1.0;8.75
+;11;37.25;Fassbind René;*;14;55.5;12;37.0;1;-0.25;10.0
+;9;47.25;Baumann Roger;*;12;56.0;9;47.25;0;0.0;9.75

8g;Stöckli Damian;;;;;;;;;;57.0
+;;;Gwerder Beni;;;;;;;;10.0
+;3;10.0;Bürgler Lukas;*;38;26.75;7;8.5;4;-1.5;10.0
+;3;20.0;Moos Christoph;*;15;55.25;8;18.5;5;-1.5;10.0
o;3;30.0;Schelbert Ralf;**;7;57.25;8;28.5;5;-1.5;8.5
+;6;38.5;Wüthrich Philip;*;16;55.0;8;38.0;2;-0.5;10.0
o;5;48.5;Bieri Marcel;**;6;57.75;6;48.0;1;-0.5;8.5

8h;Kälin Roland;**;;;;;;;;;57.0
+;;;Ambühl Joel;*;;;;;;;9.75
-;4;9.75;Widmer Adrian;*;12;56.0;3;10.0;-1;0.25;8.75
+;8;18.5;Fellmann Simon;;15;55.25;4;19.75;-4;1.25;10.0
o;8;28.5;Gloggner Philipp;***;6;57.75;8;28.5;0;0.0;8.5
+;12;37.0;Ziegler Manuel;;16;55.0;13;36.75;1;-0.25;10.0
+;10;47.0;Felder Martin;*;17;54.75;13;46.25;3;-0.75;10.0

8i;Wyrsch Marco;**;;;;;;;;;57.0
+;;;Fink Bruno;*;;;;;;;10.0
o;3;10.0;Schurtenberger Sven;***;4;58.25;3;10.0;0;0.0;8.5
+;8;18.5;Bühler Kilian (2000);;12;56.0;6;19.0;-2;0.5;10.0
-;8;28.5;Bättig Martin;*;12;56.0;8;28.5;0;0.0;8.75
