1865-2015-06-14_Stoos-Schwinget-ST

1a;Laimbacher Philipp;***;;;;;;;;;58.5
7d;Laimbacher Adrian;***;;;;;;;;;56.5
-;;;Zwyssig Raphael;***;;;;;;;8.75
-;4;8.75;Stoffel Marc;**;15;54.5;2;9.75;-2;1.0;9.0
+;8;17.75;Odermatt Sepp;**;12;55.25;6;18.5;-2;0.75;10.0
+;7;27.75;Studinger Stephan;**;12;55.25;6;28.0;-1;0.25;10.0
o;6;37.75;Bösch Daniel;***;9;56.0;6;37.75;0;0.0;8.75
+;9;46.5;Kohler Fredi;**;14;54.75;10;46.25;1;-0.25;10.0

8a;Burkhalter Stefan;***;;;;;;;;;56.25
+;;;Imfeld Peter;***;;;;;;;10.0
+;1;10.0;Nötzli Bruno;***;12;55.25;2;9.75;1;-0.25;10.0
-;1;20.0;Müllestein Mike;**;4;57.25;3;19.5;2;-0.5;9.0
o;2;29.0;Wicki Joel (1997);**;3;57.5;2;29.0;0;0.0;8.5
-;7;37.5;Egli Pirmin;*;12;55.25;5;38.0;-2;0.5;8.75
+;10;46.25;Schelbert Ralf;*;11;55.5;7;47.0;-3;0.75;10.0

8b;Orlik Armon;**;;;;;;;;;56.25
-;;;Wicki Joel (1997);**;;;;;;;9.0
+;3;9.0;Hess Michael;*;20;53.0;1;10.0;-2;1.0;9.75
o;5;18.75;Fankhauser Erich;***;6;56.75;5;18.75;0;0.0;8.75
+;8;27.5;Forster Adrian;**;21;52.75;9;27.25;1;-0.25;10.0
+;7;37.5;Gloggner Philipp;***;10;55.75;7;37.5;0;0.0;10.0
-;5;47.5;Ulrich Andreas;***;7;56.5;4;47.75;-1;0.25;8.75

9a;Kindlimann Fabian;***;;;;;;;;;56.0
+;;;Gasser Stefan;**;;;;;;;10.0
o;1;10.0;Grab Martin;***;2;58.25;2;9.75;1;-0.25;8.5
-;6;18.5;Scheuber Lutz;**;14;54.75;4;19.0;-2;0.5;8.75
+;9;27.25;Gwerder Carlo;**;21;52.75;9;27.25;0;0.0;10.0
-;8;37.25;Mathis Marcel;***;14;54.75;7;37.5;-1;0.25;8.75
+;11;46.0;Ulrich Florian;*;15;54.5;11;46.0;0;0.0;10.0

9b;Bösch Daniel;***;;;;;;;;;56.0
-;;;Laimbacher Philipp;***;;;;;;;8.75
-;4;8.75;Ulrich Florian;*;15;54.5;2;9.75;-2;1.0;9.0
+;8;17.75;Forster Adrian;**;21;52.75;5;18.75;-3;1.0;10.0
+;7;27.75;Suppiger Werner;**;18;53.5;6;28.0;-1;0.25;10.0
+;6;37.75;Laimbacher Adrian;***;7;56.5;6;37.75;0;0.0;9.75
o;5;47.5;Schurtenberger Sven;**;4;57.25;6;47.25;1;-0.25;8.5

10a;Schuler Alex;**;;;;;;;;;55.75
-;;;Stüdeli Thomas;**;;;;;;;8.75
o;4;8.75;Räbmatter Patrick;**;6;56.75;5;8.5;1;-0.25;8.5
+;10;17.25;Rüegg Fabian;;26;34.5;10;17.25;0;0.0;10.0
-;9;27.25;Notz Beni;***;18;53.5;9;27.25;0;0.0;8.75
+;13;36.0;Steiner Michael;**;19;53.25;12;36.25;-1;0.25;9.75
+;12;45.75;Nägeli Marco;*;16;54.25;12;45.75;0;0.0;10.0

10b;Rhyner Michael;**;;;;;;;;;55.75
+;;;Suppiger Werner;**;;;;;;;10.0
o;1;10.0;Gloggner Philipp;***;10;55.75;3;9.0;2;-1.0;8.5
-;6;18.5;Fankhauser Reto;**;11;55.5;6;18.5;0;0.0;8.75
+;9;27.25;Betschart Rainer;**;15;54.5;8;27.5;-1;0.25;10.0
+;8;37.25;Gasser Stefan;**;12;55.25;10;36.75;2;-0.5;10.0
o;6;47.25;Grab Martin;***;2;58.25;3;48.25;-3;1.0;8.5

10c;Gloggner Philipp;***;;;;;;;;;55.75
-;;;Stalder Remo;***;;;;;;;9.0
+;3;9.0;Rhyner Michael;**;10;55.75;1;10.0;-2;1.0;9.75
+;5;18.75;Räbmatter Patrick;**;6;56.75;7;18.25;2;-0.5;10.0
o;3;28.75;Grab Martin;***;2;58.25;1;29.5;-2;0.75;8.75
o;7;37.5;Orlik Armon;**;8;56.25;7;37.5;0;0.0;8.5
+;11;46.0;Orlik Curdin;**;15;54.5;11;46.0;0;0.0;9.75

11a;Fankhauser Reto;**;;;;;;;;;55.5
+;;;Knechtle Martin;**;;;;;;;10.0
o;1;10.0;von Ah Benji;***;3;57.5;4;8.75;3;-1.25;8.5
-;6;18.5;Rhyner Michael;**;10;55.75;6;18.5;0;0.0;8.75
+;9;27.25;Hersche Martin;**;16;54.25;9;27.25;0;0.0;10.0
o;8;37.25;Forrer Arnold;***;7;56.5;9;37.0;1;-0.25;8.5
+;12;45.75;Schuler Philipp;**;16;54.25;12;45.75;0;0.0;9.75

11b;Bieri Marcel;**;;;;;;;;;55.5
o;;;Erb Roger;**;;;;;;;8.5
+;5;8.5;Rüegg Roman;*;23;35.25;2;9.75;-3;1.25;10.0
+;6;18.5;Imfeld Peter;***;22;35.5;10;17.25;4;-1.25;9.75
o;5;28.25;Scheuber Lutz;**;14;54.75;7;27.75;2;-0.5;8.5
-;10;36.75;Studinger Stephan;**;12;55.25;11;36.5;1;-0.25;8.75
+;13;45.5;Villiger Cyrill;*;16;54.25;12;45.75;-1;0.25;10.0

11c;Schelbert Ralf;*;;;;;;;;;55.5
+;;;Kocher Remo;**;;;;;;;10.0
-;1;10.0;Alpiger Nick;**;24;35.0;3;9.0;2;-1.0;8.75
o;5;18.75;Stalder Remo;***;16;54.25;5;18.75;0;0.0;8.5
+;9;27.25;Kuster Marcel;**;16;54.25;9;27.25;0;0.0;10.0
+;8;37.25;Rychen Roger;**;11;55.5;9;37.0;1;-0.25;9.75
o;7;47.0;Burkhalter Stefan;***;8;56.25;10;46.25;3;-0.75;8.5

11d;Murer Andy;*;;;;;;;;;55.5
