1865-2015-06-14_Stoos-Schwinget-ST

1a;Laimbacher Philipp;***;;;;;;;;;58.5
+;10;27.0;Fässler Dominic;*;22;35.5;10;27.0;0;0.0;9.75
o;10;36.75;Krähenbühl Tobias;**;11;55.5;9;37.0;-1;0.25;8.5
-;14;45.25;Kuster Marcel;**;16;54.25;13;45.5;-1;0.25;8.75

18a;Suppiger Werner;**;;;;;;;;;53.5
o;;;Rhyner Michael;**;;;;;;;8.5
+;5;8.5;Kocher Remo;**;16;54.25;4;8.75;-1;0.25;9.75
+;7;18.25;Stüdeli Thomas;**;16;54.25;10;17.25;3;-1.0;9.75
o;6;28.0;Bösch Daniel;***;9;56.0;7;27.75;1;-0.25;8.5
o;11;36.5;Schneider Domenic;**;12;55.25;9;37.0;-2;0.5;8.5
o;15;45.0;Rychen Roger;**;11;55.5;13;45.5;-2;0.5;8.5

18b;Notz Beni;***;;;;;;;;;53.5
o;;;Grab Martin;***;;;;;;;8.5
-;5;8.5;Kempf Elias;**;17;54.0;2;9.75;-3;1.25;8.75
+;10;17.25;Graber Michael;*;23;35.25;7;18.25;-3;1.0;10.0
-;9;27.25;Schuler Alex;**;10;55.75;9;27.25;0;0.0;8.75
o;13;36.0;Villiger Cyrill;*;16;54.25;13;36.0;0;0.0;8.5
-;17;44.5;Bättig Martin;*;18;53.5;16;44.75;-1;0.25;9.0

18c;Bättig Martin;*;;;;;;;;;53.5
-;;;Föhn Pirmin;*;;;;;;;8.75
o;4;8.75;Studinger Stephan;**;12;55.25;5;8.5;1;-0.25;8.5
+;10;17.25;Roth Martin;*;26;34.5;10;17.25;0;0.0;10.0
-;9;27.25;Vogel Beat;*;27;34.25;16;25.5;7;-1.75;8.75
-;13;36.0;Stüdeli Thomas;**;16;54.25;14;35.75;1;-0.25;8.75
-;16;44.75;Notz Beni;***;18;53.5;17;44.5;1;-0.25;8.75

19a;Höfliger Andreas;*;;;;;;;;;53.25
-;;;Bühler Ernst;**;;;;;;;8.75
+;4;8.75;Güntensperger Marcel;*;28;34.0;5;8.5;1;-0.25;10.0
o;5;18.75;Forrer Arnold;***;7;56.5;6;18.5;1;-0.25;8.75
-;8;27.5;Erb Roger;**;13;55.0;6;28.0;-2;0.5;8.75
o;12;36.25;Orlik Curdin;**;15;54.5;12;36.25;0;0.0;8.5
o;16;44.75;Blatter Lorenz;*;14;54.75;16;44.75;0;0.0;8.5

19b;Schärli Pius;*;;;;;;;;;53.25
-;;;Forster Adrian;**;;;;;;;8.75
-;4;8.75;Steiner Michael;**;19;53.25;4;8.75;0;0.0;8.75
-;9;17.5;Riget Ivan;*;24;35.0;9;17.5;0;0.0;8.75
+;13;26.25;Korrodi Paul;*;25;34.75;14;26.0;1;-0.25;10.0
o;12;36.25;Kohler Fredi;**;14;54.75;11;36.5;-1;0.25;8.5
o;16;44.75;Stoffel Marc;**;15;54.5;16;44.75;0;0.0;8.5

19c;Heinzer Stefan;*;;;;;;;;;53.25
-;;;Steiner Michael;**;;;;;;;8.75
-;4;8.75;Hersche Martin;**;16;54.25;5;8.5;1;-0.25;8.75
o;9;17.5;Knechtle Martin;**;22;35.5;10;17.25;1;-0.25;8.5
+;14;26.0;Vogel Beat;*;27;34.25;16;25.5;2;-0.5;10.0
-;13;36.0;Stoffel Marc;**;15;54.5;13;36.0;0;0.0;8.75
o;16;44.75;Studinger Stephan;**;12;55.25;14;45.25;-2;0.5;8.5

19d;Steiner Michael;**;;;;;;;;;53.25
-;;;Heinzer Stefan;*;;;;;;;8.75
-;4;8.75;Schärli Pius;*;19;53.25;4;8.75;0;0.0;8.75
-;9;17.5;Egli Damian;**;25;34.75;10;17.25;1;-0.25;8.75
+;13;26.25;Effinger Markus;*;25;34.75;13;26.25;0;0.0;10.0
o;12;36.25;Schuler Alex;**;10;55.75;13;36.0;1;-0.25;8.5
o;16;44.75;Betschart Remo;**;14;54.75;16;44.75;0;0.0;8.5

20a;Hess Michael;*;;;;;;;;;53.0
+;;;Graber Michael;*;;;;;;;10.0
o;1;10.0;Orlik Armon;**;8;56.25;3;9.0;2;-1.0;8.5
-;6;18.5;Bieri Christoph;***;7;56.5;9;17.5;3;-1.0;8.75
-;9;27.25;Stoffel Marc;**;15;54.5;9;27.25;0;0.0;8.75
o;13;36.0;Kuster Marcel;**;16;54.25;14;35.75;1;-0.25;8.5
o;17;44.5;Kocher Remo;**;16;54.25;18;44.25;1;-0.25;8.5

20b;Riget Tobias;**;;;;;;;;;53.0
-;;;Scheuber Lutz;**;;;;;;;9.0
o;3;9.0;Egli Pirmin;*;12;55.25;2;9.75;-1;0.75;8.5
+;9;17.5;Gasser Stefan;**;12;55.25;6;18.5;-3;1.0;10.0
o;8;27.5;Mathis Marcel;***;14;54.75;8;27.5;0;0.0;8.5
o;13;36.0;Ulrich Florian;*;15;54.5;13;36.0;0;0.0;8.5
o;17;44.5;Betschart Rainer;**;15;54.5;16;44.75;-1;0.25;8.5

21a;Zimmermann Daniel;*;;;;;;;;;52.75
-;;;Rüegg Fabian;;;;;;;;8.75
o;4;8.75;Krähenbühl Tobias;**;11;55.5;5;8.5;1;-0.25;8.5
+;10;17.25;Güntensperger Marcel;*;28;34.0;11;17.0;1;-0.25;10.0
o;9;27.25;Zwyssig Raphael;***;5;57.0;9;27.25;0;0.0;8.5
o;14;35.75;Nägeli Marco;*;16;54.25;14;35.75;0;0.0;8.5
o;18;44.25;Hersche Martin;**;16;54.25;17;44.5;-1;0.25;8.5

21b;Gwerder Carlo;**;;;;;;;;;52.75
-;;;Nägeli Marco;*;;;;;;;9.0
o;3;9.0;Orlik Curdin;**;15;54.5;3;9.0;0;0.0;8.5
+;9;17.5;Blatter Lorenz;*;14;54.75;9;17.5;0;0.0;9.75
o;9;27.25;Kindlimann Fabian;***;9;56.0;9;27.25;0;0.0;8.5
o;14;35.75;Schneider Mario;**;13;55.0;11;36.5;-3;0.75;8.5
o;18;44.25;Erb Roger;**;13;55.0;14;45.25;-4;1.0;8.5

21c;Forster Adrian;**;;;;;;;;;52.75
-;;;Schärli Pius;*;;;;;;;8.75
+;4;8.75;Scherer Christian;*;27;34.25;5;8.5;1;-0.25;10.0
o;5;18.75;Bösch Daniel;***;9;56.0;8;17.75;3;-1.0;8.5
o;9;27.25;Orlik Armon;**;8;56.25;8;27.5;-1;0.25;8.5
o;14;35.75;Stüdeli Thomas;**;16;54.25;14;35.75;0;0.0;8.5
o;18;44.25;Gasser Stefan;**;12;55.25;14;45.25;-4;1.0;8.5

22a;Knechtle Martin;**;;;;;;;;;35.5
o;;;Fankhauser Reto;**;;;;;;;8.5
-;5;8.5;Effinger Markus;*;25;34.75;4;8.75;-1;0.25;8.75
+;10;17.25;Heinzer Stefan;*;19;53.25;9;17.5;-1;0.25;9.75
o;10;27.0;Imfeld Peter;***;22;35.5;15;25.75;5;-1.25;8.5

22b;Omlin Toni;*;;;;;;;;;35.5
-;;;Riget Ivan;*;;;;;;;8.75
o;4;8.75;Schneider Mario;**;13;55.0;5;8.5;1;-0.25;8.5
+;10;17.25;Scherer Christian;*;27;34.25;11;17.0;1;-0.25;9.75
o;10;27.0;Bieri Christoph;***;7;56.5;12;26.5;2;-0.5;8.5

22c;Fässler Dominic;*;;;;;;;;;35.5
+;;;Güntensperger Marcel;*;;;;;;;10.0
o;1;10.0;Scheuber Lutz;**;14;54.75;3;9.0;2;-1.0;8.5
o;6;18.5;Ulrich Andreas;***;7;56.5;5;18.75;-1;0.25;8.5
o;10;27.0;Kempf Elias;**;17;54.0;10;27.0;0;0.0;8.5

22d;Imfeld Peter;***;;;;;;;;;35.5
o;;;Burkhalter Stefan;***;;;;;;;8.5
-;5;8.5;Kuster Marcel;**;16;54.25;2;9.75;-3;1.25;8.75
o;10;17.25;Bieri Marcel;**;11;55.5;6;18.5;-4;1.25;8.5
+;15;25.75;Knechtle Martin;**;22;35.5;10;27.0;-5;1.25;9.75

22e;Gloggner Reto;**;;;;;;;;;35.5
+;;;Studinger Stephan;**;;;;;;;9.75
-;2;9.75;Mathis Marcel;***;14;54.75;1;10.0;-1;0.25;8.75
o;6;18.5;Kohler Fredi;**;14;54.75;7;18.25;1;-0.25;8.5
o;10;27.0;Räbmatter Patrick;**;6;56.75;11;26.75;1;-0.25;8.5

22f;Suter David;**;;;;;;;;;35.5
-;;;Korrodi Paul;*;;;;;;;8.75
o;4;8.75;Rychen Roger;**;11;55.5;5;8.5;1;-0.25;8.5
o;10;17.25;Hersche Martin;**;16;54.25;10;17.25;0;0.0;8.5
+;15;25.75;Güntensperger Marcel;*;28;34.0;16;25.5;1;-0.25;9.75

23a;Zurfluh Markus;**;;;;;;;;;35.25
o;;;Leuppi Samir;**;;;;;;;8.5
+;5;8.5;Vogel Beat;*;27;34.25;5;8.5;0;0.0;9.75
o;7;18.25;Rychen Roger;**;11;55.5;6;18.5;-1;0.25;8.5
o;11;26.75;Schneider Mario;**;13;55.0;11;26.75;0;0.0;8.5

23b;Rüegg Roman;*;;;;;;;;;35.25
+;;;Lüönd Andreas;**;;;;;;;9.75
o;2;9.75;Wicki Joel (1997);**;3;57.5;3;9.0;1;-0.75;8.5
o;7;18.25;Bieri Marcel;**;11;55.5;6;18.5;-1;0.25;8.5
o;11;26.75;Murer Andy;*;11;55.5;10;27.0;-1;0.25;8.5

23c;Graber Michael;*;;;;;;;;;35.25
o;;;Hess Michael;*;;;;;;;8.5
+;5;8.5;Korrodi Paul;*;25;34.75;4;8.75;-1;0.25;9.75
o;7;18.25;Notz Beni;***;18;53.5;10;17.25;3;-1.0;8.5
o;11;26.75;Leuppi Samir;**;16;54.25;9;27.25;-2;0.5;8.5

24a;Riget Ivan;*;;;;;;;;;35.0
-;;;Omlin Toni;*;;;;;;;8.75
-;4;8.75;Föhn Pirmin;*;25;34.75;4;8.75;0;0.0;8.75
-;9;17.5;Schärli Pius;*;19;53.25;9;17.5;0;0.0;8.75
-;13;26.25;Egli Damian;**;25;34.75;14;26.0;1;-0.25;8.75

24b;Alpiger Nick;**;;;;;;;;;35.0
-;;;Betschart Remo;**;;;;;;;9.0
-;3;9.0;Schelbert Ralf;*;11;55.5;1;10.0;-2;1.0;8.75
o;8;17.75;Schurtenberger Sven;**;4;57.25;6;18.5;-2;0.75;8.5
o;13;26.25;Odermatt Sepp;**;12;55.25;10;27.0;-3;0.75;8.75

25a;Korrodi Paul;*;;;;;;;;;34.75
-;;;Suter David;**;;;;;;;8.75
o;4;8.75;Graber Michael;*;23;35.25;5;8.5;1;-0.25;8.5
-;10;17.25;Lüönd Andreas;**;26;34.5;10;17.25;0;0.0;8.75
o;14;26.0;Schärli Pius;*;19;53.25;13;26.25;-1;0.25;8.75

25b;Effinger Markus;*;;;;;;;;;34.75
-;;;Arnold Andreas;*;;;;;;;8.75
-;4;8.75;Knechtle Martin;**;22;35.5;5;8.5;1;-0.25;8.75
-;9;17.5;Bühler Ernst;**;25;34.75;9;17.5;0;0.0;8.75
o;13;26.25;Steiner Michael;**;19;53.25;13;26.25;0;0.0;8.5

25c;Egli Damian;**;;;;;;;;;34.75
-;;;Blatter Lorenz;*;;;;;;;8.75
o;4;8.75;Schneider Domenic;**;12;55.25;5;8.5;1;-0.25;8.5
-;10;17.25;Steiner Michael;**;19;53.25;9;17.5;-1;0.25;8.75
-;14;26.0;Riget Ivan;*;24;35.0;13;26.25;-1;0.25;8.75

25d;Bühler Ernst;**;;;;;;;;;34.75
-;;;Höfliger Andreas;*;;;;;;;8.75
-;4;8.75;Schuler Philipp;**;16;54.25;5;8.5;1;-0.25;8.75
-;9;17.5;Effinger Markus;*;25;34.75;9;17.5;0;0.0;8.75
o;13;26.25;Gasser Stefan;**;12;55.25;10;27.0;-3;0.75;8.5

25e;Föhn Pirmin;*;;;;;;;;;34.75
-;;;Bättig Martin;*;;;;;;;8.75
-;4;8.75;Riget Ivan;*;24;35.0;4;8.75;0;0.0;8.75
o;9;17.5;Kocher Remo;**;16;54.25;10;17.25;1;-0.25;8.5
-;14;26.0;Rüegg Fabian;;26;34.5;15;25.75;1;-0.25;8.75

26a;Rüegg Fabian;;;;;;;;;;34.5
-;;;Zimmermann Daniel;*;;;;;;;8.75
o;4;8.75;Gasser Stefan;**;12;55.25;5;8.5;1;-0.25;8.5
o;10;17.25;Schuler Alex;**;10;55.75;10;17.25;0;0.0;8.5
-;15;25.75;Föhn Pirmin;*;25;34.75;14;26.0;-1;0.25;8.75

26b;Roth Martin;*;;;;;;;;;34.5
o;;;Murer Andy;*;;;;;;;8.75
o;4;8.75;Betschart Rainer;**;15;54.5;3;9.0;-1;0.25;8.5
o;10;17.25;Bättig Martin;*;18;53.5;10;17.25;0;0.0;8.5
o;15;25.75;Schuler Philipp;**;16;54.25;15;25.75;0;0.0;8.75

26c;Lüönd Andreas;**;;;;;;;;;34.5
o;;;Rüegg Roman;*;;;;;;;8.5
-;5;8.5;Blatter Lorenz;*;14;54.75;4;8.75;-1;0.25;8.75
-;10;17.25;Korrodi Paul;*;25;34.75;10;17.25;0;0.0;8.75
o;14;26.0;Stüdeli Thomas;**;16;54.25;15;25.75;1;-0.25;8.5

27a;Vogel Beat;*;;;;;;;;;34.25
o;;;Odermatt Sepp;**;;;;;;;8.5
o;5;8.5;Zurfluh Markus;**;23;35.25;5;8.5;0;0.0;8.5
o;11;17.0;Heinzer Stefan;*;19;53.25;9;17.5;-2;0.5;8.5
-;16;25.5;Bättig Martin;*;18;53.5;9;27.25;-7;1.75;8.75

27b;Scherer Christian;*;;;;;;;;;34.25
o;;;Villiger Cyrill;*;;;;;;;8.5
o;5;8.5;Forster Adrian;**;21;52.75;4;8.75;-1;0.25;8.5
o;11;17.0;Omlin Toni;*;22;35.5;10;17.25;-1;0.25;8.75
o;15;25.75;Blatter Lorenz;*;14;54.75;14;26.0;-1;0.25;8.5

28a;Güntensperger Marcel;*;;;;;;;;;34.0
o;;;Fässler Dominic;*;;;;;;;8.5
o;5;8.5;Höfliger Andreas;*;19;53.25;4;8.75;-1;0.25;8.5
o;11;17.0;Zimmermann Daniel;*;21;52.75;10;17.25;-1;0.25;8.5
o;16;25.5;Suter David;**;22;35.5;15;25.75;-1;0.25;8.5

29a;Gassmann Fabian;**;;;;;;;;;27.0
o;;;Egli Pirmin;*;;;;;;;8.5
+;5;8.5;Nägeli Marco;*;16;54.25;3;9.0;-2;0.5;9.75
-;7;18.25;Stoffel Marc;**;15;54.5;6;18.5;-1;0.25;8.75

30a;Bernhard Lukas;*;;;;;;;;;17.0
o;;;Kuster Marcel;**;;;;;;;8.5
o;5;8.5;Kohler Fredi;**;14;54.75;5;8.5;0;0.0;8.5

31a;Arnold Andreas;*;;;;;;;;;8.75
-;;;Effinger Markus;*;;;;;;;8.75

